,node_name,Base,I,V,V&I,node_id,neighborhood,historic_stream
0,J105-S_volume,29.534696697385613,29.66267259212021,29.542403239948285,29.679583905594946,J105-S,Downtown,"Southside, Drains to Harbor"
1,J10-S_volume,62.562678362720206,35.317665145009606,39.506278986533175,31.13969131440209,J10-S,Downtown,"Southside, Drains to Harbor"
2,J116-S_volume,79.93335440046027,82.46572874194834,76.45788702037886,78.91340195556172,J116-S,Downtown,"Southside, Drains to Harbor"
3,J119-S_volume,19.833016025276148,18.33138059245524,19.39774290168322,17.9574074144482,J119-S,Downtown,"Southside, Drains to Harbor"
4,J128-S_volume,28.47349089412437,16.388473246025438,28.45585617104941,16.367868390935943,J128-S,Canton,Harris Creek
5,J130-S_volume,116.4735865462368,87.95756125744785,111.76196193081546,84.46967662649433,J130-S,Downtown,"Southside, Drains to Harbor"
6,J131-S_volume,21.51276112711742,18.40493939304248,20.939682349230324,18.02342502266325,J131-S,Downtown,"Southside, Drains to Harbor"
7,J136-S_volume,102.1182511471853,97.3771610179536,101.38366645774872,96.7059915235316,J136-S,Downtown,"Southside, Drains to Harbor"
8,J138-S_volume,26.740768936975297,27.066834489349183,26.743507213861484,27.069330611281288,J138-S,Downtown,"Southside, Drains to Harbor"
9,J141-S_volume,29.22226196339172,29.213562389627715,29.097988607325597,29.089159959807887,J141-S,Downtown,"Southside, Drains to Harbor"
10,J157-S_volume,43.97789894152846,36.33846926810924,43.15492137467159,35.6812918435616,J157-S,Downtown,"Southside, Drains to Harbor"
11,J163-S_volume,21.28559204970472,21.281016503860016,21.12710623180424,21.12239189180552,J163-S,Downtown,"Southside, Drains to Harbor"
12,J165-S_volume,22.52902451544616,22.35621746436014,22.38970681455224,22.2196778852962,J165-S,Federal Hill,"Southside, Drains to Harbor"
13,J171-S_volume,15.803111994695549,15.800100178632016,15.803099804370968,15.800062055669322,J171-S,Canton,"Northside, Drains to Harbor"
14,J177-S_volume,23.47196219510764,23.460641104807824,23.462992080282813,23.451969506220536,J177-S,Federal Hill,"Southside, Drains to Harbor"
15,J182-S_volume,85.33582333039736,66.23307646523247,84.7081366905404,66.2583817031394,J182-S,Federal Hill,"Southside, Drains to Harbor"
16,J191-S_volume,29.354610437779726,27.398788484414595,29.35461076682296,27.39878460256387,J191-S,Fells Point,Canal Street Creek
17,J1-S_volume,15.326072343914324,15.323036717875793,15.32545112718083,15.32217544873838,J1-S,Clifton Park,Canal Street Creek
18,J204-S_volume,17.722425270702047,17.720090904800628,17.7224235087366,17.720092196492622,J204-S,Fells Point,Canal Street Creek
19,J208-S_volume,40.293752688441245,40.29690968554619,38.76299132136887,38.76614584298979,J208-S,Downtown,"Southside, Drains to Harbor"
20,J211-S_volume,33.03557073208956,28.654909542477967,32.6290318594705,28.355591574119376,J211-S,Fells Point,Canal Street Creek
21,J227-S_volume,204.13373287564585,194.74245842550812,204.13424802562136,194.74608531792387,J227-S,Locust Point,"Southside, Drains to Harbor"
22,J231-S_volume,6.2126926585765005,6.186770559246571,6.212842066562783,6.186954898817649,J231-S,Locust Point,"Southside, Drains to Harbor"
23,J232-S_volume,3.667453021183797,5.9419701628599695,3.66800446821102,5.942602863007211,J232-S,Locust Point,"Southside, Drains to Harbor"
24,J234-S_volume,23.17044627244849,23.164881730065044,23.17044143955417,23.164884581895024,J234-S,Locust Point,"Southside, Drains to Harbor"
25,J238-S_volume,13.221076608538128,13.221906797639935,13.220997130059638,13.2218091052723,J238-S,Locust Point,"Southside, Drains to Harbor"
26,J240-S_volume,30.271551093442454,30.445423394977425,30.25299143235167,30.429055981765263,J240-S,Locust Point,"Southside, Drains to Harbor"
27,J245-S_volume,67.5984823921632,63.44825949622172,67.44895161895835,63.08072841126933,J245-S,Locust Point,"Southside, Drains to Harbor"
28,J253-S_volume,19.84006319527575,15.808666815297697,19.27612343046315,15.21923591535746,J253-S,Eager Park,Canal Street Creek
29,J260-S_volume,23.29037924788884,20.966647089371165,22.75035347432549,20.166241758313195,J260-S,Broadway East,Canal Street Creek
30,J266-S_volume,21.715342321794616,20.40366404526855,21.326842561389977,20.039768630958257,J266-S,Clifton Park,Canal Street Creek
31,J268-S_volume,13.153489332570546,13.15747360313427,13.006295767575631,13.012869443608237,J268-S,Clifton Park,Canal Street Creek
32,J273-S_volume,10.46083229441046,10.462030639854929,10.45812260817901,10.45939627912874,J273-S,Clifton Park,Canal Street Creek
33,J278-S_volume,27.47808620832795,21.56084114621889,26.09439613585375,20.609275187006112,J278-S,Broadway East,Canal Street Creek
34,J27-S_volume,26.112013469518825,27.459620938932275,26.11392497914557,27.463098733918574,J27-S,Locust Point,"Southside, Drains to Harbor"
35,J280-S_volume,43.959856348391696,38.15158988374055,41.72258005487495,36.544207442864334,J280-S,Broadway East,Canal Street Creek
36,J328-S_volume,47.1395453230328,48.48494148622836,45.9346651409489,47.23153714975803,J328-S,Broadway East,Canal Street Creek
37,J329-S_volume,36.17244750573325,26.821103666650917,33.355054684081274,25.14712656316796,J329-S,Broadway East,Canal Street Creek
38,J338-S_volume,41.93479169427536,33.76319980152753,40.51542222201133,31.987211436757143,J338-S,Eager Park,Canal Street Creek
39,J33-S_volume,76.2345912663633,72.1066446029092,76.23330077120568,72.10698140716897,J33-S,Locust Point,"Southside, Drains to Harbor"
40,J34-S_volume,21.510791854788945,21.509617090453368,21.51073640088762,21.509422095973022,J34-S,Locust Point,"Southside, Drains to Harbor"
41,J361-S_volume,43.47102152264672,36.49492257215638,42.55134347632597,35.70109049638288,J361-S,Eager Park,Canal Street Creek
42,J366-S_volume,30.377378001993765,18.23213331375616,28.93785656892364,17.37624968319736,J366-S,Eager Park,Canal Street Creek
43,J385-S_volume,111.70274799769692,128.908752830582,100.66529701092269,117.40468413492444,J385-S,Broadway East,Harris Creek
44,J3-S_volume,31.199420388417757,20.726282895822727,30.45288539652229,20.341146464388707,J3-S,Fells Point,"Northside, Drains to Harbor"
45,J413-S_volume,25.904879661725555,25.908993810392587,25.656913682712485,25.660745104377988,J413-S,Broadway East,Harris Creek
46,J421-S_volume,71.96810217128957,64.249961673372,67.09122434194596,61.15968715851402,J421-S,McElderry Park,Harris Creek
47,J42-S_volume,15.760034091040431,15.759466310482074,15.76002042372495,15.759414383048346,J42-S,Locust Point,"Southside, Drains to Harbor"
48,J433-S_volume,25.385649081497355,25.80875519040337,25.33326175604147,25.754395405011014,J433-S,Madison-Eastend,Harris Creek
