,node_name,Base,I,V,V&I,node_id,neighborhood,historic_stream
0,J105-S_volume,33.83680558242024,33.83599637513143,33.8349989949049,33.83291857060234,J105-S,Downtown,"Southside, Drains to Harbor"
1,J10-S_volume,36.51514001731584,32.40823657860313,32.5336932367803,32.391768312087855,J10-S,Downtown,"Southside, Drains to Harbor"
2,J116-S_volume,36.51514001731584,36.51514001731584,36.51514001731584,36.51514001731584,J116-S,Downtown,"Southside, Drains to Harbor"
3,J119-S_volume,17.649094900528766,16.101122871529764,17.649094582956184,16.10112267652676,J119-S,Downtown,"Southside, Drains to Harbor"
4,J128-S_volume,39.29342623893288,25.401115736086144,39.303987460402745,25.394812288414236,J128-S,Canton,Harris Creek
5,J130-S_volume,36.51514001731584,36.51514001731584,36.51514001731584,36.51514001731584,J130-S,Downtown,"Southside, Drains to Harbor"
6,J131-S_volume,22.460703948640504,19.832867456123655,22.46097495858376,19.832693724806465,J131-S,Downtown,"Southside, Drains to Harbor"
7,J136-S_volume,192.81705399350787,192.81705399350787,192.81705399350787,192.81705399350787,J136-S,Downtown,"Southside, Drains to Harbor"
8,J138-S_volume,38.3248215889438,39.02664914910036,38.32675813902891,39.027155805735546,J138-S,Downtown,"Southside, Drains to Harbor"
9,J141-S_volume,34.135290401538924,34.134835045156144,34.02207778600567,34.02040735242907,J141-S,Downtown,"Southside, Drains to Harbor"
10,J157-S_volume,86.53997476499376,66.87667145714357,83.7111816152376,64.50013065626055,J157-S,Downtown,"Southside, Drains to Harbor"
11,J163-S_volume,31.27691762135892,31.27967785064231,30.823364474697225,30.82592046121052,J163-S,Downtown,"Southside, Drains to Harbor"
12,J165-S_volume,28.286771755849408,28.147713864553435,28.077532237826432,27.936853132274152,J165-S,Federal Hill,"Southside, Drains to Harbor"
13,J171-S_volume,20.4887096549929,20.48897448208834,20.48937805347542,20.48904881825229,J171-S,Canton,"Northside, Drains to Harbor"
14,J177-S_volume,31.08375068846598,31.08394382713341,31.072205020159284,31.071802821233728,J177-S,Federal Hill,"Southside, Drains to Harbor"
