,Base,I,V,V&I,node_name,node_id,neighborhood,historic_stream
0,0.0,-6.720860158404562e-06,-1.5004588097999871e-05,-3.228352391709821e-05,J105-S_depth,J105-S,Downtown,"Southside, Drains to Harbor"
1,0.0,-0.034109830790417295,-0.033067852218041593,-0.034246607754529035,J10-S_depth,J10-S,Downtown,"Southside, Drains to Harbor"
2,0.0,0.0,0.0,0.0,J116-S_depth,J116-S,Downtown,"Southside, Drains to Harbor"
3,0.0,-0.012856660684967297,-2.637594698207124e-09,-0.012856662304562089,J119-S_depth,J119-S,Downtown,"Southside, Drains to Harbor"
4,0.0,-0.11458814601725412,8.186856328717962e-05,-0.11464049921637204,J128-S_depth,J128-S,Canton,Harris Creek
5,0.0,0.0,0.0,0.0,J130-S_depth,J130-S,Downtown,"Southside, Drains to Harbor"
6,0.0,-0.021825460335811786,2.2508694068057444e-06,-0.021826903258909597,J131-S_depth,J131-S,Downtown,"Southside, Drains to Harbor"
7,0.0,0.0,0.0,0.0,J136-S_depth,J136-S,Downtown,"Southside, Drains to Harbor"
8,0.0,0.004305280008400303,1.1925782432531395e-05,0.004308375988882729,J138-S_depth,J138-S,Downtown,"Southside, Drains to Harbor"
9,0.0,-3.781956259274466e-06,-0.0009402858423158689,-0.0009541596057229818,J141-S_depth,J141-S,Downtown,"Southside, Drains to Harbor"
10,0.0,-0.07449095341574402,-0.009777737527147501,-0.08437841393876072,J157-S_depth,J157-S,Downtown,"Southside, Drains to Harbor"
11,0.0,2.292504686418617e-05,-0.0037669795060827904,-0.0037457507947745716,J163-S_depth,J163-S,Downtown,"Southside, Drains to Harbor"
12,0.0,-0.001154943429511085,-0.001737835978113278,-0.0029062443806345817,J165-S_depth,J165-S,Federal Hill,"Southside, Drains to Harbor"
13,0.0,2.1995178482170363e-06,5.551374528206532e-06,2.816915849301882e-06,J171-S_depth,J171-S,Canton,"Northside, Drains to Harbor"
14,0.0,1.6041105819764034e-06,-9.589239147700379e-05,-9.923284919649555e-05,J177-S_depth,J177-S,Federal Hill,"Southside, Drains to Harbor"
15,0.0,0.0,0.0,0.0,J182-S_depth,J182-S,Federal Hill,"Southside, Drains to Harbor"
16,0.0,0.0,0.0,0.0,J191-S_depth,J191-S,Fells Point,Canal Street Creek
17,0.0,1.4576472013860808e-06,1.0150677411946418e-06,3.1832086508920554e-06,J1-S_depth,J1-S,Clifton Park,Canal Street Creek
18,0.0,4.855352402077795e-07,6.899164051166196e-08,5.615828435057146e-07,J204-S_depth,J204-S,Fells Point,Canal Street Creek
