scenario,row,timestamp,C102-S_velocity,C105-S_velocity,C111-S_velocity,C113-S_velocity,C131-S_velocity,C141-S_velocity,C159-S_velocity,C163-S_velocity,C168-S_velocity,C182-S_velocity,C187-S_velocity,C190-S_velocity,C191-S_velocity,C211-S_velocity,C21-S_velocity,C226-S_velocity,C227-S_velocity,C229-S_velocity,C236-S_velocity,C23-S_velocity,C249-S_velocity,C251-S_velocity,C260-S_velocity,C26-S_velocity,C274-S_velocity,C279-S_velocity,C27-S_velocity,C292-S_velocity,C2-S_velocity,C301-S_velocity,C314-S_velocity,C317-S_velocity,C319-S_velocity,C321-S_velocity,C325-S_velocity,C327-S_velocity,C328-S_velocity,C338-S_velocity,C340-S_velocity,C34-S_velocity,C351-S_velocity,C355-S_velocity,C361-S_velocity,C362-S_velocity,C37-S_velocity,C382-S_velocity,C3-S_velocity,C417-S_velocity,C418-S_velocity,C422-S_velocity,C449-S_velocity,C462-S_velocity,C463-S_velocity,C473-S_velocity,C474-S_velocity,C478-S_velocity,C530-S_velocity,C532-S_velocity,C548-S_velocity,C549-S_velocity,C550-S_velocity,C551-S_velocity,C556-S_velocity,C576-S_velocity,C602-S_velocity,C638-S_velocity,C650-S_velocity,C659-S_velocity,C65-S_velocity,C677-S_velocity,C681-S_velocity,C685-S_velocity,C687-S_velocity,C68-S_velocity,C69-S_velocity,C708-S_velocity,C725-S_velocity,C728-S_velocity,C729-S_velocity,C734-S_velocity,C740-S_velocity,C742-S_velocity,C744-S_velocity,C74-S_velocity,C752-S_velocity,C756-S_velocity,C758-S_velocity,C759-S_velocity,C761-S_velocity,C771-S_velocity,C772-S_velocity,C779-S_velocity,C79-S_velocity,C7-S_velocity,C816-S_velocity,C830-S_velocity,C839-S_velocity,C84-S_velocity,C89-S_velocity
Base,0,1687833120000000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Base,1,1687833420000000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Base,2,1687833720000000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Base,3,1687834020000000000,0.0,2.09241558034326e-09,0.0,0.0,0.0,1.1579552663134295e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3541555244655197e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Base,4,1687834320000000000,1.915821057006422e-08,2.7146053768948457e-07,0.0,7.079701300323912e-09,0.0,0.0,0.0,2.042411252105305e-08,8.265117487390368e-08,6.668325032398451e-06,0.0,8.28549752254106e-08,0.0,5.440599650257647e-07,0.0,0.0,0.0,3.7218877651715818e-09,5.8018851026480963e-08,0.0,1.1410026962282186e-06,0.0,6.291930852375085e-09,4.313270187334528e-07,6.614852868488146e-08,2.1016215762008508e-08,0.0,6.388568620962775e-11,3.858433802186531e-08,0.0,0.0,0.0,0.0,5.7638164299506885e-09,0.0,0.0,0.0,3.9675562747045006e-08,0.0,2.3326099855843316e-07,0.0,0.0,0.0,0.0,0.0,3.577759951077714e-07,1.4066545169113506e-09,2.560033026380013e-06,0.0,2.815169491550817e-07,1.2233103292622456e-08,0.0,1.3373028410507785e-06,1.0566836131792992e-05,0.0,9.139469937518061e-05,7.062336089348568e-08,0.0,0.0,0.0,2.3998845063741717e-06,0.0,0.0,0.0,7.049504839393394e-08,0.0,1.4771348624086007e-06,2.1256090442093548e-08,1.7032535763493007e-09,1.7419884759365925e-07,0.0,2.379490204477151e-12,8.314488706533438e-07,-0.0,0.0,1.5015155447341662e-07,0.0,2.499835090120617e-07,5.29444708239719e-07,1.7336608020061966e-06,1.5228964586682615e-06,-0.0,2.0351489392841734e-07,7.003220083326588e-09,2.2441054737444896e-08,3.4369961711233445e-05,0.0,0.0,7.763690904434016e-05,3.516231171181376e-07,0.0,0.0,0.0,2.900773190731381e-08,1.3335382210179195e-07,0.0,0.0,0.0,8.794534685743479e-08
Base,5,1687834620000000000,8.310239302090386e-07,1.0216585137544377e-05,3.2891813432435515e-12,1.0700972076946442e-06,0.0,1.7934371443373752e-06,8.926619133076153e-08,1.9261681041330136e-06,1.0053521742821378e-05,6.20084910212299e-05,0.0,5.771477030656111e-06,0.0,2.6828281846192345e-05,9.959068052076977e-09,1.1876106187771532e-06,6.970803215279462e-08,1.9655602898491895e-07,2.3510906584553188e-06,0.0,3.812218892298915e-05,1.1821555468638663e-09,8.365093401579203e-06,8.576811925060852e-06,4.687562939121725e-06,2.104222004531011e-06,7.852553107965537e-13,2.263949423133444e-08,3.090046066787168e-06,0.0,1.7383725165181502e-07,0.0,0.0,1.3974261645576891e-07,1.1609859927939404e-12,2.443240775223544e-07,0.0,1.4936479138049166e-05,5.35713315384258e-07,1.3621129418882578e-05,4.4855103601545245e-07,0.0,5.205699335599529e-06,0.0,6.41959371438142e-07,2.1573733229759977e-05,2.1826154491035434e-07,7.89920814466586e-05,6.099651320460994e-09,5.242953580580781e-05,1.8167972825706734e-06,0.0,3.635146872477382e-05,0.00010818235665612961,4.363953125318624e-06,0.0003123424012552142,3.3363356104868804e-06,0.0,0.0,0.0,5.6368187063387234e-05,6.2251823109265394e-09,0.0,0.0,7.720302294199967e-06,2.6516660389936996e-09,2.4913671304299218e-05,2.506462726046303e-06,1.1329044915945903e-07,1.4263853148115173e-05,0.0,2.5630049171892315e-12,3.648866192654891e-05,-0.0,3.3956183353393585e-12,1.808946143630586e-05,0.0,3.192189079527246e-05,4.07268330971924e-05,9.40201779026969e-05,7.931651027423348e-05,-0.0,1.9733933353800666e-05,4.166310709948791e-07,7.824794298285199e-06,0.0004085763444925367,0.0,0.0,0.0005242077603782668,7.142282585283692e-05,0.0,1.3037899618424073e-06,0.0,2.8805684675188755e-06,1.51573763110137e-05,0.0,5.242330908794018e-08,0.0,3.6275748181644473e-06
Base,6,1687834920000000000,3.644275789331148e-06,2.8315030034850555e-05,1.0703756078240088e-07,5.880928900550272e-06,0.0,2.4343164002060275e-05,2.2548257025706836e-06,1.3008720182803707e-05,4.4393644312606984e-05,0.00012500530675730123,0.0,1.733024178191616e-05,0.0,7.71651758977922e-05,1.1740034191051703e-06,7.911157169694393e-06,1.4988433056831245e-06,2.5592488812369225e-06,6.741751020799816e-06,1.1591860455706439e-12,9.742777110603691e-05,5.815254929789729e-06,5.4286590590174e-05,1.941110268334013e-05,1.9773361670623458e-05,1.047828140441001e-05,8.794553309061835e-13,2.2655931294444748e-07,1.7059201865255652e-05,0.0,4.072532823133801e-06,0.0,0.0,7.805826407469809e-07,1.0565176577513257e-09,3.672894231215122e-06,0.0,6.639190702583242e-05,1.1948846768549852e-05,3.6435185782795295e-05,9.216289292659594e-06,0.0,5.6584464389888054e-05,0.0,9.75884028087658e-06,6.829915272328753e-05,2.8916536604509686e-06,0.00018486176279780558,6.374138119578844e-06,0.00019134684672852137,1.30577426326291e-05,1.740518556831164e-06,9.33749215975457e-05,0.0001623782225916528,4.108814216457365e-05,0.00038419880386115964,1.4907304326977868e-05,0.0,0.0,0.0,0.00011989259046425823,5.795660880406566e-06,0.0,2.6993285624731936e-13,3.603432006547766e-05,7.398643305362302e-08,6.787806237600162e-05,1.643562300198849e-05,8.981756000473939e-07,5.595083844594315e-05,0.0,0.0,9.902068495347092e-05,-1.0536452995333206e-07,1.0238960056417741e-07,8.247186455794234e-05,1.7144370813385264e-06,0.00011638313145002116,0.00013791814567204932,0.00023376118606984204,0.000165928220426998,-0.0,7.506338531747572e-05,3.685492996858373e-06,3.636264299999843e-05,0.0005525518318826342,0.0,0.0,0.0004893973083565917,0.0002512253748820843,9.773575583965179e-07,2.6388383299497728e-05,1.3449894826377912e-07,1.3926189987235193e-05,6.381902761659219e-05,9.702962342647849e-08,2.877579460912841e-06,0.0,2.0175301186876013e-05
Base,7,1687835220000000000,6.092150248972347e-06,4.3179156735035704e-05,8.807043015669574e-06,1.0198726550934319e-05,0.0,6.256019958763361e-05,1.3635171989659365e-05,2.8607197931109998e-05,7.388303509705223e-05,0.00016778610550024405,0.0,2.8572665099951334e-05,0.0,0.00010469736907205306,1.0039242031922126e-05,1.8887634696868434e-05,7.019748913450995e-06,7.018005057015612e-06,1.1210409843887612e-05,4.202774204953455e-10,0.00012082615051576119,3.012041233544085e-05,7.918422701806775e-05,2.933104004064491e-05,3.596489676801478e-05,2.0073715035712954e-05,0.0,1.0548664703952889e-06,2.8460461188415906e-05,1.0612705006563667e-12,1.7453482694283632e-05,0.0,0.0,1.4707400722120012e-06,2.600611720268833e-08,1.668101857062843e-05,0.0,8.43526249200863e-05,3.382932662728259e-05,4.899073820518519e-05,3.183444449653129e-05,0.0,0.00012105692390359895,4.957385400220214e-07,2.3906650995111402e-05,9.567592032604699e-05,9.051314780577698e-06,0.0002285573111495962,2.7125093674663823e-05,0.0001753087036209886,2.575582798406644e-05,2.0004525815054607e-05,0.00012552699970114494,0.0001873592877265456,6.15764177199281e-05,0.00041351017649907286,2.8885792395049507e-05,0.0,0.0,0.0,0.00014010246325261443,4.437391501703901e-05,4.851754538117335e-09,1.704140023585413e-08,6.052974498297252e-05,8.20229343607713e-07,0.00010012364139070386,3.4552552016470665e-05,2.766074821297331e-06,8.397336343047112e-05,0.0,6.1076412068326685e-12,0.00011537413689204278,-2.568160246161856e-06,2.3342792381541343e-06,0.0001170374937884508,2.7025786087142014e-05,0.00014554007377267657,0.00017524855614783544,0.000187720231536606,0.0001776024886266599,-0.0,0.00010751104671304342,9.290895123578674e-06,5.6379750235169857e-05,0.0005931191894247566,0.0,0.0,0.00046915100403076916,0.00029540804731178236,1.862131633821384e-05,4.9186524839294854e-05,2.704601011786162e-06,2.4552342409878898e-05,8.6224247146717e-05,2.531065737234533e-06,1.1279344597100819e-05,0.0,3.170089989540958e-05
Base,8,1687835520000000000,8.79822610766249e-06,5.4873681561614006e-05,3.299933867426849e-05,1.3836567671333395e-05,0.0,9.382458678374421e-05,3.137790818823253e-05,4.111877652967074e-05,8.196387944951533e-05,0.000197998371295058,0.0,4.038261681382569e-05,1.0030024148281839e-12,0.00011686937683455006,2.385063396743839e-05,3.054787179407456e-05,1.3968861484561677e-05,1.2543536358493779e-05,1.6170905391066884e-05,7.289340411203267e-08,0.0001310716672221769,4.4524156688033394e-05,9.195705017461129e-05,3.854242036423971e-05,4.9631613737989825e-05,2.987410206407533e-05,3.772390659083063e-11,2.945959368529623e-06,3.4524844773591564e-05,1.2715393758132233e-08,3.4800470182941266e-05,4.402181873530303e-07,0.0,2.3813360513707056e-06,4.093247534160909e-07,3.5628295446731795e-05,0.0,9.026300311825561e-05,4.596329560406179e-05,5.549594675785999e-05,5.489827363950853e-05,0.0,0.00014839482049806247,5.711591491694715e-06,3.3796056734449596e-05,0.00011633538635166127,1.6431249422995084e-05,0.00024932636121193115,4.242877739670891e-05,0.00017436896542777136,3.611446600134466e-05,4.349441659838816e-05,0.00013277419321988752,0.00020452820470441777,7.54216229219644e-05,0.0004260369041137301,4.309898947136368e-05,2.391138088917345e-13,0.0,0.0,0.00014433068327204912,8.013322576946084e-05,3.2016277057387416e-07,1.5243010314882529e-06,7.578070300404399e-05,1.3319356004076624e-06,0.00010562934747939317,5.126216880657812e-05,5.394159060832765e-06,9.720819386426845e-05,0.0,1.0060823919929228e-08,0.00012194443251375875,-9.100543961215534e-06,6.242639411891187e-06,0.00012859424571096844,4.394145067253449e-05,0.00014612055112409706,0.00019090870530728433,0.00016552641595189564,0.0001836779245480508,-0.0,0.00011709428043577625,1.3233039181930687e-05,6.970055168810559e-05,0.0006146926860913472,0.0,0.0,0.0004653494126575059,0.00030654169687596407,4.096608335733465e-05,6.160502172561614e-05,4.994945960693874e-06,3.267272060793845e-05,9.082860380295203e-05,6.2327599459698575e-06,3.420670530228422e-05,0.0,4.0556296758529116e-05
Base,9,1687835820000000000,1.2773237735291918e-05,6.966990816243305e-05,5.1369335711788876e-05,1.7905424089274564e-05,1.7414005549115476e-07,0.00013741164468473516,6.611666954299603e-05,4.925580415804475e-05,8.472855946644448e-05,0.00022077072579169288,0.0,5.2657341268855285e-05,1.9330913556856136e-12,0.00015799389511502704,3.638108094909807e-05,4.336923045744358e-05,2.359031655370978e-05,2.1664379559057786e-05,2.0718940330542483e-05,4.6508264814714816e-07,0.00013929372758030695,5.211858222603222e-05,0.0001055903243556472,4.837278487202644e-05,5.779817126358429e-05,3.781964208218864e-05,5.035028057581454e-08,6.255601287521791e-06,3.735022021714068e-05,7.140618174881751e-07,4.7067849001005676e-05,3.069378303327098e-06,4.1757500591759695e-13,3.3866412162715968e-06,1.612712460025953e-06,5.9100332279561315e-05,5.476660590419879e-11,9.388022870283646e-05,5.498915763389341e-05,5.8568090046388056e-05,6.79134137729804e-05,0.0,0.0001606249453160072,1.1363749749313585e-05,4.103739625794633e-05,0.00017156924980649588,2.362709476963612e-05,0.0002782065457713076,6.514457850917642e-05,0.00023542655149515475,4.408354277353545e-05,6.923668573080397e-05,0.00015471937519556382,0.0002177982850419176,8.778116027257037e-05,0.00043162860819326445,5.449537223505183e-05,0.0,0.0,0.0,0.0001601591538499913,9.367491704424215e-05,1.7773386766561706e-06,3.151912641119145e-06,8.498354907410873e-05,3.854151080263949e-06,0.00011576406454857144,3.927891940463673e-05,9.377961895390315e-06,0.00013303081713766427,1.5742839556899538e-12,4.0543466063200883e-07,0.0001573954023396411,-1.9990495571650025e-05,1.1281810022446893e-05,0.00013739052885390315,5.485863513676688e-05,0.000168083850590599,0.00024169597617338897,0.00015751588992587317,0.00020472716186707243,-0.0,0.00012387209466879832,1.6371646428945833e-05,7.857102452552338e-05,0.000625679451140156,0.0,0.0,0.0006013182067821852,0.0003252220702611926,6.799205240873585e-05,0.00010104525588082839,1.0520043695276917e-05,3.965935441746031e-05,9.245643984965463e-05,1.0400726983254305e-05,8.324011751152091e-05,0.0,4.5828803480935176e-05
