,BGN,BGNx3,Base,I,UG+I,V,V&I,node_name,node_id,neighborhood,historic_stream
0,-3.31116559171285e-09,-2.1265088320787662e-07,0.0,5.295305862720867e-05,-1.3680892075040862e-06,-0.0012241772313769939,-0.0011693017399717065,J105-S_depth,J105-S,Downtown,"Southside, Drains to Harbor"
1,2.0848678006224475e-08,-2.3203981097674742e-08,0.0,-0.034403687410568096,-4.305268469506629e-08,-0.007525175714602983,-0.04048882380056118,J10-S_depth,J10-S,Downtown,"Southside, Drains to Harbor"
2,-2.19198538764509e-08,-1.402927956029032e-07,0.0,-0.0216249647843062,-4.093352192757749e-07,-0.005041767594508473,-0.026791426411016284,J116-S_depth,J116-S,Downtown,"Southside, Drains to Harbor"
3,-3.220838129536219e-08,-1.1779745959228372e-07,0.0,-0.014282890134222181,-3.2983283709819844e-07,-0.0023437394013901824,-0.016608043618033197,J119-S_depth,J119-S,Downtown,"Southside, Drains to Harbor"
4,-0.00012217793759300433,-0.0004910610408911942,0.0,-0.06485846976847881,-0.00029804715741799104,-0.0016034119397733138,-0.06585292608356699,J128-S_depth,J128-S,Canton,Harris Creek
5,-1.499816475458715e-07,-6.180397181254627e-07,0.0,-0.039383162260323235,-1.1023206299420885e-06,-0.0050225737840088325,-0.044362999857729346,J130-S_depth,J130-S,Downtown,"Southside, Drains to Harbor"
6,-6.456064058357747e-08,-1.8250055580648628e-07,0.0,-0.017198268783702397,-3.8249359560205143e-07,-0.0022189696799722047,-0.019435436283845003,J131-S_depth,J131-S,Downtown,"Southside, Drains to Harbor"
7,2.407738842191698e-07,6.962560329948353e-07,0.0,-0.0203656143762187,9.597780533110445e-07,-0.0008209386305911837,-0.02125163525116691,J136-S_depth,J136-S,Downtown,"Southside, Drains to Harbor"
8,4.784216381392703e-08,2.0974734978917997e-05,0.0,0.001116378563815107,2.4258952925015898e-05,-0.0009996711422161908,7.938769972762327e-05,J138-S_depth,J138-S,Downtown,"Southside, Drains to Harbor"
9,5.1957394220369935e-09,-5.446700868105836e-10,0.0,2.2594663880992627e-06,-6.498276916566681e-10,-0.0003817991586838876,-0.0003797229464663765,J141-S_depth,J141-S,Downtown,"Southside, Drains to Harbor"
10,7.589094569437904e-08,-3.901537853900905e-08,0.0,-0.02146921761978382,-8.048075761379891e-08,-0.0026912488435890114,-0.024272317868124005,J157-S_depth,J157-S,Downtown,"Southside, Drains to Harbor"
11,1.729605589306793e-08,-3.4885300204123837e-10,0.0,8.799763068806365e-06,-6.052662704369993e-09,-0.0012291052463002938,-0.0012208256821567842,J163-S_depth,J163-S,Downtown,"Southside, Drains to Harbor"
12,1.2226698500872324e-08,-1.2806731924941417e-09,0.0,-0.001748861604358401,5.5511872043556565e-09,-0.000651701645693295,-0.0023965751709453947,J165-S_depth,J165-S,Federal Hill,"Southside, Drains to Harbor"
13,2.8476529898013858e-08,-9.110959292568666e-09,0.0,6.505076173196622e-06,-1.155820822940079e-07,-2.9894921996231894e-08,6.40282178419882e-06,J171-S_depth,J171-S,Canton,"Northside, Drains to Harbor"
14,-9.569722189683993e-08,-2.0393340660618264e-07,0.0,2.35160859815009e-05,-1.1826677084048054e-06,-0.0005771412056662928,-0.0005538469596670093,J177-S_depth,J177-S,Federal Hill,"Southside, Drains to Harbor"
15,7.464137761203915e-07,1.024641011704297e-06,0.0,-0.021823005102731885,4.274017665506502e-06,-0.0019632516326952842,-0.02379955344917467,J182-S_depth,J182-S,Federal Hill,"Southside, Drains to Harbor"
16,5.204022299198918e-08,-7.698657550347932e-08,0.0,-0.0195141269145149,-2.4881666779719147e-07,-0.0004480999444128053,-0.019897524010693307,J191-S_depth,J191-S,Fells Point,Canal Street Creek
17,3.775249999005137e-07,3.035804692075317e-07,0.0,9.501930452404661e-06,1.693314653800071e-06,-0.0012420397766668007,-0.0012307596798838971,J1-S_depth,J1-S,Clifton Park,Canal Street Creek
18,1.2945402305675202e-08,-7.46488995617689e-10,0.0,7.749613739907457e-06,-4.28112958972271e-09,-0.00024560805921639006,-0.00023852283450719047,J204-S_depth,J204-S,Fells Point,Canal Street Creek
19,4.50334368129468e-08,-7.0559650899859605e-09,0.0,2.9949091771896974e-05,-2.84078229828566e-08,-0.003052179349173595,-0.0030251790689273805,J208-S_depth,J208-S,Downtown,"Southside, Drains to Harbor"
20,-3.12063939381102e-06,-0.015828384211165114,0.0,-0.020533370823423103,-0.0003840863510738146,-0.002746779159839896,-0.022997645609120293,J211-S_depth,J211-S,Fells Point,Canal Street Creek
21,2.9454524541616678e-08,-3.640325108023035e-08,0.0,-0.007159428363051279,-3.2633126090253484e-08,-1.419592149387583e-08,-0.007159423352615879,J227-S_depth,J227-S,Locust Point,"Southside, Drains to Harbor"
22,-4.969371414989543e-07,-3.5656714170162473e-07,0.0,-8.188138544099055e-06,1.1278008638995751e-06,-1.7652138650098292e-07,-7.700028497599487e-06,J231-S_depth,J231-S,Locust Point,"Southside, Drains to Harbor"
23,-4.945478747006571e-07,-4.3609962470034236e-07,0.0,-0.00022098963810730093,-4.1352384400061837e-07,-4.5716131640005653e-07,-0.00022110733106039948,J232-S_depth,J232-S,Locust Point,"Southside, Drains to Harbor"
24,2.7840034694248672e-08,-3.753064803380113e-09,0.0,1.5752983385686203e-05,-1.6388070706030433e-08,-0.0026077549789922105,-0.0025912802859167916,J234-S_depth,J234-S,Locust Point,"Southside, Drains to Harbor"
25,3.730534720025602e-08,2.3612385297022698e-08,0.0,-2.0955326501814753e-08,8.699625529684507e-08,7.66429514992284e-08,1.9280751800687668e-08,J238-S_depth,J238-S,Locust Point,"Southside, Drains to Harbor"
26,2.2028595086931446e-08,2.513342201027058e-09,0.0,-0.002731331141092891,2.6390380797325363e-08,-0.0008005722524830061,-0.003515426863066301,J240-S_depth,J240-S,Locust Point,"Southside, Drains to Harbor"
27,6.837967909678611e-07,9.468081560992658e-07,0.0,-0.01865862357652842,4.051059071863428e-06,-0.0012686604722534356,-0.01990027152710544,J245-S_depth,J245-S,Locust Point,"Southside, Drains to Harbor"
28,-0.0034592010304186904,-0.009761784361714793,0.0,-0.02609125127559639,-0.0048723614522604985,-0.0078813400242633,-0.03339487323126619,J253-S_depth,J253-S,Eager Park,Canal Street Creek
29,-0.0004979745152506043,-0.0004979676248094145,0.0,-0.0106611879301933,-0.0024231636424666136,-0.0029609228089547135,-0.013524882587634512,J260-S_depth,J260-S,Broadway East,Canal Street Creek
30,-0.00075887252228099,-0.000758813819858789,0.0,-0.003201146800775795,7.102143807560801e-05,-0.0026288603422002788,-0.005758114752961702,J266-S_depth,J266-S,Clifton Park,Canal Street Creek
31,8.995306555098503e-06,1.104274563720753e-05,0.0,2.2195281439998937e-05,-3.4952672289811915e-07,-0.001217473940789096,-0.0011892899952603009,J268-S_depth,J268-S,Clifton Park,Canal Street Creek
32,6.508408654501419e-06,1.5627435123198585e-05,0.0,0.0004714215917934958,0.00010519199120770373,0.00025336812596509634,0.0007074815415403987,J273-S_depth,J273-S,Clifton Park,Canal Street Creek
33,-0.008655270977647511,-0.00867120726124082,0.0,-0.029665883516856423,-0.00014267046741320288,-0.00909318240673851,-0.03914006137007292,J278-S_depth,J278-S,Broadway East,Canal Street Creek
34,-3.395844319631358e-08,6.256253090586306e-08,0.0,-0.02350984975065648,2.185604059956603e-07,3.0740591405731266e-08,-0.023511751639604783,J27-S_depth,J27-S,Locust Point,"Southside, Drains to Harbor"
35,-0.01081643806265209,-0.010811531015295972,0.0,-0.03235226206722441,-0.00257365475883109,-0.012044239594038164,-0.0447629749400123,J280-S_depth,J280-S,Broadway East,Canal Street Creek
36,0.00018389030140797402,0.00017722840883810376,0.0,0.0010304137676098724,0.00030599978216677703,-0.005163001525103905,-0.0039051152257332244,J328-S_depth,J328-S,Broadway East,Canal Street Creek
37,-0.004573944563072002,-0.004528157024198787,0.0,-0.027863432757076506,-0.0070571481378984,-0.008786428691693604,-0.0353767017772782,J329-S_depth,J329-S,Broadway East,Canal Street Creek
38,-0.008358946382904742,-0.023154957987302438,0.0,-0.055583653448889325,-0.011630210679729913,-0.018317654926140736,-0.0725896546269516,J338-S_depth,J338-S,Eager Park,Canal Street Creek
39,-1.795400678128445e-08,-4.9028041793075516e-08,0.0,-0.01912410866941089,-9.905198661286363e-08,-0.006217737129539491,-0.025388704885937474,J33-S_depth,J33-S,Locust Point,"Southside, Drains to Harbor"
40,-7.577702909600248e-10,1.195684107280215e-10,0.0,1.5871045140614104e-07,-1.5393314956035908e-09,1.6627696997062458e-09,1.5954443960408682e-07,J34-S_depth,J34-S,Locust Point,"Southside, Drains to Harbor"
41,-0.003282219911818679,-0.010318882814002589,0.0,-0.033334191102234484,-0.004931116285972786,-0.010707943881199278,-0.04048361550196167,J361-S_depth,J361-S,Eager Park,Canal Street Creek
42,-0.00575962086465881,-0.017733833886539513,0.0,-0.05672499197229561,-0.008391619230903313,-0.01447748223313372,-0.0670399738903929,J366-S_depth,J366-S,Eager Park,Canal Street Creek
43,-0.003371337226277221,-0.007044298680318417,0.0,0.019652023852439193,-0.006365263772709906,-0.009391202051307695,0.009794644766433186,J385-S_depth,J385-S,Broadway East,Harris Creek
44,-8.705990223178972e-08,-1.8887560199187803e-07,0.0,-0.047079363404005425,-5.275811992278001e-07,-0.005248367264650833,-0.05014838674800151,J3-S_depth,J3-S,Fells Point,"Northside, Drains to Harbor"
45,-0.0012168476111446003,-0.0012111122473855152,0.0,6.81397996220856e-05,1.1334929999495813e-05,-0.0009660831839299056,-0.000901768637353001,J413-S_depth,J413-S,Broadway East,Harris Creek
46,-0.0034831896585142963,-0.006951661437919698,0.0,-0.02500722579173381,-0.008302780695966294,-0.011744476409457916,-0.037926200281438394,J421-S_depth,J421-S,McElderry Park,Harris Creek
47,-1.7885187081345677e-09,2.472591992264128e-10,0.0,7.102004356968061e-07,-3.0795994088173018e-09,-0.00041273293427740443,-0.0004118585446112044,J42-S_depth,J42-S,Locust Point,"Southside, Drains to Harbor"
48,-4.024321368922834e-07,-8.368349931897612e-07,0.0,0.0004329173882839099,-8.061578931906066e-07,-0.00014863232724499076,0.000284488617223716,J433-S_depth,J433-S,Madison-Eastend,Harris Creek
49,-0.003070916320775302,-0.0162808622224285,0.0,-0.056986473493834205,-0.006883514855717893,-0.01061070059581809,-0.05967735705453091,J437-S_depth,J437-S,Patterson Park,Harris Creek
50,-0.008658320515912976,-0.017980824634382775,0.0,-0.14214958558048207,-0.019618019185636604,-0.02865773158226309,-0.1668751582532702,J438-S_depth,J438-S,McElderry Park,Harris Creek
51,1.9179403385194416e-06,3.6902642140124176e-06,0.0,-0.0018694621414599988,3.5035153358176085e-06,-0.00011026264029219413,-0.001980935512366999,J450-S_depth,J450-S,Madison-Eastend,Harris Creek
52,-2.4400036160693306e-05,-2.4271483017007656e-05,0.0,0.002272086242021687,-1.805597215331911e-05,-0.0004248214253937954,0.0018814463717816976,J456-S_depth,J456-S,Orangeville,Harris Creek
53,-1.777963509752567e-08,-5.3335386801522944e-08,0.0,2.710111460579867e-05,-3.053974354932931e-07,-1.178917419936143e-07,2.694101001810001e-05,J45-S_depth,J45-S,Locust Point,"Southside, Drains to Harbor"
54,-7.892136222320545e-09,-1.1799641902454638e-08,0.0,-0.0023566226852460154,1.3868612495915311e-06,-0.0015159252255101119,-0.0038581106564818113,J460-S_depth,J460-S,Orangeville,Harris Creek
55,-1.9509783611981746e-06,-1.4587781541064437e-07,0.0,-0.009825647971408613,4.544163871494922e-06,-0.0013217082935005064,-0.011055082853159093,J461-S_depth,J461-S,Baltimore Highlands,Harris Creek
56,1.2603914023578966e-09,1.7410370367620942e-10,0.0,4.228211179790886e-08,-2.205508400909828e-09,-0.0006509368906017915,-0.0006509370514369978,J46-S_depth,J46-S,Locust Point,"Southside, Drains to Harbor"
57,-8.531783440846041e-08,-1.0895659813270342e-07,0.0,0.0010299675379616957,1.1856484014804991e-05,-0.00860821244552834,-0.0075872772929750365,J471-S_depth,J471-S,Orangeville,Harris Creek
58,3.128255579576411e-08,1.305104226689835e-05,0.0,6.635451488637423e-05,-5.909721781383048e-08,-0.0008196712340935164,-0.0007529038856763093,J480-S_depth,J480-S,McElderry Park,Harris Creek
59,-9.361988567158086e-07,5.898716081143007e-07,0.0,-0.0324727285982212,3.106861471702249e-06,-0.0033576009106486837,-0.03585492107042498,J484-S_depth,J484-S,Baltimore Highlands,Harris Creek
60,-6.412783118969756e-07,-3.2352246898126324e-07,0.0,-0.016513711382464102,2.065596851119622e-06,-0.0023956092611192026,-0.0188790057806347,J491-S_depth,J491-S,Kresson,Harris Creek
61,-2.247867490756672e-08,-9.818258921157064e-08,0.0,4.563267712795471e-06,-6.131208388077125e-07,-0.00035919130677840305,-0.000355361369346302,J492-S_depth,J492-S,Baltimore Highlands,Harris Creek
62,-1.6684127399080317e-08,-0.012510177512231394,0.0,9.608688466000714e-07,-6.342641686030159e-07,-0.0002762917124866926,-0.0002753730844839014,J49-S_depth,J49-S,Washington Hill,Canal Street Creek
63,1.4547491176963856e-06,1.6939674168936492e-06,0.0,-0.024769470902486296,6.951671025295925e-06,3.1959578525864174e-06,-0.024767665827937102,J4-S_depth,J4-S,Canton,"Northside, Drains to Harbor"
64,4.108524923079893e-06,3.7141708960908293e-06,0.0,0.0013299242777308762,3.462995459002638e-07,-0.0007119961816792197,0.0006204663952461831,J506-S_depth,J506-S,Baltimore Highlands,Harris Creek
65,-9.727534972525653e-07,-5.903652621847e-05,0.0,-0.0430489159813745,2.8547202639006564e-06,-0.0032625298341164566,-0.04628955458313477,J507-S_depth,J507-S,Patterson Park,Harris Creek
66,3.2014149109471646e-09,-0.01543459461515588,0.0,-0.0018210338618356858,2.2515424413782625e-08,-0.0024770980476099824,-0.004281612986109684,J50-S_depth,J50-S,Washington Hill,Canal Street Creek
67,2.691901906937133e-08,-6.823947313822076e-05,0.0,-0.03626357926628654,3.689253471994558e-06,-0.002606371575230304,-0.03873282915846482,J512-S_depth,J512-S,Patterson Park,Harris Creek
68,-2.2629566959198044e-07,-0.004199267122594302,0.0,-0.018233466786311492,-5.404390016061633e-07,-0.0005458046440157127,-0.018834291976636997,J534-S_depth,J534-S,Patterson Park,Harris Creek
69,6.967511789746084e-09,-7.240249288997802e-09,0.0,-0.0326354914491242,-2.3582038599645472e-08,-0.013063327879124564,-0.04514580097629228,J539-S_depth,J539-S,Canton,"Northside, Drains to Harbor"
70,3.285136963016022e-07,8.564006651057277e-08,0.0,0.0001389245825678953,2.101926288577971e-08,-0.0005258225028779151,-0.00039244975613919597,J541-S_depth,J541-S,Canton Industrial Area,"Northside, Drains to Harbor"
71,5.4762923307194455e-08,8.07140937419959e-09,0.0,0.0018269901345179806,-7.759368092496999e-09,-0.010985940067960498,-0.009303802072485101,J548-S_depth,J548-S,Canton,"Northside, Drains to Harbor"
72,-1.1308214920013882e-09,-5.6126109315712824e-08,0.0,-0.047845339966983313,-5.970038036151593e-07,-5.194209001802008e-08,-0.04784534111660352,J556-S_depth,J556-S,Canton,Harris Creek
73,4.445307810740928e-08,-1.3072919580192632e-08,0.0,-0.0022392154288033983,-4.657397228990945e-08,-0.0003322001178100997,-0.0025682154242786803,J567-S_depth,J567-S,Berea,Armistead Creek
74,3.203144471886077e-08,-4.652965290841138e-09,0.0,-0.024625568794336417,2.68410412396225e-07,-0.0012323221893332792,-0.02586439297856319,J568-S_depth,J568-S,Berea,Armistead Creek
75,-6.062379903637449e-09,-5.7020233118487695e-09,0.0,-6.606716060342244e-08,-2.3952784408698413e-08,-0.0003221890897337071,-0.0003222519367555021,J571-S_depth,J571-S,Berea,Armistead Creek
76,-0.004641043874456879,-0.016204774352032797,0.0,-0.0803904189996538,-0.018350223269010896,-0.016369719053688586,-0.0860995692195434,J576-S_depth,J576-S,Dunbar-Broadway,Canal Street Creek
77,-0.0028818568538143685,-0.01136867871391889,0.0,-0.07061657892237408,-0.02250357268782127,-0.0143128606239884,-0.07495878814484896,J578-S_depth,J578-S,Dunbar-Broadway,Canal Street Creek
78,-2.6823684495802524e-08,-5.1518642296688455e-08,0.0,-0.025744610961426495,-3.471088866890959e-07,-0.002431390407131584,-0.027963520019323895,J586-S_depth,J586-S,Dunbar-Broadway,Canal Street Creek
79,6.010556780067233e-08,-5.368548749995483e-08,0.0,0.0005442922227285873,-1.653542807122932e-07,-0.004939955327546208,-0.004379234710827018,J587-S_depth,J587-S,Downtown,"Southside, Drains to Harbor"
80,8.143965322116031e-07,-1.1925522638844832e-07,0.0,-0.008261654139507607,-9.399674177901218e-07,-0.0015933879548702123,-0.009816952428860298,J592-S_depth,J592-S,Dunbar-Broadway,Canal Street Creek
81,2.6872320937898486e-07,4.112366963904268e-07,0.0,-0.015766398542114507,2.39129054879772e-06,9.835528606005894e-07,-0.015765724520630103,J5-S_depth,J5-S,Canton,"Northside, Drains to Harbor"
82,2.420410349923685e-08,1.9234961096126213e-08,0.0,-0.000953315381727507,6.363620971006068e-07,-0.0015518670363068032,-0.002500947084787611,J609-S_depth,J609-S,Dunbar-Broadway,Canal Street Creek
83,2.769599458107841e-08,-3.0087032032444228e-09,0.0,7.5595941304851255e-06,-1.3560227218878396e-08,-0.0003168663299278063,-0.0003093982885710167,J60-S_depth,J60-S,Downtown,"Southside, Drains to Harbor"
84,2.2291155699072362e-08,-2.9773745968686427e-09,0.0,0.0003024272074093892,-1.3630788109342262e-07,-0.002986976278989195,-0.002688893008562704,J619-S_depth,J619-S,Dunbar-Broadway,Canal Street Creek
85,-0.0053965759099185995,-0.011799904728120869,0.0,0.03416582727144263,-0.002573961930683377,-0.015103514541294771,0.017000422785469926,J620-S_depth,J620-S,Broadway East,Harris Creek
86,-0.00453553763174408,-0.009695712466151807,0.0,0.032581686742649885,-0.0008795657551884939,-0.013660344961620108,0.01765454316983439,J624-S_depth,J624-S,Broadway East,Harris Creek
87,5.359403043581068e-08,-3.5207574689000154e-08,0.0,-0.010400461490763568,-3.5661843089673795e-08,-0.00044328300144019783,-0.010856140190397878,J62-S_depth,J62-S,Downtown,"Southside, Drains to Harbor"
88,3.175667850907615e-08,-5.820925796928833e-09,0.0,3.409027335002368e-05,-2.214271349609831e-08,-0.0014385610201559929,-0.0014049038429876926,J632-S_depth,J632-S,Eager Park,Canal Street Creek
89,-0.003250513890275697,-0.011908429882331512,0.0,-0.05444358493120949,-0.0054466572964397275,-0.011947713282976002,-0.06109278771942811,J637-S_depth,J637-S,Eager Park,Canal Street Creek
90,-0.002728433647071399,-0.011217807140540492,0.0,-0.05792820661157619,-0.002394135498785588,-0.012129681378970497,-0.06374046839624589,J640-S_depth,J640-S,Eager Park,Canal Street Creek
91,5.6176213375502826e-08,-6.651290990200565e-08,0.0,9.976575617540173e-05,-2.3142527980080096e-07,-0.0016527813556612148,-0.0016643636002319218,J659-S_depth,J659-S,Baltimore Highlands,Harris Creek
92,-4.095817289870296e-05,-0.00018046863930720747,0.0,-0.006424771726440209,-0.00011700160169320073,-0.0007995376461075177,-0.007456972296065206,J672-S_depth,J672-S,Canton,Harris Creek
93,3.632358791527679e-08,-4.8913914890702515e-08,0.0,0.00023511999882419587,-2.7640116340155174e-07,-4.286642218964687e-08,0.00023510520044900396,J675-S_depth,J675-S,Canton,Harris Creek
94,-3.0342104190284047e-07,-4.650323950083912e-07,0.0,0.002625094335050704,-2.657822069207505e-06,4.3872843306508313e-05,0.0027375450640342025,J686-S_depth,J686-S,Canton,Harris Creek
95,-0.00020489090382950007,2.034771810974223e-07,0.0,0.00022930894750999853,-0.00020406012535600232,7.82169283769854e-06,0.00023708570081919927,J694-S_depth,J694-S,Canton,Harris Creek
96,-3.4155751980985416e-05,-0.0001412106261567958,0.0,-0.01907874654013808,-8.218873206419786e-05,-0.000599398690193903,-0.019660236900077288,J695-S_depth,J695-S,Canton,Harris Creek
97,-3.5134853389046095e-06,-0.0067257496398726024,0.0,0.00026439527992219714,-2.478549524204121e-06,-0.0008505397703116035,-0.0005858216798935029,J712-S_depth,J712-S,Patterson Park,Harris Creek
98,2.6188433893681307e-08,-2.5711152207286148e-08,0.0,8.32912541778863e-05,-6.370210170469903e-08,-2.117264595130619e-05,6.208856717559996e-05,J714-S_depth,J714-S,Upper Fells Point,"Northside, Drains to Harbor"
99,2.30033028741361e-05,-9.22386131146924e-06,0.0,-0.027845267354968284,-8.529008945989958e-06,-0.0011764526236791584,-0.028941371807220062,J71-S_depth,J71-S,Federal Hill,"Southside, Drains to Harbor"
