,node_name,BGN,BGNx3,Base,I,UG+I,V,V&I,node_id,neighborhood,historic_stream
0,J105-S_depth,0.1630322653860952,0.1630322046350171,0.1630322936881277,0.1636952749083145,0.1636949909868991,0.1630450485425243,0.1637892887132741,J105-S,Downtown,"Southside, Drains to Harbor"
1,J10-S_depth,0.227746426287618,0.2277466361966824,0.2216816115762975,0.2185352863637777,0.2252198485024057,0.2153767823447427,0.2025461898473996,J10-S,Downtown,"Southside, Drains to Harbor"
2,J116-S_depth,0.2264545452980808,0.2264547027811238,0.2264547683362824,0.2004889874698138,0.2004887469868899,0.224305622980762,0.1971366110053258,J116-S,Downtown,"Southside, Drains to Harbor"
3,J119-S_depth,0.1100619958723539,0.1100620119470301,0.1100620188501809,0.088420821472334,0.0884208917875448,0.1086197016154837,0.0857241071986553,J119-S,Downtown,"Southside, Drains to Harbor"
4,J128-S_depth,0.1487013468126072,0.1485125354200935,0.1487174710237372,0.0636152514092086,0.0634759351796155,0.1486758399927525,0.0635617208403967,J128-S,Canton,Harris Creek
5,J130-S_depth,0.284598352387644,0.2845972494090654,0.2845972255360066,0.2235651464893253,0.223563118052247,0.2820172229731402,0.2208639237369846,J130-S,Downtown,"Southside, Drains to Harbor"
6,J131-S_depth,0.1179329091453176,0.1179326855627326,0.1179326622077911,0.0892500472873073,0.089249787349678,0.1166808618440181,0.0875132008276114,J131-S,Downtown,"Southside, Drains to Harbor"
7,J136-S_depth,0.3824844449379281,0.3824841131868016,0.3816139810806142,0.3771748828711452,0.3771744361373543,0.3809433611011499,0.3754987741819496,J136-S,Downtown,"Southside, Drains to Harbor"
8,J138-S_depth,0.179416471438481,0.1794124046649146,0.1794156700707778,0.1892323409650951,0.1892319467022707,0.1797084229609044,0.1894053965524946,J138-S,Downtown,"Southside, Drains to Harbor"
9,J141-S_depth,0.1637020962839616,0.1637020790877792,0.163702913402239,0.1637331192949865,0.163733109883768,0.1632880520070247,0.1633185728896249,J141-S,Downtown,"Southside, Drains to Harbor"
10,J157-S_depth,0.2397826238113426,0.2397826251857507,0.2397826237451054,0.2063472891465052,0.2063472893893609,0.2372310049215047,0.2039557346121544,J157-S,Downtown,"Southside, Drains to Harbor"
