,link_name,BGN,BGNx3,Base,I,UG+I,V,V&I,link_id,neighborhood
0,timestamp,1.68792972e+18,1.68792972e+18,1.68792972e+18,1.68792972e+18,1.68792972e+18,1.68792972e+18,1.68792972e+18,timestamp,
1,C102-S_velocity,0.0011851400464298,0.0011276236581705,0.0011851355842645,0.0015577499733448,0.0015577426656783,0.0011808180077361,0.0015414258510052,C102-S,Patterson Park
2,C105-S_velocity,0.0012773723751763,0.0012822980817731,0.001277380889236,0.001282578247515,0.0012825587603949,0.0012744534312801,0.0012797197478846,C105-S,Patterson Park
3,C111-S_velocity,0.0068262714160147,0.0068262631906232,0.0068261430799836,0.0048747094148972,0.0048746568979609,0.0068106437491948,0.0048630297076879,C111-S,Baltimore Highlands
4,C113-S_velocity,0.0015681987088245,0.0015688050352464,0.0015682006502287,0.0011903909475554,0.0011903892373421,0.0015652550539818,0.00118855204018,C113-S,Baltimore Highlands
5,C131-S_velocity,0.0002811410541545,0.0002811409065553,0.0002811411138366,0.0002330900581997,0.0002330894647822,0.0002811409272012,0.0002330898087271,C131-S,Fells Point
6,C141-S_velocity,0.0012943043584192,0.0012942870914442,0.0012942947223519,0.0013024144251823,0.0013024119203526,0.0012942781269886,0.0013024168308585,C141-S,Canton
7,C159-S_velocity,0.0007423992813029,0.0007423981953668,0.0007424026148311,0.0007560784122512,0.0007560755948703,0.0007423995907767,0.0007560790672062,C159-S,Upper Fells Point
8,C163-S_velocity,0.0009176105426026,0.0009176105420014,0.0009176104912284,0.0009877593690363,0.0009877605827486,0.0009174453344845,0.0009875884454377,C163-S,Upper Fells Point
9,C168-S_velocity,0.0014911285232369,0.0014910258990403,0.0014910695989096,0.0015727253517467,0.0015727131328004,0.0014909687553637,0.0015727405303667,C168-S,Canton
10,C182-S_velocity,0.0041458461247239,0.0041448086317812,0.0041460465933601,0.0041632757481414,0.0041616570759309,0.0041455900770522,0.0041624165818288,C182-S,Canton
11,C187-S_velocity,0.0002743903946373,0.0002653660155927,0.0002741518106633,0.0002944978407556,0.0002945636389854,0.0002690072174473,0.000287857490204,C187-S,Canton
12,C190-S_velocity,0.0065483805584313,0.0065465660225373,0.0065483506784598,0.0043788970258104,0.0043788840595231,0.0065405758765919,0.0043752591249097,C190-S,Baltimore Highlands
13,C191-S_velocity,0.0015823386545325,0.001588325743719,0.0015823434336589,0.0006141091163341,0.0006140980254965,0.0015801089611071,0.0006131175349535,C191-S,Patterson Park
14,C211-S_velocity,0.0020952432020716,0.001556699923429,0.0020952752837115,0.0021064576299183,0.002106459826235,0.0020902070054533,0.0021013567687848,C211-S,Patterson Park
15,C21-S_velocity,0.0019124831862371,0.0019124790048617,0.0019273926355839,0.0012901944004332,0.0012901916217435,0.0018448344325452,0.0012397698449227,C21-S,Broadway East
16,C226-S_velocity,0.0013733213674888,0.0013733231166144,0.0013733287273838,0.0013883975866089,0.0013883978864113,0.0013722833433199,0.0013861437962167,C226-S,Baltimore Highlands
17,C227-S_velocity,0.0021096784076965,0.0021096967000802,0.0021097797241154,0.0015347587124084,0.0015347129420993,0.0021004070379442,0.0015258114846711,C227-S,Kresson
18,C229-S_velocity,0.0006740809558078,0.0006741079474731,0.0006740821578338,0.0006456301249639,0.0006456514061977,0.0006737079357701,0.0006452410638693,C229-S,Kresson
19,C236-S_velocity,0.0003994008277961,0.0003994130070143,0.0003994012036338,0.0003964654535279,0.0003964641473803,0.000392001246212,0.0003890257019208,C236-S,Orangeville
20,C23-S_velocity,0.0004143547298099,0.0004143545184839,0.0004095659116669,0.0001769569094212,0.0001770158407021,0.0003960877823756,0.0001674245134058,C23-S,Broadway East
21,C249-S_velocity,0.0021466324366304,0.0021466333673961,0.0021466313459434,0.0021440460650167,0.0021440477751611,0.0021411850069919,0.0021386088719693,C249-S,Madison-Eastend
22,C251-S_velocity,0.0012121277795403,0.0012153682151001,0.0012081621765343,0.0011139048265274,0.0011177315414207,0.0012138264804994,0.0011166176535723,C251-S,Madison-Eastend
23,C260-S_velocity,0.0014368197652751,0.0014366329018174,0.0014367165888925,0.0014706932937339,0.0014706880059509,0.001436809837024,0.0014708817829271,C260-S,Baltimore Highlands
24,C26-S_velocity,0.0034058903111978,0.0034058837972455,0.0036045212430172,0.0027016978146967,0.0026932171027493,0.0034229237070393,0.0025419985216915,C26-S,Broadway East
25,C274-S_velocity,0.0011159651643797,0.001115965017955,0.0011159651348436,0.0011630946161554,0.0011630941835154,0.0011155642340937,0.00116248907734,C274-S,Kresson
26,C279-S_velocity,0.0009159335124553,0.0009158279501913,0.0009138104844011,0.0009255957283873,0.0009256031438936,0.0008897598846036,0.0008967137967655,C279-S,Broadway East
27,C27-S_velocity,0.0013256647219354,0.0013256491324997,0.0014531223704453,0.0007236858334782,0.0007198882690254,0.0013438374448494,0.0006527708622358,C27-S,Broadway East
28,C292-S_velocity,0.0009344762177286,0.0009646061332319,0.0009624043097627,0.0007219988583188,0.0007210767761839,0.0009135004884737,0.0006653831813346,C292-S,Broadway East
29,C2-S_velocity,0.00036287830725,0.000362878350003,0.0003628751088211,0.0003631834108282,0.0003631832083647,0.0003628991133139,0.0003632798653214,C2-S,South Clifton Park
30,C301-S_velocity,0.0021135400765498,0.0020514540301436,0.0021696692073365,0.002379494762838,0.0023052510593633,0.002061376204865,0.0022580732526859,C301-S,Eager Park
31,C314-S_velocity,0.0006552458964553,0.0006552459230517,0.0006552457767518,0.0006751371916746,0.0006751377206535,0.000650912486754,0.0006708655510258,C314-S,Dunbar-Broadway
32,C317-S_velocity,0.0005679722271569,0.0005679720995169,0.0005679721829511,0.0003743702946864,0.0003743703249918,0.0005629188174098,0.0003716553568061,C317-S,Dunbar-Broadway
33,C319-S_velocity,4.7261434733284616e-05,4.727590545589992e-05,4.726070071340573e-05,1.1922297536292264e-05,1.1922302971505657e-05,4.648021990270945e-05,1.173425313251486e-05,C319-S,Washington Hill
34,C321-S_velocity,0.0002464693326791,0.0002464441705252,0.0002464699960708,0.0001398006423172,0.0001398005306573,0.0002454349482896,0.0001393213181495,C321-S,Washington Hill
35,C325-S_velocity,8.95288068783483e-05,9.024318398828028e-05,8.953327695213711e-05,2.5762281274118968e-05,2.5763053366288877e-05,8.889039322294563e-05,2.574545478674648e-05,C325-S,Fells Point
36,C327-S_velocity,0.0050231478977849,0.0041384027735922,0.0050231490491575,0.0040062368043608,0.0040062363013415,0.0050086335696855,0.003990821829999,C327-S,Fells Point
37,C328-S_velocity,0.0020942641603369,0.001656934263175,0.0020942650371427,0.0016156542639848,0.0016156535000543,0.0020878341529804,0.001609701646737,C328-S,Fells Point
38,C338-S_velocity,0.0016255779335008,0.0010298664510371,0.0016255005739286,0.0016255675656012,0.0016255622689296,0.0016113640069316,0.0016115843780314,C338-S,Washington Hill
39,C340-S_velocity,0.0016656250295605,0.0011464272805274,0.0016655258323308,0.0016838311347948,0.0016838199613943,0.0016584857789359,0.001676703051661,C340-S,Fells Point
40,C34-S_velocity,0.0003022527980099,0.0003022657165919,0.0003021675260043,0.0003028648349484,0.0003028644232782,0.0002901814288767,0.0002909109796679,C34-S,South Clifton Park
41,C351-S_velocity,0.0009527036139204,0.0009527036125501,0.0009527036049052,0.0009584697461417,0.0009584697963727,0.000952703619056,0.0009584697785603,C351-S,Fells Point
42,C355-S_velocity,0.0005416808291527,0.0005416808636521,0.0005416808241798,0.0004455895799166,0.000445589390511,0.0005416808381007,0.0004455894918037,C355-S,Fells Point
