,link_name,Base,I,V,V&I,link_id,neighborhood
0,timestamp,1.68795852e+18,1.68795852e+18,1.68795852e+18,1.68795852e+18,timestamp,
1,C102-S_velocity,0.0011848398176673,0.0011561879213872,0.0011805216899584,0.0011407312797137,C102-S,Patterson Park
2,C105-S_velocity,0.001280991455542,0.0012861313311912,0.0012780795650602,0.0012832713235409,C105-S,Patterson Park
3,C111-S_velocity,0.0068267577741825,0.0048899100373586,0.0068118398884433,0.0048786324849709,C111-S,Baltimore Highlands
4,C113-S_velocity,0.0015792964010114,0.0011953608456865,0.0015765027505605,0.0011935062693012,C113-S,Baltimore Highlands
5,C131-S_velocity,0.0002757328243332,0.000230653453899,0.0002757332469493,0.0002306533105973,C131-S,Fells Point
6,C141-S_velocity,0.0012904901965507,0.0013005282722566,0.0012904754949922,0.0013005277318754,C141-S,Canton
7,C159-S_velocity,0.0007344623359579,0.0007474777051197,0.0007344593065417,0.000747477706966,C159-S,Upper Fells Point
8,C163-S_velocity,0.0009185541031373,0.0009885151008404,0.0009183867929415,0.0009883429051963,C163-S,Upper Fells Point
9,C168-S_velocity,0.0014869049310644,0.0015687176360165,0.0014868034166122,0.0015687151559045,C168-S,Canton
10,C182-S_velocity,0.0041465897875993,0.0041640386920876,0.0041460410318221,0.0041631320133176,C182-S,Canton
11,C187-S_velocity,0.0002739921392621,0.0002951883478798,0.0002636865669478,0.0002870936626262,C187-S,Canton
12,C190-S_velocity,0.0065538598590247,0.0044009019124771,0.0065459028930173,0.0043971438135289,C190-S,Baltimore Highlands
13,C191-S_velocity,0.0015850140748296,0.0006040179196077,0.0015826517062128,0.0006023170297812,C191-S,Patterson Park
14,C211-S_velocity,0.0020869916615523,0.002101807333348,0.0020818357304601,0.0020966851282739,C211-S,Patterson Park
15,C21-S_velocity,0.0019376217022204,0.0012949001519781,0.0018551115871224,0.0012445903532221,C21-S,Broadway East
16,C226-S_velocity,0.0013881388638024,0.0013891477121609,0.0013871438064008,0.0013880072171459,C226-S,Baltimore Highlands
17,C227-S_velocity,0.0021201037037069,0.0015474708383391,0.002110660671199,0.0015384729682333,C227-S,Kresson
18,C229-S_velocity,0.0006934177663505,0.0006694015485934,0.0006930715297467,0.0006690010745004,C229-S,Kresson
19,C236-S_velocity,0.0004053349300405,0.0004025560093884,0.0003979490833572,0.0003951943660447,C236-S,Orangeville
20,C23-S_velocity,0.0004088854659652,0.0001769533511829,0.0003954724820546,0.0001674532880655,C23-S,Broadway East
21,C249-S_velocity,0.0021450212171484,0.0021424383767373,0.0021395823173642,0.0021370086619742,C249-S,Madison-Eastend
22,C251-S_velocity,0.0012058532467538,0.0011123117305078,0.0012115060266357,0.0011150396888812,C251-S,Madison-Eastend
23,C260-S_velocity,0.0014357212169666,0.0014739285400182,0.001435836617701,0.0014740905829243,C260-S,Baltimore Highlands
24,C26-S_velocity,0.0036232854441711,0.0027109341463356,0.0034417267230665,0.0025505858775284,C26-S,Broadway East
25,C274-S_velocity,0.0011153280291126,0.0011634962502884,0.0011149397954379,0.0011628948397439,C274-S,Kresson
26,C279-S_velocity,0.0009111959057554,0.0009236952985613,0.0008874220497333,0.0008948715286903,C279-S,Broadway East
27,C27-S_velocity,0.001456425110361,0.0007327213565564,0.0013615737620883,0.0006609219324171,C27-S,Broadway East
28,C292-S_velocity,0.0009629142402369,0.0007218847170183,0.0009139064038023,0.000665242435434,C292-S,Broadway East
29,C2-S_velocity,0.0003639858826699,0.0003642197106399,0.000364002958046,0.0003642937285715,C2-S,South Clifton Park
30,C301-S_velocity,0.0021770591130683,0.0023839725128557,0.0020683277735164,0.0022621381282521,C301-S,Eager Park
31,C314-S_velocity,0.0006569175532491,0.0006770017324064,0.0006525574863389,0.000672710321352,C314-S,Dunbar-Broadway
32,C317-S_velocity,0.000566777250478,0.0003741424368328,0.0005619248657647,0.0003714261192056,C317-S,Dunbar-Broadway
33,C319-S_velocity,4.8258055943191646e-05,1.200370164959604e-05,4.747373044874705e-05,1.1813094091985168e-05,C319-S,Washington Hill
34,C321-S_velocity,0.0002483007217664,0.0001401865475638,0.0002472572285021,0.0001397068950726,C321-S,Washington Hill
35,C325-S_velocity,9.030943986808448e-05,2.618212222198404e-05,8.963623954944013e-05,2.615432008424248e-05,C325-S,Fells Point
36,C327-S_velocity,0.0050090656289444,0.0040105303027672,0.0049943999396925,0.0039978214186538,C327-S,Fells Point
37,C328-S_velocity,0.0020856581510817,0.0016065664242371,0.0020791376794932,0.0015999506701878,C328-S,Fells Point
38,C338-S_velocity,0.0016315529435108,0.0016314358165833,0.0016172908431741,0.0016173078167858,C338-S,Washington Hill
39,C340-S_velocity,0.0016778291435895,0.0016953467394583,0.0016707279755478,0.0016881173963841,C340-S,Fells Point
40,C34-S_velocity,0.0003030538940611,0.0003037122651142,0.0002911110442883,0.0002917976201521,C34-S,South Clifton Park
41,C351-S_velocity,0.0009533107989726,0.0009590407615091,0.0009533107996079,0.000959040769984,C351-S,Fells Point
42,C355-S_velocity,0.0005382094698562,0.0004428801676217,0.000538208482225,0.0004428800918537,C355-S,Fells Point
43,C361-S_velocity,0.0024529704715772,0.0024543091171279,0.0024529704715707,0.00245431164579,C361-S,Fells Point
44,C362-S_velocity,0.0007555217104451,0.0006379111676056,0.0007555222218926,0.0006379112314854,C362-S,Fells Point
45,C37-S_velocity,0.0008116630031108,0.0006534623749811,0.0007680846806128,0.0006168659482856,C37-S,South Clifton Park
46,C382-S_velocity,0.002145335087881,0.0021217467988255,0.0021453303243361,0.0021217443999369,C382-S,Canton
47,C3-S_velocity,0.0006515281350895,0.0006585992258386,0.0006412782710068,0.0006476561000538,C3-S,Upper Fells Point
48,C417-S_velocity,0.0063730202717723,0.0063941091524741,0.006085846535346,0.0061056116635675,C417-S,Canton Industrial
49,C418-S_velocity,0.0028305767654232,0.0028079768123126,0.0027040659085083,0.0026833486094328,C418-S,Canton Industrial
50,C422-S_velocity,0.0031569437498112,0.0031722814501439,0.0031515526605819,0.003167060998107,C422-S,Canton Industrial
51,C449-S_velocity,0.0007758445220796,0.0008123861798944,0.0007703548572669,0.0008066304719847,C449-S,Broadway East
52,C462-S_velocity,0.0055199853055619,0.005791835247234,0.0052605929646768,0.0055514618247272,C462-S,Eager Park
53,C463-S_velocity,0.0052315086145255,0.0055838097393856,0.0050247983644897,0.0053596099187198,C463-S,Eager Park
54,C473-S_velocity,0.0022088466285839,0.002207642281843,0.0021971481490195,0.0021959457951054,C473-S,Berea
55,C474-S_velocity,0.00173002493895,0.0014302251542071,0.0017204583266828,0.001420433557182,C474-S,Berea
56,C478-S_velocity,0.0024306716381634,0.0024603496276626,0.0024304471110693,0.002460712882714,C478-S,Orangeville
57,C530-S_velocity,0.0021054169960449,0.0015808618688497,0.0020312719701757,0.0015447191821858,C530-S,Eager Park
58,C532-S_velocity,0.0005610491594066,0.000168627311391,0.0005046338640446,0.0001409890601213,C532-S,Eager Park
59,C548-S_velocity,0.0006736065826446,0.0001879836203546,0.000630741050586,0.0001788515318248,C548-S,Dunbar-Broadway
60,C549-S_velocity,0.0011991070302269,9.295678773483046e-05,0.0010919673692927,8.455413018574855e-05,C549-S,Dunbar-Broadway
61,C550-S_velocity,0.0034414122551659,0.0034380788871705,0.0034414137166516,0.0034380775665125,C550-S,Dunbar-Broadway
62,C551-S_velocity,0.0016503551093813,0.0016646584535812,0.0016502005467089,0.0016646585104484,C551-S,Dunbar-Broadway
63,C556-S_velocity,0.0012759706515952,0.0005418034447732,0.0012193765269726,0.0005180345893319,C556-S,Eager Park
64,C576-S_velocity,0.0003947423764656,0.0002417107690273,0.0003942614195029,0.0002417471980703,C576-S,Dunbar-Broadway
65,C602-S_velocity,0.0016009596996079,0.0016893235110592,0.0015585710355785,0.0016508554916001,C602-S,Downtown
66,C638-S_velocity,0.0004716273427305,0.000441812337743,0.0004702351133659,0.0004413557750436,C638-S,Downtown
67,C650-S_velocity,0.0020507707817108,0.0021314153426316,0.0020464591164064,0.0021272238828399,C650-S,Downtown
68,C659-S_velocity,0.0012012033584018,0.0012643874804822,0.0011582384880406,0.0012132594080143,C659-S,Downtown
69,C65-S_velocity,0.0019336563484439,0.0016140840245555,0.0018506758346695,0.0015342479350172,C65-S,McElderry Park
70,C677-S_velocity,0.0019078597425515,0.0020102397011063,0.0019127347234469,0.0020162307258751,C677-S,Downtown
71,C681-S_velocity,0.0005965679972367,0.0003293530900674,0.0005744302828048,0.0003033976024824,C681-S,Downtown
72,C685-S_velocity,0.0018358764785229,0.0009528835059814,0.0017932501989407,0.0009036882940317,C685-S,Downtown
73,C687-S_velocity,0.0019403762497291,0.0020574018775542,0.0019330773825035,0.0020516311510722,C687-S,Federal Hill
74,C68-S_velocity,-0.0,-0.0,-0.0,-0.0,C68-S,Patterson Park
75,C69-S_velocity,0.0003792686464814,0.0003272179746736,0.0003786955747166,0.0003264420871029,C69-S,McElderry Park
76,C708-S_velocity,0.0020020915923694,0.0021298153030331,0.0019772629285895,0.0021038665429696,C708-S,Federal Hill
77,C725-S_velocity,0.0015481733065267,0.0016490742575155,0.0015307789415812,0.0016305649070202,C725-S,Federal Hill
78,C728-S_velocity,0.0025685933185811,0.0025684659631907,0.0025366970685273,0.0025367128570867,C728-S,Federal Hill
79,C729-S_velocity,0.0031030803655034,0.0033421333984143,0.0031049749840276,0.0033442452808143,C729-S,Federal Hill
80,C734-S_velocity,0.003734822527609,0.0032897589536715,0.0037189970227095,0.0032859117993564,C734-S,Federal Hill
81,C740-S_velocity,0.0030408105248433,0.0030725989860509,0.0030364048815083,0.0030684915305279,C740-S,Federal Hill
82,C742-S_velocity,-0.0,-0.0,-0.0,-0.0,C742-S,Locust Point
83,C744-S_velocity,0.0007013568677799,0.000742974624817,0.0007013123967366,0.0007429723928465,C744-S,Locust Point
84,C74-S_velocity,0.0009436547152883,0.000631405178687,0.0009427273189927,0.0006308203914008,C74-S,Canton
85,C752-S_velocity,0.0011259866928587,0.0011777862609362,0.0011259867126724,0.001177786284041,C752-S,Locust Point
86,C756-S_velocity,0.0080516141042374,0.00837157408203,0.0080507814448699,0.0083715566116441,C756-S,Locust Point
87,C758-S_velocity,3.192246283041971e-06,3.3462725436173948e-06,3.1923625563485166e-06,3.3351074356308308e-06,C758-S,Locust Point
88,C759-S_velocity,0.0001397516897824,0.000139822408612,0.0001397530084095,0.0001397732412533,C759-S,Locust Point
89,C761-S_velocity,0.0102533717688606,0.0104490948175035,0.0102530734358063,0.0104490904327467,C761-S,Locust Point
90,C771-S_velocity,0.0056957177368533,0.0057375861960795,0.0056845994164434,0.005727251945544,C771-S,Locust Point
91,C772-S_velocity,0.001963908626846,0.0020025414735767,0.0019618638231188,0.0020004433563681,C772-S,Locust Point
92,C779-S_velocity,0.0010896196519033,0.0010951192235564,0.0010897835385021,0.001095254071386,C779-S,Locust Point
93,C79-S_velocity,0.0014247340357186,0.0006584240943083,0.0014238846361503,0.0006584195456426,C79-S,Canton
94,C7-S_velocity,0.001185859377931,0.0010466689326084,0.0011741612861546,0.0010347580736435,C7-S,Orangeville
95,C816-S_velocity,0.0005443550977949,0.0005537867880583,0.0005460591746182,0.0005558540743459,C816-S,South Clifton Park
96,C830-S_velocity,0.0009747984707454,0.0007889802943243,0.0009609224498874,0.0007650558116897,C830-S,Downtown
97,C839-S_velocity,0.0094530411963109,0.004838004129752,0.0085124012551678,0.0043732045462498,C839-S,Eager Park
98,C84-S_velocity,1.0122777684649116e-05,1.312594195278954e-05,1.0121371411281637e-05,1.3108343497812089e-05,C84-S,Canton
99,C89-S_velocity,0.0008617764249282,0.0008851566748626,0.0008617763981289,0.0008851567140867,C89-S,Canton
