,Base,I,V,V&I,node_name,node_id,neighborhood
0,0.0,-0.0001835685238891216,-0.0008269758041077324,-0.0007938283631041543,J105-S_flow,J105-S,Downtown
1,0.0,-0.023338263999189923,-0.14849474262288398,-0.1749301206077063,J10-S_flow,J10-S,Downtown
2,0.0,0.06105986454123258,-0.0905022182809958,-0.025210935284157188,J116-S_flow,J116-S,Downtown
3,0.0,-0.7615971510303416,-0.059451519169448463,-0.844432296796592,J119-S_flow,J119-S,Downtown
4,0.0,-0.9169106089863706,-0.0009142129899146756,-0.9174778077586201,J128-S_flow,J128-S,Canton
5,0.0,-0.9929346276369396,-0.05152828560978806,-1.0400839574748793,J130-S_flow,J130-S,Downtown
6,0.0,-0.9619437045873445,-0.04336022797882144,-1.0216358822868845,J131-S_flow,J131-S,Downtown
7,0.0,0.14750652780935747,-0.023866082939147493,0.12581613782121082,J136-S_flow,J136-S,Downtown
8,0.0,-0.0001558798044644094,-0.00018655827661961943,-0.00015836724815265768,J138-S_flow,J138-S,Downtown
9,0.0,-0.00016314021076224705,-0.023657309022418804,-0.023629357039215648,J141-S_flow,J141-S,Downtown
10,0.0,0.00023483110480526648,-0.0713640165541678,-0.07117692902731854,J157-S_flow,J157-S,Downtown
11,0.0,-0.0006559143192403916,-0.04718953105450874,-0.04707466492465828,J163-S_flow,J163-S,Downtown
12,0.0,-0.00012367560753157036,-0.030974645763494735,-0.030959313395765076,J165-S_flow,J165-S,Federal Hill
13,0.0,-1.6037281536540604e-05,-1.919355502999487e-05,-1.629319560358944e-05,J171-S_flow,J171-S,Canton
14,0.0,-0.0004946693130243318,-0.002865715876427366,-0.0027763849668276386,J177-S_flow,J177-S,Federal Hill
15,0.0,-0.02288997233949175,-0.029729376190582357,-0.051939282908384676,J182-S_flow,J182-S,Federal Hill
16,0.0,6.367261700113147e-07,-2.24964380457493e-09,6.357021395952955e-07,J191-S_flow,J191-S,Fells Point
17,0.0,0.0,0.0,0.0,J1-S_flow,J1-S,Clifton Park
18,0.0,0.0,0.0,0.0,J204-S_flow,J204-S,Fells Point
19,0.0,0.0,-0.20554948536885131,-0.20554948536885131,J208-S_flow,J208-S,Downtown
20,0.0,-0.8114878347397028,-0.014110764424353661,-0.8205220335222325,J211-S_flow,J211-S,Fells Point
21,0.0,5.439888216596245e-05,-0.00013873959170940253,3.9840987181349874e-05,J227-S_flow,J227-S,Locust Point
22,0.0,3.7543672949114093e-06,-9.768416472932806e-07,1.6476847060353794e-07,J231-S_flow,J231-S,Locust Point
23,0.0,9.383690940119316e-05,6.2075883159457e-07,6.783885212719581e-05,J232-S_flow,J232-S,Locust Point
24,0.0,0.0,0.0,0.0,J234-S_flow,J234-S,Locust Point
25,0.0,7.592977073711538e-05,9.087339582913856e-05,7.714141601500302e-05,J238-S_flow,J238-S,Locust Point
26,0.0,-0.00023557402817031559,-0.0060590429412781255,-0.00596230711746637,J240-S_flow,J240-S,Locust Point
27,0.0,-0.1797582869950216,-0.004414579039995203,-0.18406563520211217,J245-S_flow,J245-S,Locust Point
28,0.0,-1.4083458383507226,-0.31919740296731947,-1.6236883544684366,J253-S_flow,J253-S,Eager Park
29,0.0,-0.38967878580264426,-0.10824074205657208,-0.4804220122651994,J260-S_flow,J260-S,Broadway East
30,0.0,-0.40942577588981743,-0.10016957224058087,-0.496328567061598,J266-S_flow,J266-S,Clifton Park
31,0.0,0.0009824248609118236,-0.050399299247322116,-0.05011460485494745,J268-S_flow,J268-S,Clifton Park
32,0.0,0.00046583262016230975,-0.0013847715520235448,-0.0012434001259499228,J273-S_flow,J273-S,Clifton Park
