,Base,I,V,V&I,node_name,node_id,neighborhood
0,0.0,0.055399831671969935,0.00015111387983779423,0.06292051988571146,J105-S_volume,J105-S,Downtown
1,0.0,-6.064462009384183,-0.9510767312653385,-6.676423475877861,J10-S_volume,J10-S,Downtown
2,0.0,-5.840324235577878,-0.5385096354459726,-6.539647028561884,J116-S_volume,J116-S,Downtown
3,0.0,-2.598452516862155,-0.14625730073696808,-2.9254814383941294,J119-S_volume,J119-S,Downtown
4,0.0,-10.21217814967359,-0.005968767355845728,-10.218155747293752,J128-S_volume,J128-S,Canton
5,0.0,-18.104642027100294,-0.9050682597622881,-18.782608391667605,J130-S_volume,J130-S,Downtown
6,0.0,-3.442772373639002,-0.15109315369315723,-3.6570823528869756,J131-S_volume,J131-S,Downtown
7,0.0,-3.1943523480790006,-0.3092241645860625,-3.559964879582573,J136-S_volume,J136-S,Downtown
8,0.0,1.3044565548442044,0.03813315807915174,1.328445950172192,J138-S_volume,J138-S,Downtown
9,0.0,0.004377632116394636,-0.05843310421182579,-0.05417464776167691,J141-S_volume,J141-S,Downtown
10,0.0,-5.099338292791433,-0.4073723389786643,-5.444929234507519,J157-S_volume,J157-S,Downtown
11,0.0,0.0005713033176881765,-0.17484961141552802,-0.1743898196952891,J163-S_volume,J163-S,Downtown
12,0.0,-0.07698349310898323,-0.08567780177829931,-0.1624239044378193,J165-S_volume,J165-S,Federal Hill
13,0.0,2.3287137523197998e-05,6.171643960328765e-07,2.342233941021732e-05,J171-S_volume,J171-S,Canton
14,0.0,0.0041291513776577915,-0.004776427287211504,-0.0006559384425486314,J177-S_volume,J177-S,Federal Hill
15,0.0,-11.701565011538094,-0.24437802230512062,-11.86909626653626,J182-S_volume,J182-S,Federal Hill
16,0.0,-0.8006400409145087,-2.745823053373897e-07,-0.8006412549252637,J191-S_volume,J191-S,Fells Point
17,0.0,0.002590541657689016,0.0001891978717782905,0.0034104351574040237,J1-S_volume,J1-S,Clifton Park
18,0.0,1.9525861922886634e-06,-6.898842386249271e-09,1.949445877613698e-06,J204-S_volume,J204-S,Fells Point
19,0.0,0.06563606968501645,-0.6233713748935159,-0.5542876234067187,J208-S_volume,J208-S,Downtown
20,0.0,-3.02613272349703,-0.03264371448963388,-3.054869077020962,J211-S_volume,J211-S,Fells Point
21,0.0,-6.993651744242285,0.00028795238142720336,-6.993683321958329,J227-S_volume,J227-S,Locust Point
22,0.0,-0.0068002297090181685,2.7428997454670423e-05,-0.006897280631933178,J231-S_volume,J231-S,Locust Point
23,0.0,0.009733813599518193,1.954598713260758e-05,0.00793184643346967,J232-S_volume,J232-S,Locust Point
24,0.0,0.002090620133515131,-6.498254379039281e-09,0.0020906206855180187,J234-S_volume,J234-S,Locust Point
25,0.0,1.4407656241388622e-06,2.8248950414422325e-06,1.533990117152939e-06,J238-S_volume,J238-S,Locust Point
26,0.0,-0.5732236555715602,-0.012808692991082893,-0.5871923926478715,J240-S_volume,J240-S,Locust Point
27,0.0,-9.29316087489234,-0.06041280340954813,-9.343979210762406,J245-S_volume,J245-S,Locust Point
28,0.0,-2.9683665130995927,-0.5451097740619932,-3.382455160692821,J253-S_volume,J253-S,Eager Park
29,0.0,-1.925859636698771,-0.24605950206813,-2.14119815678238,J260-S_volume,J260-S,Broadway East
30,0.0,-1.0301915669314585,-0.30693312129468353,-1.3181116934348385,J266-S_volume,J266-S,Clifton Park
31,0.0,0.008007327771275996,-0.1490265896278764,-0.14039947249581175,J268-S_volume,J268-S,Clifton Park
32,0.0,0.09766773676253937,0.0206949368556133,0.11587421398669928,J273-S_volume,J273-S,Clifton Park
33,0.0,-4.772943767515331,-0.7355127587160375,-5.292669477545795,J278-S_volume,J278-S,Broadway East
34,0.0,-2.8886759473362176,-1.794518684761215e-06,-2.8886794911126312,J27-S_volume,J27-S,Locust Point
35,0.0,-5.163552082648408,-1.1174443175501665,-6.149699149653149,J280-S_volume,J280-S,Broadway East
36,0.0,0.8065138666546616,-0.6950838941518285,0.09021651031331146,J328-S_volume,J328-S,Broadway East
37,0.0,-3.806662844874868,-0.8931527055055888,-4.472620168488245,J329-S_volume,J329-S,Broadway East
38,0.0,-6.849008385819488,-1.4768716951580316,-8.051806934259808,J338-S_volume,J338-S,Eager Park
39,0.0,-3.9308871046547935,-1.738888862234944e-06,-3.9308887442663263,J33-S_volume,J33-S,Locust Point
40,0.0,7.834730612543694e-05,1.769538709339713e-06,7.744124258479701e-05,J34-S_volume,J34-S,Locust Point
41,0.0,-4.355027745945417,-0.748507415343802,-4.661661108866046,J361-S_volume,J361-S,Eager Park
42,0.0,-6.83801109119972,-0.8969470935302937,-7.5165239631731335,J366-S_volume,J366-S,Eager Park
43,0.0,9.901205010849147,-4.195645785899757,4.5779877328989045,J385-S_volume,J385-S,Broadway East
44,0.0,-4.763657982940755,-0.26786974688578624,-4.960362090809065,J3-S_volume,J3-S,Fells Point
45,0.0,0.012373380547149537,-0.13037251771509162,-0.1174700337450929,J413-S_volume,J413-S,Broadway East
46,0.0,-5.38535326124714,-1.9146023603995488,-6.919489319319517,J421-S_volume,J421-S,McElderry Park
47,0.0,0.000348121660771028,4.979483646749827e-06,0.00034470233907413217,J42-S_volume,J42-S,Locust Point
48,0.0,0.1815562603093106,-0.021572426667823663,0.15947470398392483,J433-S_volume,J433-S,Madison-Eastend
49,0.0,-0.7648358367106098,-0.019633143115459717,-0.7810891088203107,J437-S_volume,J437-S,Patterson Park
50,0.0,-16.600968041326222,-2.447187690268958,-17.206855135674253,J438-S_volume,J438-S,McElderry Park
