,node,scenario,count,time_above
0,J105-S_depth,Base,1,5
1,J10-S_depth,Base,6,30
2,J116-S_depth,Base,9,45
3,J119-S_depth,Base,0,0
4,J130-S_depth,Base,35,175
5,J131-S_depth,Base,0,0
6,J141-S_depth,Base,1,5
7,J163-S_depth,Base,0,0
8,J165-S_depth,Base,0,0
9,J171-S_depth,Base,0,0
10,J177-S_depth,Base,0,0
11,J182-S_depth,Base,13,65
12,J191-S_depth,Base,4,20
13,J1-S_depth,Base,0,0
14,J204-S_depth,Base,0,0
15,J208-S_depth,Base,7,35
16,J227-S_depth,Base,20,100
17,J231-S_depth,Base,0,0
18,J234-S_depth,Base,0,0
19,J238-S_depth,Base,0,0
20,J245-S_depth,Base,11,55
21,J253-S_depth,Base,0,0
22,J260-S_depth,Base,0,0
23,J268-S_depth,Base,0,0
24,J273-S_depth,Base,0,0
25,J329-S_depth,Base,5,25
26,J34-S_depth,Base,0,0
27,J366-S_depth,Base,0,0
28,J385-S_depth,Base,36,180
29,J3-S_depth,Base,2,10
30,J421-S_depth,Base,23,115
31,J42-S_depth,Base,0,0
32,J437-S_depth,Base,0,0
33,J438-S_depth,Base,13,65
34,J45-S_depth,Base,0,0
35,J460-S_depth,Base,0,0
36,J461-S_depth,Base,5,25
37,J46-S_depth,Base,0,0
38,J480-S_depth,Base,8,40
39,J492-S_depth,Base,0,0
40,J49-S_depth,Base,0,0
41,J4-S_depth,Base,7,35
42,J507-S_depth,Base,12,60
43,J50-S_depth,Base,0,0
44,J541-S_depth,Base,1,5
45,J556-S_depth,Base,13,65
46,J568-S_depth,Base,5,25
47,J571-S_depth,Base,0,0
48,J576-S_depth,Base,0,0
49,J578-S_depth,Base,5,25
50,J587-S_depth,Base,14,70
51,J592-S_depth,Base,0,0
52,J5-S_depth,Base,10,50
53,J609-S_depth,Base,0,0
54,J60-S_depth,Base,5,25
55,J619-S_depth,Base,8,40
56,J62-S_depth,Base,19,95
57,J632-S_depth,Base,0,0
58,J640-S_depth,Base,1,5
59,J672-S_depth,Base,0,0
60,J675-S_depth,Base,9,45
61,J686-S_depth,Base,1,5
62,J712-S_depth,Base,0,0
63,J714-S_depth,Base,7,35
64,J71-S_depth,Base,22,110
65,J722-S_depth,Base,0,0
66,J72-S_depth,Base,0,0
67,J733-S_depth,Base,1,5
68,J749-S_depth,Base,4,20
69,J751-S_depth,Base,0,0
70,J756-S_depth,Base,13,65
71,J758-S_depth,Base,0,0
72,J760-S_depth,Base,0,0
73,J761-S_depth,Base,10,50
74,J762-S_depth,Base,0,0
75,J765-S_depth,Base,0,0
76,J772-S_depth,Base,9,45
77,J782-S_depth,Base,0,0
78,J787-S_depth,Base,0,0
79,J789-S_depth,Base,0,0
80,J799-S_depth,Base,0,0
81,J7-S_depth,Base,21,105
82,J80-S_depth,Base,0,0
83,J88-S_depth,Base,20,100
84,J8-S_depth,Base,23,115
85,J128-S_depth,Base,0,0
86,J136-S_depth,Base,14,70
87,J138-S_depth,Base,4,20
88,J157-S_depth,Base,15,75
89,J211-S_depth,Base,2,10
90,J232-S_depth,Base,10,50
91,J240-S_depth,Base,5,25
92,J266-S_depth,Base,0,0
93,J278-S_depth,Base,3,15
94,J27-S_depth,Base,1,5
95,J280-S_depth,Base,14,70
96,J328-S_depth,Base,21,105
97,J338-S_depth,Base,9,45
98,J33-S_depth,Base,16,80
99,J361-S_depth,Base,11,55
100,J413-S_depth,Base,3,15
101,J433-S_depth,Base,1,5
102,J450-S_depth,Base,0,0
103,J456-S_depth,Base,3,15
104,J471-S_depth,Base,17,85
105,J484-S_depth,Base,11,55
106,J491-S_depth,Base,6,30
107,J506-S_depth,Base,9,45
108,J512-S_depth,Base,4,20
109,J534-S_depth,Base,9,45
110,J539-S_depth,Base,22,110
111,J548-S_depth,Base,25,125
112,J567-S_depth,Base,0,0
113,J586-S_depth,Base,0,0
114,J637-S_depth,Base,5,25
115,J659-S_depth,Base,11,55
116,J694-S_depth,Base,0,0
117,J695-S_depth,Base,0,0
118,J732-S_depth,Base,9,45
119,J748-S_depth,Base,0,0
120,J764-S_depth,Base,0,0
121,J78-S_depth,Base,0,0
122,J792-S_depth,Base,20,100
123,J801-S_depth,Base,0,0
124,J105-S_depth,I,1,5
125,J10-S_depth,I,0,0
126,J116-S_depth,I,6,30
127,J119-S_depth,I,0,0
128,J130-S_depth,I,33,165
129,J131-S_depth,I,0,0
130,J141-S_depth,I,1,5
131,J163-S_depth,I,0,0
132,J165-S_depth,I,0,0
133,J171-S_depth,I,0,0
134,J177-S_depth,I,0,0
135,J182-S_depth,I,9,45
136,J191-S_depth,I,3,15
137,J1-S_depth,I,0,0
138,J204-S_depth,I,0,0
139,J208-S_depth,I,8,40
140,J227-S_depth,I,19,95
141,J231-S_depth,I,0,0
142,J234-S_depth,I,0,0
143,J238-S_depth,I,0,0
144,J245-S_depth,I,6,30
145,J253-S_depth,I,0,0
146,J260-S_depth,I,0,0
147,J268-S_depth,I,0,0
148,J273-S_depth,I,0,0
149,J329-S_depth,I,0,0
150,J34-S_depth,I,0,0
151,J366-S_depth,I,0,0
152,J385-S_depth,I,38,190
153,J3-S_depth,I,0,0
154,J421-S_depth,I,17,85
155,J42-S_depth,I,0,0
156,J437-S_depth,I,0,0
157,J438-S_depth,I,2,10
158,J45-S_depth,I,0,0
159,J460-S_depth,I,0,0
160,J461-S_depth,I,0,0
161,J46-S_depth,I,0,0
162,J480-S_depth,I,8,40
163,J492-S_depth,I,0,0
164,J49-S_depth,I,0,0
165,J4-S_depth,I,6,30
166,J507-S_depth,I,7,35
167,J50-S_depth,I,0,0
168,J541-S_depth,I,1,5
169,J556-S_depth,I,12,60
170,J568-S_depth,I,0,0
171,J571-S_depth,I,0,0
172,J576-S_depth,I,0,0
173,J578-S_depth,I,0,0
174,J587-S_depth,I,14,70
175,J592-S_depth,I,0,0
