,node_name,Base,I,V,V&I,node_id,neighborhood,historic_stream
0,J105-S_volume,0.0,0.0,0.0,0.0,J105-S,Downtown,"Southside, Drains to Harbor"
1,J10-S_volume,0.0,0.0,0.0,0.0,J10-S,Downtown,"Southside, Drains to Harbor"
2,J116-S_volume,0.0,0.0,0.0,0.0,J116-S,Downtown,"Southside, Drains to Harbor"
3,J119-S_volume,0.0,0.0,0.0,0.0,J119-S,Downtown,"Southside, Drains to Harbor"
4,J130-S_volume,0.0,0.0,0.0,0.0,J130-S,Downtown,"Southside, Drains to Harbor"
5,J131-S_volume,0.0,0.0,0.0,0.0,J131-S,Downtown,"Southside, Drains to Harbor"
6,J141-S_volume,0.0,0.0,0.0,0.0,J141-S,Downtown,"Southside, Drains to Harbor"
7,J163-S_volume,0.0,0.0,0.0,0.0,J163-S,Downtown,"Southside, Drains to Harbor"
8,J165-S_volume,0.0,0.0,0.0,0.0,J165-S,Federal Hill,"Southside, Drains to Harbor"
9,J171-S_volume,0.0,0.0,0.0,0.0,J171-S,Canton,"Northside, Drains to Harbor"
10,J177-S_volume,0.0,0.0,0.0,0.0,J177-S,Federal Hill,"Southside, Drains to Harbor"
11,J182-S_volume,0.0,0.0,0.0,0.0,J182-S,Federal Hill,"Southside, Drains to Harbor"
12,J191-S_volume,0.0,0.0,0.0,0.0,J191-S,Fells Point,Canal Street Creek
13,J1-S_volume,0.0,0.0,0.0,0.0,J1-S,Clifton Park,Canal Street Creek
14,J204-S_volume,0.0,0.0,0.0,0.0,J204-S,Fells Point,Canal Street Creek
15,J208-S_volume,0.0,0.0,0.0,0.0,J208-S,Downtown,"Southside, Drains to Harbor"
16,J227-S_volume,0.0,0.0,0.0,0.0,J227-S,Locust Point,"Southside, Drains to Harbor"
17,J231-S_volume,0.0,0.0,0.0,0.0,J231-S,Locust Point,"Southside, Drains to Harbor"
18,J234-S_volume,0.0,0.0,0.0,0.0,J234-S,Locust Point,"Southside, Drains to Harbor"
19,J238-S_volume,0.0,0.0,0.0,0.0,J238-S,Locust Point,"Southside, Drains to Harbor"
20,J245-S_volume,0.0,0.0,0.0,0.0,J245-S,Locust Point,"Southside, Drains to Harbor"
21,J253-S_volume,0.0,0.0,0.0,0.0,J253-S,Eager Park,Canal Street Creek
22,J260-S_volume,0.0,0.0,0.0,0.0,J260-S,Broadway East,Canal Street Creek
23,J268-S_volume,0.0,0.0,0.0,0.0,J268-S,Clifton Park,Canal Street Creek
24,J273-S_volume,0.0,0.0,0.0,0.0,J273-S,Clifton Park,Canal Street Creek
25,J329-S_volume,0.0,0.0,0.0,0.0,J329-S,Broadway East,Canal Street Creek
26,J34-S_volume,0.0,0.0,0.0,0.0,J34-S,Locust Point,"Southside, Drains to Harbor"
27,J366-S_volume,0.0,0.0,0.0,0.0,J366-S,Eager Park,Canal Street Creek
28,J385-S_volume,0.0,0.0,0.0,0.0,J385-S,Broadway East,Harris Creek
29,J3-S_volume,0.0,0.0,0.0,0.0,J3-S,Fells Point,"Northside, Drains to Harbor"
30,J421-S_volume,0.0,0.0,0.0,0.0,J421-S,McElderry Park,Harris Creek
31,J42-S_volume,0.0,0.0,0.0,0.0,J42-S,Locust Point,"Southside, Drains to Harbor"
32,J437-S_volume,0.0,0.0,0.0,0.0,J437-S,Patterson Park,Harris Creek
33,J438-S_volume,0.0,0.0,0.0,0.0,J438-S,McElderry Park,Harris Creek
34,J45-S_volume,0.0,0.0,0.0,0.0,J45-S,Locust Point,"Southside, Drains to Harbor"
35,J460-S_volume,0.0,0.0,0.0,0.0,J460-S,Orangeville,Harris Creek
36,J461-S_volume,0.0,0.0,0.0,0.0,J461-S,Baltimore Highlands,Harris Creek
37,J46-S_volume,0.0,0.0,0.0,0.0,J46-S,Locust Point,"Southside, Drains to Harbor"
38,J480-S_volume,0.0,0.0,0.0,0.0,J480-S,McElderry Park,Harris Creek
39,J492-S_volume,0.0,0.0,0.0,0.0,J492-S,Baltimore Highlands,Harris Creek
40,J49-S_volume,0.0,0.0,0.0,0.0,J49-S,Washington Hill,Canal Street Creek
41,J4-S_volume,0.0,0.0,0.0,0.0,J4-S,Canton,"Northside, Drains to Harbor"
42,J507-S_volume,0.0,0.0,0.0,0.0,J507-S,Patterson Park,Harris Creek
43,J50-S_volume,0.0,0.0,0.0,0.0,J50-S,Washington Hill,Canal Street Creek
44,J541-S_volume,0.0,0.0,0.0,0.0,J541-S,Canton Industrial Area,"Northside, Drains to Harbor"
45,J556-S_volume,0.0,0.0,0.0,0.0,J556-S,Canton,Harris Creek
46,J568-S_volume,0.0,0.0,0.0,0.0,J568-S,Berea,Armistead Creek
47,J571-S_volume,0.0,0.0,0.0,0.0,J571-S,Berea,Armistead Creek
48,J576-S_volume,0.0,0.0,0.0,0.0,J576-S,Dunbar-Broadway,Canal Street Creek
49,J578-S_volume,0.0,0.0,0.0,0.0,J578-S,Dunbar-Broadway,Canal Street Creek
50,J587-S_volume,0.0,0.0,0.0,0.0,J587-S,Downtown,"Southside, Drains to Harbor"
51,J592-S_volume,0.0,0.0,0.0,0.0,J592-S,Dunbar-Broadway,Canal Street Creek
52,J5-S_volume,0.0,0.0,0.0,0.0,J5-S,Canton,"Northside, Drains to Harbor"
53,J609-S_volume,0.0,0.0,0.0,0.0,J609-S,Dunbar-Broadway,Canal Street Creek
54,J60-S_volume,0.0,0.0,0.0,0.0,J60-S,Downtown,"Southside, Drains to Harbor"
55,J619-S_volume,0.0,0.0,0.0,0.0,J619-S,Dunbar-Broadway,Canal Street Creek
56,J62-S_volume,0.0,0.0,0.0,0.0,J62-S,Downtown,"Southside, Drains to Harbor"
57,J632-S_volume,0.0,0.0,0.0,0.0,J632-S,Eager Park,Canal Street Creek
58,J640-S_volume,0.0,0.0,0.0,0.0,J640-S,Eager Park,Canal Street Creek
59,J672-S_volume,0.0,0.0,0.0,0.0,J672-S,Canton,Harris Creek
60,J675-S_volume,0.0,0.0,0.0,0.0,J675-S,Canton,Harris Creek
61,J686-S_volume,0.0,0.0,0.0,0.0,J686-S,Canton,Harris Creek
62,J712-S_volume,0.0,0.0,0.0,0.0,J712-S,Patterson Park,Harris Creek
63,J714-S_volume,0.0,0.0,0.0,0.0,J714-S,Upper Fells Point,"Northside, Drains to Harbor"
64,J71-S_volume,0.0,0.0,0.0,0.0,J71-S,Federal Hill,"Southside, Drains to Harbor"
65,J722-S_volume,0.0,0.0,0.0,0.0,J722-S,Fells Point,"Northside, Drains to Harbor"
