,node,scenario,count,time_above
0,J105-S_depth,Base,3,15
1,J10-S_depth,Base,9,45
2,J116-S_depth,Base,9,45
3,J119-S_depth,Base,3,15
4,J128-S_depth,Base,5,25
5,J130-S_depth,Base,60,300
6,J131-S_depth,Base,4,20
7,J136-S_depth,Base,13,65
8,J138-S_depth,Base,4,20
9,J141-S_depth,Base,3,15
10,J157-S_depth,Base,13,65
11,J163-S_depth,Base,3,15
12,J165-S_depth,Base,2,10
13,J171-S_depth,Base,0,0
14,J177-S_depth,Base,3,15
15,J182-S_depth,Base,12,60
16,J191-S_depth,Base,6,30
17,J1-S_depth,Base,0,0
18,J204-S_depth,Base,1,5
19,J208-S_depth,Base,9,45
20,J211-S_depth,Base,8,40
21,J227-S_depth,Base,94,470
22,J231-S_depth,Base,0,0
23,J232-S_depth,Base,0,0
24,J234-S_depth,Base,4,20
25,J238-S_depth,Base,0,0
26,J240-S_depth,Base,5,25
27,J245-S_depth,Base,11,55
28,J253-S_depth,Base,3,15
29,J260-S_depth,Base,4,20
30,J266-S_depth,Base,3,15
31,J268-S_depth,Base,0,0
32,J273-S_depth,Base,0,0
33,J278-S_depth,Base,7,35
34,J27-S_depth,Base,4,20
35,J280-S_depth,Base,13,65
36,J328-S_depth,Base,21,105
37,J329-S_depth,Base,8,40
38,J338-S_depth,Base,10,50
39,J33-S_depth,Base,18,90
40,J34-S_depth,Base,2,10
41,J361-S_depth,Base,13,65
42,J366-S_depth,Base,5,25
43,J385-S_depth,Base,33,165
44,J3-S_depth,Base,8,40
45,J413-S_depth,Base,7,35
46,J421-S_depth,Base,20,100
47,J42-S_depth,Base,0,0
48,J433-S_depth,Base,6,30
49,J437-S_depth,Base,8,40
50,J438-S_depth,Base,16,80
51,J450-S_depth,Base,3,15
52,J456-S_depth,Base,3,15
53,J45-S_depth,Base,0,0
54,J460-S_depth,Base,5,25
55,J461-S_depth,Base,7,35
56,J46-S_depth,Base,2,10
57,J471-S_depth,Base,15,75
58,J480-S_depth,Base,8,40
59,J484-S_depth,Base,13,65
60,J491-S_depth,Base,9,45
61,J492-S_depth,Base,0,0
62,J49-S_depth,Base,0,0
63,J4-S_depth,Base,5,25
64,J506-S_depth,Base,8,40
65,J507-S_depth,Base,14,70
66,J50-S_depth,Base,3,15
67,J512-S_depth,Base,7,35
68,J534-S_depth,Base,9,45
69,J539-S_depth,Base,24,120
70,J541-S_depth,Base,4,20
71,J548-S_depth,Base,27,135
72,J556-S_depth,Base,13,65
73,J567-S_depth,Base,5,25
74,J568-S_depth,Base,7,35
75,J571-S_depth,Base,0,0
76,J576-S_depth,Base,5,25
77,J578-S_depth,Base,8,40
78,J586-S_depth,Base,0,0
79,J587-S_depth,Base,15,75
80,J592-S_depth,Base,0,0
81,J5-S_depth,Base,9,45
82,J609-S_depth,Base,2,10
83,J60-S_depth,Base,6,30
84,J619-S_depth,Base,7,35
85,J620-S_depth,Base,106,530
86,J624-S_depth,Base,92,460
87,J62-S_depth,Base,22,110
88,J632-S_depth,Base,2,10
89,J637-S_depth,Base,9,45
90,J640-S_depth,Base,7,35
91,J659-S_depth,Base,13,65
92,J672-S_depth,Base,4,20
93,J675-S_depth,Base,9,45
94,J686-S_depth,Base,2,10
95,J694-S_depth,Base,0,0
96,J695-S_depth,Base,3,15
97,J712-S_depth,Base,2,10
98,J714-S_depth,Base,7,35
99,J71-S_depth,Base,23,115
100,J722-S_depth,Base,0,0
101,J72-S_depth,Base,0,0
102,J732-S_depth,Base,10,50
103,J733-S_depth,Base,3,15
104,J748-S_depth,Base,6,30
105,J749-S_depth,Base,8,40
106,J751-S_depth,Base,1,5
107,J756-S_depth,Base,17,85
108,J758-S_depth,Base,3,15
109,J760-S_depth,Base,0,0
110,J761-S_depth,Base,11,55
111,J762-S_depth,Base,0,0
112,J764-S_depth,Base,3,15
113,J765-S_depth,Base,0,0
114,J772-S_depth,Base,11,55
115,J782-S_depth,Base,0,0
116,J787-S_depth,Base,5,25
117,J789-S_depth,Base,4,20
118,J78-S_depth,Base,2,10
119,J792-S_depth,Base,21,105
120,J799-S_depth,Base,0,0
121,J7-S_depth,Base,31,155
122,J801-S_depth,Base,3,15
123,J80-S_depth,Base,0,0
124,J88-S_depth,Base,25,125
125,J8-S_depth,Base,34,170
126,J105-S_depth,I,3,15
127,J10-S_depth,I,6,30
128,J116-S_depth,I,7,35
129,J119-S_depth,I,2,10
130,J128-S_depth,I,0,0
131,J130-S_depth,I,57,285
132,J131-S_depth,I,2,10
133,J136-S_depth,I,9,45
134,J138-S_depth,I,4,20
135,J141-S_depth,I,3,15
136,J157-S_depth,I,8,40
137,J163-S_depth,I,3,15
138,J165-S_depth,I,2,10
139,J171-S_depth,I,0,0
140,J177-S_depth,I,3,15
141,J182-S_depth,I,8,40
142,J191-S_depth,I,6,30
143,J1-S_depth,I,0,0
144,J204-S_depth,I,1,5
145,J208-S_depth,I,10,50
146,J211-S_depth,I,6,30
147,J227-S_depth,I,52,260
148,J231-S_depth,I,0,0
149,J232-S_depth,I,0,0
150,J234-S_depth,I,4,20
151,J238-S_depth,I,0,0
152,J240-S_depth,I,5,25
153,J245-S_depth,I,6,30
154,J253-S_depth,I,0,0
155,J260-S_depth,I,3,15
156,J266-S_depth,I,2,10
157,J268-S_depth,I,0,0
158,J273-S_depth,I,0,0
159,J278-S_depth,I,3,15
160,J27-S_depth,I,5,25
161,J280-S_depth,I,10,50
162,J328-S_depth,I,22,110
163,J329-S_depth,I,5,25
164,J338-S_depth,I,7,35
165,J33-S_depth,I,15,75
166,J34-S_depth,I,2,10
167,J361-S_depth,I,10,50
168,J366-S_depth,I,1,5
169,J385-S_depth,I,33,165
170,J3-S_depth,I,5,25
171,J413-S_depth,I,7,35
172,J421-S_depth,I,17,85
173,J42-S_depth,I,0,0
174,J433-S_depth,I,6,30
175,J437-S_depth,I,8,40
176,J438-S_depth,I,9,45
177,J450-S_depth,I,2,10
178,J456-S_depth,I,3,15
179,J45-S_depth,I,0,0
180,J460-S_depth,I,4,20
181,J461-S_depth,I,5,25
182,J46-S_depth,I,2,10
183,J471-S_depth,I,16,80
184,J480-S_depth,I,8,40
185,J484-S_depth,I,8,40
186,J491-S_depth,I,6,30
187,J492-S_depth,I,0,0
188,J49-S_depth,I,0,0
189,J4-S_depth,I,5,25
190,J506-S_depth,I,9,45
191,J507-S_depth,I,9,45
192,J50-S_depth,I,3,15
193,J512-S_depth,I,4,20
194,J534-S_depth,I,8,40
195,J539-S_depth,I,21,105
196,J541-S_depth,I,4,20
197,J548-S_depth,I,27,135
198,J556-S_depth,I,12,60
199,J567-S_depth,I,3,15
200,J568-S_depth,I,5,25
201,J571-S_depth,I,0,0
202,J576-S_depth,I,2,10
203,J578-S_depth,I,6,30
204,J586-S_depth,I,0,0
205,J587-S_depth,I,15,75
206,J592-S_depth,I,0,0
207,J5-S_depth,I,5,25
208,J609-S_depth,I,2,10
209,J60-S_depth,I,6,30
210,J619-S_depth,I,7,35
211,J620-S_depth,I,103,515
212,J624-S_depth,I,92,460
213,J62-S_depth,I,14,70
214,J632-S_depth,I,2,10
215,J637-S_depth,I,4,20
216,J640-S_depth,I,3,15
217,J659-S_depth,I,14,70
218,J672-S_depth,I,2,10
219,J675-S_depth,I,9,45
220,J686-S_depth,I,2,10
221,J694-S_depth,I,0,0
222,J695-S_depth,I,0,0
223,J712-S_depth,I,2,10
224,J714-S_depth,I,9,45
225,J71-S_depth,I,14,70
226,J722-S_depth,I,0,0
227,J72-S_depth,I,0,0
228,J732-S_depth,I,7,35
229,J733-S_depth,I,3,15
230,J748-S_depth,I,5,25
231,J749-S_depth,I,7,35
232,J751-S_depth,I,2,10
233,J756-S_depth,I,18,90
234,J758-S_depth,I,1,5
235,J760-S_depth,I,0,0
236,J761-S_depth,I,8,40
237,J762-S_depth,I,0,0
238,J764-S_depth,I,2,10
239,J765-S_depth,I,0,0
240,J772-S_depth,I,10,50
241,J782-S_depth,I,0,0
242,J787-S_depth,I,5,25
243,J789-S_depth,I,0,0
244,J78-S_depth,I,2,10
245,J792-S_depth,I,22,110
246,J799-S_depth,I,0,0
247,J7-S_depth,I,28,140
248,J801-S_depth,I,0,0
249,J80-S_depth,I,0,0
250,J88-S_depth,I,23,115
251,J8-S_depth,I,32,160
252,J105-S_depth,V,3,15
