,Base,I,V,V&I,node_name,node_id,neighborhood,historic_stream
0,0.0,0.0001889506797093099,2.543962429407687e-06,0.0002037406392897123,J105-S_depth,J105-S,Downtown,"Southside, Drains to Harbor"
1,0.0,-0.07648500377861206,-0.08350521986534071,-0.09888586793550169,J10-S_depth,J10-S,Downtown,"Southside, Drains to Harbor"
2,0.0,0.0033660689212260397,-0.008384449405836658,-0.004820509203505852,J116-S_depth,J116-S,Downtown,"Southside, Drains to Harbor"
3,0.0,-0.012982847367154104,-0.003682463793568097,-0.016515923468148397,J119-S_depth,J119-S,Downtown,"Southside, Drains to Harbor"
4,0.0,-0.1000767800876996,-0.00041844860311010534,-0.10049486763661838,J128-S_depth,J128-S,Canton,Harris Creek
5,0.0,-0.056505890199990305,-0.006869251782820995,-0.06283721334947662,J130-S_depth,J130-S,Downtown,"Southside, Drains to Harbor"
6,0.0,-0.023731419963737094,-0.003085968508834497,-0.026647329806047504,J131-S_depth,J131-S,Downtown,"Southside, Drains to Harbor"
7,0.0,-0.0032632988883210534,-0.0017646827105112228,-0.00506748050560113,J136-S_depth,J136-S,Downtown,"Southside, Drains to Harbor"
8,0.0,0.010637602799647594,0.000730737260842218,0.0111231711559934,J138-S_depth,J138-S,Downtown,"Southside, Drains to Harbor"
9,0.0,0.00015419322919849043,-0.0005437933805512996,-0.0003886673453143974,J141-S_depth,J141-S,Downtown,"Southside, Drains to Harbor"
10,0.0,-0.04091465807943828,-0.0039045482750414973,-0.04440268784370299,J157-S_depth,J157-S,Downtown,"Southside, Drains to Harbor"
11,0.0,-6.996776725193277e-06,-0.002140428908479597,-0.002148888510156294,J163-S_depth,J163-S,Downtown,"Southside, Drains to Harbor"
12,0.0,-0.0008945828558186153,-0.0010153258673393228,-0.0019016901956685206,J165-S_depth,J165-S,Federal Hill,"Southside, Drains to Harbor"
13,0.0,1.332755409949593e-05,-1.8794109368780454e-07,1.2764723284791613e-05,J171-S_depth,J171-S,Canton,"Northside, Drains to Harbor"
14,0.0,-1.983848808079225e-05,-6.838089613708798e-05,-8.791267281507698e-05,J177-S_depth,J177-S,Federal Hill,"Southside, Drains to Harbor"
15,0.0,-0.034766511652101095,-0.001555167769212662,-0.03575399518213279,J182-S_depth,J182-S,Federal Hill,"Southside, Drains to Harbor"
16,0.0,-0.00846072401146808,-5.318426410383381e-08,-0.008460757848262696,J191-S_depth,J191-S,Fells Point,Canal Street Creek
17,0.0,-3.675952481296818e-08,6.7143461598973e-07,2.558169218791484e-06,J1-S_depth,J1-S,Clifton Park,Canal Street Creek
18,0.0,6.065536403143668e-07,-1.813704797459792e-09,6.024146260996677e-07,J204-S_depth,J204-S,Fells Point,Canal Street Creek
19,0.0,2.9159545839485546e-05,-0.004660622135432613,-0.004631116137350788,J208-S_depth,J208-S,Downtown,"Southside, Drains to Harbor"
20,0.0,-0.03779715355152402,-0.003329875141435623,-0.04059935442404833,J211-S_depth,J211-S,Fells Point,Canal Street Creek
21,0.0,-0.012567103323992024,2.6610328274223605e-08,-0.012566558606744604,J227-S_depth,J227-S,Locust Point,"Southside, Drains to Harbor"
22,0.0,-6.899582784310188e-05,-1.1791398688010268e-06,-6.965626540330477e-05,J231-S_depth,J231-S,Locust Point,"Southside, Drains to Harbor"
23,0.0,0.0141340292142473,1.7863813199514578e-07,0.014156199744584,J232-S_depth,J232-S,Locust Point,"Southside, Drains to Harbor"
