,Base,I,V,V&I,link_id,neighborhood,link_name
0,0.0,0.0,0.0,0.0,timestamp,,timestamp
1,0.0,5.062299370010002e-05,0.001226048487156,3.6604588113200043e-05,C102-S,Patterson Park,C102-S_velocity
2,0.0,6.385583533800084e-06,0.00020135312009110008,1.9764112365000357e-06,C105-S,Patterson Park,C105-S_velocity
3,0.0,-0.0019451433019658992,0.002025845492943201,-0.0019575961051739,C111-S,Baltimore Highlands,C111-S_velocity
4,0.0,-0.00041656142607309995,0.0005001499269474,-0.00041903978819419997,C113-S,Baltimore Highlands,C113-S_velocity
5,0.0,-3.4191759069599994e-05,8.889346721729997e-05,-3.4191610643600015e-05,C131-S,Fells Point,C131-S_velocity
6,0.0,5.068350447299977e-06,0.0003069163072928,5.068294895500054e-06,C141-S,Canton,C141-S_velocity
7,0.0,2.264784940899994e-05,0.0001578746157645999,2.264762777939996e-05,C159-S,Upper Fells Point,C159-S_velocity
8,0.0,6.705375922840006e-05,0.00023638676470559995,6.68813617958e-05,C163-S,Upper Fells Point,C163-S_velocity
9,0.0,7.544959568860001e-05,0.0002914855811499001,7.544945813930015e-05,C168-S,Canton,C168-S_velocity
10,0.0,1.4839120593699955e-05,0.0010405539767109999,1.2248975045900216e-05,C182-S,Canton,C182-S_velocity
11,0.0,2.9550165732100014e-05,8.440435830001179e-08,2.646044445420002e-05,C187-S,Canton,C187-S_velocity
12,0.0,-0.002223676037962,0.0020022316309199,-0.0022283806748066995,C190-S,Baltimore Highlands,C190-S_velocity
13,0.0,-0.0009835575650458,0.0005570714750277,-0.0009850099342490998,C191-S,Patterson Park,C191-S_velocity
14,0.0,1.7121859700007513e-08,0.0005247976413075999,-4.726319569999839e-06,C211-S,Patterson Park,C211-S_velocity
15,0.0,-0.0005703409358965999,0.0011237841506385,-0.0006256000794006001,C21-S,Broadway East,C21-S_velocity
16,0.0,2.2877669876499897e-05,0.0003339154422572,2.0848833722599816e-05,C226-S,Baltimore Highlands,C226-S_velocity
17,0.0,-0.0005552295958062001,0.0006986168919323001,-0.0005642242222688,C227-S,Kresson,C227-S_velocity
18,0.0,3.0206139465700018e-05,0.00012625626643310002,3.00238574687e-05,C229-S,Kresson,C229-S_velocity
19,0.0,-1.548393342100027e-06,0.0001453793817755,-9.481913965099986e-06,C236-S,Orangeville,C236-S_velocity
20,0.0,-0.000199622015446,0.0002306410652931,-0.0002095326457418,C23-S,Broadway East,C23-S_velocity
21,0.0,-2.524781178699694e-06,0.0009353520865622001,-7.596051421199668e-06,C249-S,Madison-Eastend,C249-S_velocity
22,0.0,-8.221067813310012e-05,0.0004988950706851,-7.244060945580007e-05,C251-S,Madison-Eastend,C251-S_velocity
23,0.0,9.021053020449995e-05,0.00024482427265600003,9.070462633840003e-05,C260-S,Baltimore Highlands,C260-S_velocity
24,0.0,-0.0009165928938137001,0.0009938656063061997,-0.0011192140293523,C26-S,Broadway East,C26-S_velocity
