scenario,row,timestamp,C102-S_velocity,C105-S_velocity,C111-S_velocity,C113-S_velocity,C131-S_velocity,C141-S_velocity,C159-S_velocity,C163-S_velocity,C168-S_velocity,C182-S_velocity,C187-S_velocity,C190-S_velocity,C191-S_velocity,C211-S_velocity,C21-S_velocity,C226-S_velocity,C227-S_velocity,C229-S_velocity,C236-S_velocity,C23-S_velocity,C249-S_velocity,C251-S_velocity,C260-S_velocity,C26-S_velocity,C274-S_velocity,C279-S_velocity,C27-S_velocity,C292-S_velocity,C2-S_velocity,C301-S_velocity,C314-S_velocity,C317-S_velocity,C319-S_velocity,C321-S_velocity,C325-S_velocity,C327-S_velocity,C328-S_velocity,C338-S_velocity,C340-S_velocity,C34-S_velocity,C351-S_velocity,C355-S_velocity,C361-S_velocity,C362-S_velocity,C37-S_velocity,C382-S_velocity,C3-S_velocity,C417-S_velocity,C418-S_velocity,C422-S_velocity,C449-S_velocity,C462-S_velocity,C463-S_velocity,C473-S_velocity,C474-S_velocity,C478-S_velocity,C530-S_velocity,C532-S_velocity,C548-S_velocity,C549-S_velocity,C550-S_velocity,C551-S_velocity,C556-S_velocity,C576-S_velocity,C602-S_velocity,C638-S_velocity,C650-S_velocity,C659-S_velocity,C65-S_velocity,C677-S_velocity,C681-S_velocity,C685-S_velocity,C687-S_velocity,C68-S_velocity,C69-S_velocity,C708-S_velocity,C725-S_velocity,C728-S_velocity,C729-S_velocity,C734-S_velocity,C740-S_velocity,C742-S_velocity,C744-S_velocity,C74-S_velocity,C752-S_velocity,C756-S_velocity,C758-S_velocity,C759-S_velocity,C761-S_velocity,C771-S_velocity,C772-S_velocity,C779-S_velocity,C79-S_velocity,C7-S_velocity,C816-S_velocity,C830-S_velocity,C839-S_velocity,C84-S_velocity,C89-S_velocity
Base,0,1687833120000000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Base,1,1687833420000000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Base,2,1687833720000000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Base,3,1687834020000000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Base,4,1687834320000000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,3.742514684253887e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Base,5,1687834620000000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0943590952786563e-08,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,9.145070709834469e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Base,6,1687834920000000000,7.616394916450611e-13,3.4760930983480214e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.21390129916493e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.348235595764419e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.775324411577963e-09,0.0,0.0,0.0,0.0,0.0,3.967964701970831e-09,0.0,0.0,0.0,0.0,0.0,0.0,3.121191194058299e-09,3.8247463415666805e-08,0.0,2.99874777199492e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.227217025514882e-08,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,2.324846006343442e-07,1.5202000105376367e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Base,7,1687835220000000000,1.7340430746046832e-09,7.34882953550123e-08,0.0,6.549442425885169e-11,0.0,0.0,0.0,3.19548113459423e-09,0.0,3.2175545476356727e-06,0.0,6.129586564675773e-09,0.0,3.210315849612972e-08,0.0,0.0,0.0,0.0,9.908399588608386e-09,0.0,9.443135641686438e-08,0.0,0.0,8.191093535202042e-08,9.886730232706792e-09,1.5691029740780458e-09,0.0,0.0,1.6920597109642205e-08,0.0,1.7798498318470381e-09,0.0,0.0,1.2610938192395058e-09,0.0,6.006922554417326e-09,0.0,0.0,1.6840894052213557e-12,9.792233831077257e-08,0.0,0.0,1.441010721061673e-08,0.0,0.0,4.424605988912427e-08,1.3097609062809767e-09,2.971907966576086e-07,0.0,0.0,7.322215232782122e-10,0.0,1.4486074198727587e-06,3.927904155936072e-06,0.0,4.018199294859161e-05,6.06045047271362e-09,0.0,0.0,0.0,3.2266088760093985e-07,0.0,0.0,0.0,7.915852688242371e-09,0.0,1.097978798471315e-06,3.087167794073906e-09,0.0,4.623573936694093e-09,0.0,2.4630690691293508e-12,1.2992934940907485e-07,-0.0,0.0,0.0,0.0,0.0,8.645370081739837e-09,0.0,1.508617499391262e-07,-0.0,0.0,3.31496529191077e-07,0.0,4.404862262181405e-06,0.0,0.0,1.3465616524588459e-05,0.0,0.0,0.0,0.0,0.0,5.3403077123192396e-09,0.0,0.0,0.0,6.074875063841107e-09
Base,8,1687835520000000000,7.635383006006392e-08,1.7685250640971853e-06,0.0,3.900526997891051e-08,0.0,0.0,0.0,1.1255691750981962e-07,2.6600784844034285e-07,1.3341821640122054e-05,0.0,5.846770979158128e-07,0.0,2.5468904279389646e-06,0.0,5.6116045167199305e-09,0.0,0.0,4.284271322312434e-07,0.0,5.366639623595653e-06,1.1445751159946327e-12,2.1589127326478936e-08,2.0075175046913257e-06,5.326355357267325e-07,1.3633327049144958e-07,0.0,1.112570228976473e-12,2.870474882606872e-07,0.0,0.0,0.0,0.0,1.0307740835087101e-08,0.0,0.0,0.0,2.7085107282295963e-07,0.0,2.058172268165244e-06,0.0,0.0,1.4559487424997712e-08,0.0,1.296757957423671e-08,1.7695351778131664e-06,2.0164350399139643e-08,1.5931966701032602e-05,0.0,1.3032181474055553e-06,1.1108477195947972e-07,0.0,1.9315174683263857e-05,4.1279570275026544e-05,8.567543243177289e-09,0.0001711478349491961,3.0624718943827946e-07,0.0,0.0,0.0,1.1875894597618783e-05,0.0,0.0,0.0,6.337225103078513e-07,0.0,8.721764478966042e-06,1.0104164829448209e-07,8.144848983583857e-09,7.774972200173795e-07,0.0,0.0,4.604422545734811e-06,-0.0,2.6844318505073647e-13,5.983719501636733e-07,0.0,1.1437293065453098e-06,1.9983612307080704e-06,2.390929790719314e-06,9.529750310203902e-06,-0.0,9.498621603526841e-07,4.392320413877823e-07,1.9092598468706105e-07,0.0001143090836277038,0.0,0.0,0.00019874940092026077,2.3683941730537074e-06,0.0,0.0,0.0,1.4631806775862627e-07,5.34730479880618e-07,0.0,0.0,0.0,5.329148397156059e-07
Base,9,1687835820000000000,4.5036360779681445e-07,9.588532657152291e-06,0.0,4.818794020336863e-07,0.0,2.084071699944807e-07,0.0,1.4899396440679218e-06,4.234525569989037e-06,6.72195217278466e-05,0.0,3.915349505762186e-06,0.0,1.9031663806803776e-05,0.0,4.366595715458374e-07,2.8609184804501035e-08,1.9201258386943792e-08,2.1826453191675417e-06,0.0,3.0053706040202606e-05,9.590646049952288e-11,2.80446759190721e-06,5.637644177941327e-06,4.680172716322953e-06,1.7089740852933802e-06,0.0,9.272061479082727e-11,2.1352994851709116e-06,0.0,3.11864176315543e-08,0.0,0.0,7.83767786465628e-08,5.431218185612395e-13,6.847642410393368e-08,0.0,5.670382843969044e-06,8.461283521602109e-08,1.213655175424108e-05,6.355591304389311e-08,0.0,1.5631886398759838e-06,0.0,4.0868770090866863e-07,1.4290622651828486e-05,2.405737071077527e-07,7.093644372089767e-05,4.5904959452592775e-09,2.467140555436402e-05,1.6016033085649824e-06,5.592613722911773e-08,5.156113927886418e-05,9.053937780334392e-05,7.994549353640721e-06,0.00021635717639490826,2.3692118716775705e-06,0.0,0.0,0.0,4.5962886582032965e-05,7.87362655561547e-09,0.0,0.0,7.129538416011803e-06,0.0,2.5037970986938092e-05,1.660293082278777e-06,7.15438729313675e-08,9.388754126192086e-06,0.0,2.558060584711129e-12,2.6869750584644347e-05,-0.0,0.0,1.0856961006193533e-05,0.0,1.6501237193117296e-05,2.6017224892957167e-05,2.578045023563941e-05,5.717886656014563e-05,-0.0,1.2322005642893118e-05,7.630701864928645e-07,5.0959221854133835e-06,0.000267105690460009,0.0,0.0,0.00036701712563904406,4.295131320916299e-05,0.0,1.9391305661850468e-08,0.0,1.5829829976025538e-06,6.919454707739591e-06,0.0,0.0,0.0,4.730292148878189e-06
