,Base,I,V,V&I,node_name,node_id,neighborhood
0,0.0,-0.00013703772354367594,-0.00037558696441952755,-0.0003302475227238144,J105-S_flow,J105-S,Downtown
1,0.0,-0.01220652064145833,-0.10490346039934795,-0.11562323328712232,J10-S_flow,J10-S,Downtown
2,0.0,-0.00317798203068298,-0.10941173923377434,-0.11233262881729011,J116-S_flow,J116-S,Downtown
3,0.0,-0.48466711112692307,-0.050480375939037314,-0.5187043428602027,J119-S_flow,J119-S,Downtown
4,0.0,-0.222396709921035,-0.0035820141008254813,-0.22968984586338592,J128-S_flow,J128-S,Canton
5,0.0,-0.26442179737380855,0.011417873434789394,-0.36960402678439624,J130-S_flow,J130-S,Downtown
6,0.0,-0.38935422662295854,-0.030733447480992937,-0.40221931270295774,J131-S_flow,J131-S,Downtown
7,0.0,4.004500568721703e-05,-0.00957585406441086,-0.00945303857445512,J136-S_flow,J136-S,Downtown
8,0.0,0.0,0.0,0.0,J138-S_flow,J138-S,Downtown
9,0.0,-0.00014706455084478876,-0.009910549452722073,-0.009862284535519628,J141-S_flow,J141-S,Downtown
10,0.0,-4.7249480283895195e-07,-0.03722445828652554,-0.037224458221744694,J157-S_flow,J157-S,Downtown
11,0.0,0.0,-0.03814380735145617,-0.03814380735145617,J163-S_flow,J163-S,Downtown
12,0.0,6.970177638399022e-06,-0.013261975509188062,-0.013249881453056389,J165-S_flow,J165-S,Federal Hill
13,0.0,-5.8627861147075855e-05,-4.660704069603394e-05,-2.7205014704989594e-05,J171-S_flow,J171-S,Canton
14,0.0,0.0,-0.0011400012199889176,-0.0011400012199889176,J177-S_flow,J177-S,Federal Hill
15,0.0,-0.014487172422425143,-0.012547256265770246,-0.02689936490359801,J182-S_flow,J182-S,Federal Hill
16,0.0,0.00011393662477976463,-4.0092172914896196e-09,0.00011409197844935992,J191-S_flow,J191-S,Fells Point
17,0.0,0.0,0.0,0.0,J1-S_flow,J1-S,Clifton Park
18,0.0,0.0,0.0,0.0,J204-S_flow,J204-S,Fells Point
19,0.0,0.0,-0.11294908178103658,-0.11294908178103658,J208-S_flow,J208-S,Downtown
20,0.0,-0.4372655676375953,-0.007257981562996729,-0.4431213939256371,J211-S_flow,J211-S,Fells Point
21,0.0,-1.9399953340881737e-05,-7.559601859985499e-05,3.1587908202679316e-05,J227-S_flow,J227-S,Locust Point
22,0.0,-2.514895447499471e-06,-1.9992514168967745e-06,-1.1669838586997328e-06,J231-S_flow,J231-S,Locust Point
