,node,scenario,count,time_above
0,J105-S_depth,Base,2,10
1,J10-S_depth,Base,7,35
2,J116-S_depth,Base,7,35
3,J119-S_depth,Base,2,10
4,J128-S_depth,Base,4,20
5,J130-S_depth,Base,32,160
6,J131-S_depth,Base,2,10
7,J136-S_depth,Base,9,45
8,J138-S_depth,Base,4,20
9,J141-S_depth,Base,2,10
10,J157-S_depth,Base,9,45
11,J163-S_depth,Base,2,10
12,J165-S_depth,Base,2,10
13,J171-S_depth,Base,0,0
14,J177-S_depth,Base,2,10
15,J182-S_depth,Base,8,40
16,J191-S_depth,Base,4,20
17,J1-S_depth,Base,0,0
18,J204-S_depth,Base,0,0
19,J208-S_depth,Base,6,30
20,J211-S_depth,Base,6,30
21,J227-S_depth,Base,53,265
22,J231-S_depth,Base,0,0
23,J232-S_depth,Base,0,0
24,J234-S_depth,Base,3,15
25,J238-S_depth,Base,0,0
26,J240-S_depth,Base,4,20
27,J245-S_depth,Base,7,35
28,J253-S_depth,Base,2,10
29,J260-S_depth,Base,3,15
30,J266-S_depth,Base,2,10
31,J268-S_depth,Base,0,0
32,J273-S_depth,Base,0,0
33,J278-S_depth,Base,4,20
34,J27-S_depth,Base,2,10
35,J280-S_depth,Base,10,50
36,J328-S_depth,Base,14,70
37,J329-S_depth,Base,5,25
38,J338-S_depth,Base,8,40
39,J33-S_depth,Base,12,60
40,J34-S_depth,Base,1,5
41,J361-S_depth,Base,9,45
42,J366-S_depth,Base,5,25
43,J385-S_depth,Base,21,105
44,J3-S_depth,Base,6,30
45,J413-S_depth,Base,4,20
46,J421-S_depth,Base,14,70
47,J42-S_depth,Base,0,0
48,J433-S_depth,Base,4,20
49,J437-S_depth,Base,4,20
50,J438-S_depth,Base,11,55
51,J450-S_depth,Base,1,5
52,J456-S_depth,Base,2,10
53,J45-S_depth,Base,0,0
54,J460-S_depth,Base,3,15
55,J461-S_depth,Base,5,25
56,J46-S_depth,Base,1,5
57,J471-S_depth,Base,11,55
58,J480-S_depth,Base,5,25
59,J484-S_depth,Base,8,40
60,J491-S_depth,Base,7,35
61,J492-S_depth,Base,0,0
62,J49-S_depth,Base,0,0
63,J4-S_depth,Base,4,20
64,J506-S_depth,Base,6,30
65,J507-S_depth,Base,10,50
66,J50-S_depth,Base,2,10
67,J512-S_depth,Base,5,25
68,J534-S_depth,Base,6,30
69,J539-S_depth,Base,15,75
70,J541-S_depth,Base,3,15
71,J548-S_depth,Base,17,85
72,J556-S_depth,Base,9,45
73,J567-S_depth,Base,2,10
74,J568-S_depth,Base,4,20
75,J571-S_depth,Base,0,0
76,J576-S_depth,Base,4,20
77,J578-S_depth,Base,6,30
78,J586-S_depth,Base,0,0
79,J587-S_depth,Base,11,55
80,J592-S_depth,Base,0,0
81,J5-S_depth,Base,6,30
82,J609-S_depth,Base,1,5
83,J60-S_depth,Base,5,25
84,J619-S_depth,Base,6,30
85,J620-S_depth,Base,61,305
86,J624-S_depth,Base,53,265
87,J62-S_depth,Base,13,65
88,J632-S_depth,Base,1,5
89,J637-S_depth,Base,6,30
90,J640-S_depth,Base,5,25
91,J659-S_depth,Base,9,45
92,J672-S_depth,Base,3,15
93,J675-S_depth,Base,7,35
94,J686-S_depth,Base,2,10
95,J694-S_depth,Base,0,0
96,J695-S_depth,Base,2,10
97,J712-S_depth,Base,1,5
98,J714-S_depth,Base,6,30
99,J71-S_depth,Base,14,70
100,J722-S_depth,Base,0,0
101,J72-S_depth,Base,0,0
102,J732-S_depth,Base,7,35
103,J733-S_depth,Base,2,10
104,J748-S_depth,Base,5,25
105,J749-S_depth,Base,7,35
106,J751-S_depth,Base,0,0
107,J756-S_depth,Base,12,60
108,J758-S_depth,Base,2,10
109,J760-S_depth,Base,0,0
110,J761-S_depth,Base,8,40
111,J762-S_depth,Base,0,0
112,J764-S_depth,Base,2,10
113,J765-S_depth,Base,0,0
114,J772-S_depth,Base,7,35
115,J782-S_depth,Base,0,0
116,J787-S_depth,Base,3,15
117,J789-S_depth,Base,0,0
118,J78-S_depth,Base,2,10
119,J792-S_depth,Base,13,65
120,J799-S_depth,Base,0,0
121,J7-S_depth,Base,18,90
122,J801-S_depth,Base,2,10
123,J80-S_depth,Base,0,0
124,J88-S_depth,Base,15,75
125,J8-S_depth,Base,19,95
126,J105-S_depth,I,2,10
127,J10-S_depth,I,4,20
128,J116-S_depth,I,6,30
129,J119-S_depth,I,0,0
130,J128-S_depth,I,0,0
131,J130-S_depth,I,29,145
132,J131-S_depth,I,0,0
133,J136-S_depth,I,7,35
134,J138-S_depth,I,4,20
135,J141-S_depth,I,3,15
136,J157-S_depth,I,6,30
137,J163-S_depth,I,2,10
138,J165-S_depth,I,2,10
139,J171-S_depth,I,0,0
140,J177-S_depth,I,2,10
141,J182-S_depth,I,5,25
142,J191-S_depth,I,4,20
143,J1-S_depth,I,0,0
144,J204-S_depth,I,0,0
145,J208-S_depth,I,6,30
146,J211-S_depth,I,5,25
147,J227-S_depth,I,31,155
148,J231-S_depth,I,0,0
149,J232-S_depth,I,0,0
150,J234-S_depth,I,3,15
151,J238-S_depth,I,0,0
152,J240-S_depth,I,4,20
153,J245-S_depth,I,5,25
154,J253-S_depth,I,0,0
155,J260-S_depth,I,1,5
156,J266-S_depth,I,1,5
157,J268-S_depth,I,0,0
158,J273-S_depth,I,0,0
159,J278-S_depth,I,2,10
160,J27-S_depth,I,1,5
161,J280-S_depth,I,7,35
162,J328-S_depth,I,14,70
163,J329-S_depth,I,4,20
164,J338-S_depth,I,6,30
165,J33-S_depth,I,10,50
166,J34-S_depth,I,1,5
167,J361-S_depth,I,7,35
168,J366-S_depth,I,0,0
169,J385-S_depth,I,22,110
170,J3-S_depth,I,3,15
171,J413-S_depth,I,4,20
172,J421-S_depth,I,12,60
173,J42-S_depth,I,0,0
174,J433-S_depth,I,4,20
175,J437-S_depth,I,3,15
176,J438-S_depth,I,6,30
177,J450-S_depth,I,1,5
178,J456-S_depth,I,3,15
179,J45-S_depth,I,0,0
180,J460-S_depth,I,2,10
181,J461-S_depth,I,4,20
182,J46-S_depth,I,1,5
183,J471-S_depth,I,11,55
184,J480-S_depth,I,6,30
185,J484-S_depth,I,7,35
186,J491-S_depth,I,4,20
187,J492-S_depth,I,0,0
188,J49-S_depth,I,0,0
189,J4-S_depth,I,4,20
190,J506-S_depth,I,7,35
191,J507-S_depth,I,7,35
192,J50-S_depth,I,2,10
193,J512-S_depth,I,3,15
194,J534-S_depth,I,6,30
195,J539-S_depth,I,13,65
196,J541-S_depth,I,3,15
197,J548-S_depth,I,17,85
198,J556-S_depth,I,8,40
199,J567-S_depth,I,1,5
200,J568-S_depth,I,3,15
201,J571-S_depth,I,0,0
202,J576-S_depth,I,0,0
203,J578-S_depth,I,4,20
204,J586-S_depth,I,0,0
205,J587-S_depth,I,11,55
206,J592-S_depth,I,0,0
207,J5-S_depth,I,5,25
208,J609-S_depth,I,1,5
209,J60-S_depth,I,5,25
210,J619-S_depth,I,6,30
211,J620-S_depth,I,60,300
212,J624-S_depth,I,54,270
213,J62-S_depth,I,9,45
214,J632-S_depth,I,1,5
215,J637-S_depth,I,4,20
216,J640-S_depth,I,1,5
217,J659-S_depth,I,10,50
218,J672-S_depth,I,2,10
219,J675-S_depth,I,7,35
220,J686-S_depth,I,3,15
221,J694-S_depth,I,0,0
222,J695-S_depth,I,0,0
223,J712-S_depth,I,1,5
224,J714-S_depth,I,6,30
225,J71-S_depth,I,10,50
226,J722-S_depth,I,0,0
227,J72-S_depth,I,0,0
228,J732-S_depth,I,5,25
229,J733-S_depth,I,2,10
230,J748-S_depth,I,4,20
231,J749-S_depth,I,5,25
232,J751-S_depth,I,0,0
233,J756-S_depth,I,13,65
234,J758-S_depth,I,1,5
235,J760-S_depth,I,0,0
236,J761-S_depth,I,6,30
237,J762-S_depth,I,0,0
238,J764-S_depth,I,2,10
239,J765-S_depth,I,0,0
240,J772-S_depth,I,7,35
241,J782-S_depth,I,0,0
242,J787-S_depth,I,3,15
243,J789-S_depth,I,0,0
244,J78-S_depth,I,2,10
245,J792-S_depth,I,13,65
246,J799-S_depth,I,0,0
247,J7-S_depth,I,16,80
248,J801-S_depth,I,0,0
249,J80-S_depth,I,0,0
250,J88-S_depth,I,13,65
251,J8-S_depth,I,18,90
252,J105-S_depth,V,2,10
253,J10-S_depth,V,7,35
254,J116-S_depth,V,7,35
255,J119-S_depth,V,1,5
256,J128-S_depth,V,4,20
257,J130-S_depth,V,31,155
258,J131-S_depth,V,2,10
259,J136-S_depth,V,9,45
260,J138-S_depth,V,4,20
261,J141-S_depth,V,2,10
262,J157-S_depth,V,9,45
263,J163-S_depth,V,2,10
264,J165-S_depth,V,2,10
265,J171-S_depth,V,0,0
266,J177-S_depth,V,2,10
267,J182-S_depth,V,8,40
268,J191-S_depth,V,4,20
269,J1-S_depth,V,0,0
270,J204-S_depth,V,0,0
271,J208-S_depth,V,6,30
272,J211-S_depth,V,6,30
273,J227-S_depth,V,53,265
274,J231-S_depth,V,0,0
275,J232-S_depth,V,0,0
276,J234-S_depth,V,3,15
277,J238-S_depth,V,0,0
278,J240-S_depth,V,4,20
279,J245-S_depth,V,7,35
280,J253-S_depth,V,1,5
281,J260-S_depth,V,2,10
282,J266-S_depth,V,2,10
283,J268-S_depth,V,0,0
284,J273-S_depth,V,0,0
285,J278-S_depth,V,4,20
286,J27-S_depth,V,2,10
287,J280-S_depth,V,9,45
288,J328-S_depth,V,13,65
289,J329-S_depth,V,5,25
290,J338-S_depth,V,7,35
291,J33-S_depth,V,12,60
292,J34-S_depth,V,1,5
293,J361-S_depth,V,9,45
294,J366-S_depth,V,4,20
295,J385-S_depth,V,20,100
296,J3-S_depth,V,6,30
297,J413-S_depth,V,4,20
298,J421-S_depth,V,13,65
299,J42-S_depth,V,0,0
300,J433-S_depth,V,4,20
301,J437-S_depth,V,3,15
302,J438-S_depth,V,10,50
303,J450-S_depth,V,1,5
304,J456-S_depth,V,2,10
305,J45-S_depth,V,0,0
306,J460-S_depth,V,3,15
307,J461-S_depth,V,5,25
308,J46-S_depth,V,1,5
309,J471-S_depth,V,10,50
310,J480-S_depth,V,5,25
311,J484-S_depth,V,8,40
312,J491-S_depth,V,7,35
313,J492-S_depth,V,0,0
314,J49-S_depth,V,0,0
315,J4-S_depth,V,4,20
316,J506-S_depth,V,6,30
317,J507-S_depth,V,10,50
318,J50-S_depth,V,2,10
319,J512-S_depth,V,5,25
320,J534-S_depth,V,6,30
321,J539-S_depth,V,13,65
322,J541-S_depth,V,3,15
323,J548-S_depth,V,15,75
324,J556-S_depth,V,9,45
325,J567-S_depth,V,2,10
326,J568-S_depth,V,4,20
327,J571-S_depth,V,0,0
328,J576-S_depth,V,4,20
329,J578-S_depth,V,6,30
330,J586-S_depth,V,0,0
331,J587-S_depth,V,10,50
332,J592-S_depth,V,0,0
333,J5-S_depth,V,6,30
334,J609-S_depth,V,1,5
335,J60-S_depth,V,5,25
336,J619-S_depth,V,6,30
337,J620-S_depth,V,53,265
338,J624-S_depth,V,47,235
339,J62-S_depth,V,13,65
340,J632-S_depth,V,1,5
341,J637-S_depth,V,6,30
342,J640-S_depth,V,4,20
