,node_name,Base,I,V,V&I,node_id,neighborhood,historic_stream
0,J105-S_volume,22.76437170049789,22.76522336886254,22.761491966405657,22.76222120283056,J105-S,Downtown,"Southside, Drains to Harbor"
1,J10-S_volume,57.97386334947126,30.30995254454524,36.90878862559981,26.79303765127188,J10-S,Downtown,"Southside, Drains to Harbor"
2,J116-S_volume,69.0967943085046,69.2235566375914,66.13975122228395,66.05971983208485,J116-S,Downtown,"Southside, Drains to Harbor"
3,J119-S_volume,19.19078910660227,17.707396691615802,18.680632256853528,17.261927522667143,J119-S,Downtown,"Southside, Drains to Harbor"
4,J128-S_volume,27.328124434268684,15.31804916789035,27.28970357830837,15.27183978268334,J128-S,Canton,Harris Creek
5,J130-S_volume,106.8783232003016,79.34654945782249,102.68566931401344,75.91880600146392,J130-S,Downtown,"Southside, Drains to Harbor"
6,J131-S_volume,20.85694543952068,17.882006719181742,20.352694501856867,17.485855287303565,J131-S,Downtown,"Southside, Drains to Harbor"
7,J136-S_volume,74.56025207746627,73.77992710826692,73.85660126593864,73.06663177557147,J136-S,Downtown,"Southside, Drains to Harbor"
8,J138-S_volume,24.356003342585957,26.291145418385256,24.44763572569308,26.34284550284104,J138-S,Downtown,"Southside, Drains to Harbor"
9,J141-S_volume,22.844358774529983,22.843630688608616,22.744773586986803,22.743987883573432,J141-S,Downtown,"Southside, Drains to Harbor"
10,J157-S_volume,42.3680921496648,35.22392322517197,41.60083307140296,34.5967337809671,J157-S,Downtown,"Southside, Drains to Harbor"
11,J163-S_volume,21.089807233040297,21.083692507016877,20.753347602046688,20.74738690607986,J163-S,Downtown,"Southside, Drains to Harbor"
12,J165-S_volume,18.766139334240982,18.66472101260932,18.640916643131515,18.5419600498982,J165-S,Federal Hill,"Southside, Drains to Harbor"
13,J171-S_volume,13.823234537575589,13.822937999588792,13.823234789581727,13.822938181413624,J171-S,Canton,"Northside, Drains to Harbor"
14,J177-S_volume,20.33864378491209,20.33206135841445,20.32912838498737,20.32241940064665,J177-S,Federal Hill,"Southside, Drains to Harbor"
15,J182-S_volume,66.23799043067768,50.501737029231634,66.32274723440672,50.16605908079939,J182-S,Federal Hill,"Southside, Drains to Harbor"
16,J191-S_volume,27.681192351578385,26.145805777871573,27.68119209519712,26.14580365651502,J191-S,Fells Point,Canal Street Creek
17,J1-S_volume,15.136038847257876,15.13675279472752,15.13633175516229,15.136777068539544,J1-S,Clifton Park,Canal Street Creek
