,node_name,Base,I,V,V&I,node_id,neighborhood,historic_stream
0,J105-S_depth,0.1888491081011049,0.1888585435889489,0.1888447147862791,0.1888555427446093,J105-S,Downtown,"Southside, Drains to Harbor"
1,J10-S_depth,0.3264349379978978,0.2453995919214874,0.2500116915380923,0.2223226623553173,J10-S,Downtown,"Southside, Drains to Harbor"
2,J116-S_depth,0.3473993168460437,0.3509640211256737,0.3388862257187469,0.3422586760932432,J116-S,Downtown,"Southside, Drains to Harbor"
3,J119-S_depth,0.1649917384999789,0.1528570381453614,0.1612284836618373,0.1489634768358671,J119-S,Downtown,"Southside, Drains to Harbor"
4,J128-S_depth,0.2341498576799962,0.1355794696542539,0.2338618349878885,0.1352189409991835,J128-S,Canton,Harris Creek
5,J130-S_depth,0.4196150150995004,0.3680008720719676,0.4106077309948149,0.3598804092571909,J130-S,Downtown,"Southside, Drains to Harbor"
6,J131-S_depth,0.1750526803579825,0.15321662320887,0.17105113314042,0.149616171202864,J131-S,Downtown,"Southside, Drains to Harbor"
7,J136-S_depth,0.4581143209543966,0.4524351451145498,0.4564280529462094,0.4504826219671113,J136-S,Downtown,"Southside, Drains to Harbor"
8,J138-S_depth,0.1997107700630786,0.2161157002505397,0.2006435428505616,0.2170580434616043,J138-S,Downtown,"Southside, Drains to Harbor"
9,J141-S_depth,0.189929292200013,0.1899411718315249,0.189286560659734,0.1892986200655675,J141-S,Downtown,"Southside, Drains to Harbor"
10,J157-S_depth,0.3054393850703887,0.2676362507299051,0.3015666109911731,0.2640915057596772,J157-S,Downtown,"Southside, Drains to Harbor"
11,J163-S_depth,0.1777597463919721,0.1778144564833252,0.1756057096318249,0.1756591157613934,J163-S,Downtown,"Southside, Drains to Harbor"
12,J165-S_depth,0.1605296069315917,0.1598284508336892,0.1595003235068076,0.1588060284124356,J165-S,Federal Hill,"Southside, Drains to Harbor"
13,J171-S_depth,0.1193788312453934,0.1193837996209394,0.1193788251041477,0.1193836284404113,J171-S,Canton,"Northside, Drains to Harbor"
14,J177-S_depth,0.1754322594975669,0.1754718125932518,0.1753654778461021,0.1754054269535067,J177-S,Federal Hill,"Southside, Drains to Harbor"
15,J182-S_depth,0.3273689973497109,0.2868478833693006,0.3273987434893708,0.2858991763245437,J182-S,Federal Hill,"Southside, Drains to Harbor"
16,J191-S_depth,0.2061356202803852,0.1987883869950835,0.2061355950790429,0.1987883988327175,J191-S,Fells Point,Canal Street Creek
17,J1-S_depth,0.1385936497808113,0.1385976992213265,0.1385960475876743,0.1386022194906546,J1-S,Clifton Park,Canal Street Creek
18,J204-S_depth,0.148530908610514,0.1485464686751392,0.148530898048332,0.1485462671677126,J204-S,Fells Point,Canal Street Creek
19,J208-S_depth,0.251019052502645,0.2510491773045865,0.2461337361672173,0.246167549897173,J208-S,Downtown,"Southside, Drains to Harbor"
20,J211-S_depth,0.2987829482357075,0.2579957116674504,0.2948114397608826,0.2548662880589484,J211-S,Fells Point,Canal Street Creek
21,J227-S_depth,0.4638406838774492,0.4511162801612504,0.4638405888337658,0.4511153157964658,J227-S,Locust Point,"Southside, Drains to Harbor"
22,J231-S_depth,0.0437379808087675,0.0443420392458079,0.0437377411394974,0.0443377193224924,J231-S,Locust Point,"Southside, Drains to Harbor"
23,J232-S_depth,0.0477301244260795,0.0607737596419321,0.0477297342539341,0.0607895554024801,J232-S,Locust Point,"Southside, Drains to Harbor"
24,J234-S_depth,0.184517886657814,0.1845889351726012,0.18451787242912,0.1845886771071838,J234-S,Locust Point,"Southside, Drains to Harbor"
25,J238-S_depth,0.1016337430443774,0.101633088435725,0.1016339546394172,0.1016331685782763,J238-S,Locust Point,"Southside, Drains to Harbor"
26,J240-S_depth,0.2239641683251453,0.2244130430643875,0.2236183043540459,0.2240832907789975,J240-S,Locust Point,"Southside, Drains to Harbor"
27,J245-S_depth,0.3020251167851894,0.3007165251395462,0.3011548580484051,0.2998113311213637,J245-S,Locust Point,"Southside, Drains to Harbor"
28,J253-S_depth,0.1613595803008208,0.1298358949675542,0.1599294173690216,0.1243280360703714,J253-S,Eager Park,Canal Street Creek
29,J260-S_depth,0.1896516125378847,0.1861156461775064,0.1866339776766516,0.180064798081495,J260-S,Broadway East,Canal Street Creek
30,J266-S_depth,0.1700361039936644,0.1589478376906483,0.1656712591279681,0.1546800929141515,J266-S,Clifton Park,Canal Street Creek
31,J268-S_depth,0.1026517349889709,0.1026516042359365,0.1012873915404645,0.1012873319328015,J268-S,Clifton Park,Canal Street Creek
32,J273-S_depth,0.0892951441597958,0.0892945054833226,0.0892620243995487,0.0892611650370926,J273-S,Clifton Park,Canal Street Creek
33,J278-S_depth,0.2289270914662802,0.180150798918159,0.2155161174328681,0.1710206092563411,J278-S,Broadway East,Canal Street Creek
34,J27-S_depth,0.2703261985105786,0.2698302558909029,0.2703249716201538,0.2699118600619075,J27-S,Locust Point,"Southside, Drains to Harbor"
35,J280-S_depth,0.3641777607898189,0.3185993823483674,0.3432401626796865,0.30287197089093,J280-S,Broadway East,Canal Street Creek
36,J328-S_depth,0.3724805439593867,0.382654134063033,0.3627130280407355,0.372298860307632,J328-S,Broadway East,Canal Street Creek
37,J329-S_depth,0.2432079406378877,0.2040697445166934,0.230844881554257,0.1951019534832183,J329-S,Broadway East,Canal Street Creek
38,J338-S_depth,0.3312718343562325,0.2720465292511564,0.3272912574399046,0.25710797703432,J338-S,Eager Park,Canal Street Creek
39,J33-S_depth,0.4703538636398676,0.4538036785464734,0.4703538017145893,0.4538035652719618,J33-S,Locust Point,"Southside, Drains to Harbor"
40,J34-S_depth,0.1634694328540093,0.1634712642836995,0.1634694325753007,0.16347045089952,J34-S,Locust Point,"Southside, Drains to Harbor"
41,J361-S_depth,0.3273926999205053,0.2849028612955053,0.3228408173688972,0.2785916525682771,J361-S,Eager Park,Canal Street Creek
42,J366-S_depth,0.2148578000416255,0.1498053737317699,0.2124284600992288,0.1416869028367819,J366-S,Eager Park,Canal Street Creek
43,J385-S_depth,0.4341977692210733,0.4657766208672992,0.4170823530016643,0.4476847667287145,J385-S,Broadway East,Harris Creek
44,J3-S_depth,0.238233627343676,0.1833567262561143,0.2339621096472667,0.1798274700787576,J3-S,Fells Point,"Northside, Drains to Harbor"
45,J413-S_depth,0.2084053036818602,0.208397197763052,0.2063289358701016,0.2063256149417526,J413-S,Broadway East,Harris Creek
46,J421-S_depth,0.3837670911795839,0.3274210764033374,0.3646592354424013,0.327337179145695,J421-S,McElderry Park,Harris Creek
47,J42-S_depth,0.1311585450970995,0.1311617626462454,0.1311585450327809,0.1311610739788282,J42-S,Locust Point,"Southside, Drains to Harbor"
48,J433-S_depth,0.2162328622167301,0.2184135716856656,0.2158967557005316,0.2180737851233342,J433-S,Madison-Eastend,Harris Creek
49,J437-S_depth,0.2559346248186282,0.254968954792426,0.2215417780293298,0.2366318034096423,J437-S,Patterson Park,Harris Creek
50,J438-S_depth,0.588797667603411,0.6096,0.5106988902502695,0.5808365640631407,J438-S,McElderry Park,Harris Creek
51,J450-S_depth,0.1694541070816767,0.1624952414909608,0.1691704189140564,0.1622742715341374,J450-S,Madison-Eastend,Harris Creek
52,J456-S_depth,0.1851019305567666,0.1860769540483693,0.1851054421911598,0.1861475447873537,J456-S,Orangeville,Harris Creek
53,J45-S_depth,0.1300323078733074,0.130248186868242,0.1300322896631619,0.1302477844267766,J45-S,Locust Point,"Southside, Drains to Harbor"
54,J460-S_depth,0.1942591655788293,0.1952769976672337,0.1930687584556261,0.1941851218705346,J460-S,Orangeville,Harris Creek
55,J461-S_depth,0.2410103398310552,0.2111765121405133,0.2400527740617234,0.2103942172528029,J461-S,Baltimore Highlands,Harris Creek
56,J46-S_depth,0.1596740081818179,0.1596730326255669,0.159425126084218,0.1594234545248281,J46-S,Locust Point,"Southside, Drains to Harbor"
57,J471-S_depth,0.4375926139335236,0.4375708010712752,0.4343580037310375,0.4343686774755554,J471-S,Orangeville,Harris Creek
58,J480-S_depth,0.2564501112764956,0.256201700132125,0.255797052741508,0.2555414982256895,J480-S,McElderry Park,Harris Creek
59,J484-S_depth,0.3865938957663445,0.3219795335197009,0.3856898383266907,0.3217584814564463,J484-S,Baltimore Highlands,Harris Creek
60,J491-S_depth,0.2788487883435291,0.2324286472781594,0.2782822980045982,0.2319893804838093,J491-S,Kresson,Harris Creek
61,J492-S_depth,0.1211200309165373,0.121157887846137,0.1211203890143621,0.1211581055487677,J492-S,Baltimore Highlands,Harris Creek
62,J49-S_depth,0.1346075415255924,0.1346073878402737,0.1339314026702265,0.1339310152951484,J49-S,Washington Hill,Canal Street Creek
63,J4-S_depth,0.2126238796875011,0.2069760539433254,0.2126238584849374,0.2069758820242271,J4-S,Canton,"Northside, Drains to Harbor"
64,J506-S_depth,0.2507152318717584,0.2575447428469765,0.2505484291047093,0.2573632072104054,J506-S,Baltimore Highlands,Harris Creek
65,J507-S_depth,0.4818148335614375,0.4957114980462958,0.480973065884569,0.4935907442811321,J507-S,Patterson Park,Harris Creek
66,J50-S_depth,0.1713561105963039,0.1706147171773162,0.170829644796163,0.1700899184965663,J50-S,Washington Hill,Canal Street Creek
67,J512-S_depth,0.3141669355537474,0.3273225480647552,0.3127614635656607,0.326200977040369,J512-S,Patterson Park,Harris Creek
68,J534-S_depth,0.4376938374519432,0.455617384817721,0.4382568009722102,0.4574398157977066,J534-S,Patterson Park,Harris Creek
69,J539-S_depth,0.4713472921862726,0.4640693102767536,0.4445415856251402,0.4371826664949629,J539-S,Canton,"Northside, Drains to Harbor"
70,J541-S_depth,0.1905807322482716,0.190589165351631,0.1905807196822553,0.1905890400063665,J541-S,Canton Industrial Area,"Northside, Drains to Harbor"
71,J548-S_depth,0.417142804986962,0.4171227171759336,0.4023189480684555,0.4023002418715861,J548-S,Canton,"Northside, Drains to Harbor"
72,J556-S_depth,0.3966864960170211,0.3795951410350074,0.396686449655872,0.3795950468781781,J556-S,Canton,Harris Creek
73,J567-S_depth,0.1864952915117982,0.1727745472569901,0.186050100964607,0.1723506711232533,J567-S,Berea,Armistead Creek
74,J568-S_depth,0.2996586572687564,0.2270617005610737,0.2991370837740461,0.2266631126278799,J568-S,Berea,Armistead Creek
75,J571-S_depth,0.1209780139714431,0.1210270777631605,0.1209784007028081,0.1210264223570086,J571-S,Berea,Armistead Creek
76,J576-S_depth,0.2432069950977065,0.1720533502642713,0.2352962276208063,0.1511967714209757,J576-S,Dunbar-Broadway,Canal Street Creek
77,J578-S_depth,0.3427020620246493,0.2795409461273915,0.3291212627500699,0.2610177789751452,J578-S,Dunbar-Broadway,Canal Street Creek
78,J586-S_depth,0.094024165266483,0.0520631326842778,0.0933594196628106,0.0515989607478807,J586-S,Dunbar-Broadway,Canal Street Creek
79,J587-S_depth,0.2897984264665399,0.302929189385997,0.2889298368820441,0.2937788739355036,J587-S,Downtown,"Southside, Drains to Harbor"
80,J592-S_depth,0.1366294360141299,0.1146610235208915,0.1359922777126586,0.1140877003942694,J592-S,Dunbar-Broadway,Canal Street Creek
81,J5-S_depth,0.2612632580550946,0.2310615721359594,0.2612632217977821,0.2310613251570882,J5-S,Canton,"Northside, Drains to Harbor"
82,J609-S_depth,0.1550873563127879,0.1546106948716415,0.1550900367727093,0.1546113689308167,J609-S,Dunbar-Broadway,Canal Street Creek
83,J60-S_depth,0.2344555225693593,0.2350321693497133,0.2339060683673831,0.2344685462163074,J60-S,Downtown,"Southside, Drains to Harbor"
84,J619-S_depth,0.2600864768777045,0.2602775589985724,0.2600854189917315,0.2602767646603057,J619-S,Dunbar-Broadway,Canal Street Creek
85,J620-S_depth,0.8163652227413527,0.9005406041213943,0.7560037118047759,0.7957452524311475,J620-S,Broadway East,Harris Creek
86,J624-S_depth,0.9919282273188598,1.1258880767286985,0.8288663050787121,0.9563500961182334,J624-S,Broadway East,Harris Creek
87,J62-S_depth,0.3283056922237121,0.3090843364862652,0.3280350667829083,0.3083839911120767,J62-S,Downtown,"Southside, Drains to Harbor"
88,J632-S_depth,0.1551621779506976,0.1600830038117051,0.1545744965320179,0.1594275242850484,J632-S,Eager Park,Canal Street Creek
89,J637-S_depth,0.2773510389485659,0.2052211096886387,0.2712694498783745,0.1999166608606973,J637-S,Eager Park,Canal Street Creek
