,link_name,Base,I,V,V&I,link_id,neighborhood
0,timestamp,1.68795852e+18,1.68795852e+18,1.68795852e+18,1.68795852e+18,timestamp,
1,C102-S_velocity,0.0030646653087632,0.0032253871080617,0.0030633116047109,0.0032337299593494,C102-S,Patterson Park
2,C105-S_velocity,0.0014137613325594,0.00139506293634,0.0014147791058276,0.0013901785293171,C105-S,Patterson Park
3,C111-S_velocity,0.0113666892536996,0.0089136019265403,0.0113384281126582,0.0088853995699952,C111-S,Baltimore Highlands
4,C113-S_velocity,0.0025657934920998,0.0018621504179356,0.0025575916351824,0.0018688220940309,C113-S,Baltimore Highlands
5,C131-S_velocity,0.0004102459045608,0.0003314443801248,0.0004102457535749,0.0003314447647502,C131-S,Fells Point
6,C141-S_velocity,0.0016877300283709,0.0017071590042756,0.0016877298740583,0.0017071532354758,C141-S,Canton
7,C159-S_velocity,0.0009861224372045,0.0009879395289775,0.0009861222900565,0.0009879363687629,C159-S,Upper Fells Point
8,C163-S_velocity,0.0013149110627268,0.0014060288227459,0.0013146623418886,0.0014057498610929,C163-S,Upper Fells Point
9,C168-S_velocity,0.0019898977483741,0.0020976118406463,0.0019898976054778,0.0020976077003412,C168-S,Canton
10,C182-S_velocity,0.0059866809893873,0.0060991277468484,0.0059847171343072,0.0060963394429915,C182-S,Canton
11,C187-S_velocity,0.0002733675801206,0.0002808894411141,0.0002733715258913,0.0002804391670094,C187-S,Canton
12,C190-S_velocity,0.0141447028192509,0.0146924922849038,0.0141226369649687,0.0146121493497477,C190-S,Baltimore Highlands
13,C191-S_velocity,0.0035119016560258,0.0038792153173565,0.0035524142313689,0.0039118604802206,C191-S,Patterson Park
14,C211-S_velocity,0.0027586937825385,0.0028148670423786,0.0027663447000721,0.0028079273253283,C211-S,Patterson Park
15,C21-S_velocity,0.0044770823225704,0.0042425843490023,0.004370109190387,0.0040133361886404,C21-S,Broadway East
16,C226-S_velocity,0.001912104116274,0.0019755689419209,0.0019098823911548,0.0019738853499385,C226-S,Baltimore Highlands
17,C227-S_velocity,0.0034941806233022,0.0029610173851508,0.0034724091261106,0.0029430741867893,C227-S,Kresson
18,C229-S_velocity,0.0007272962233392,0.0007728577755147,0.0007280665395039,0.0007744124486626,C229-S,Kresson
19,C236-S_velocity,0.0008879515346516,0.0008880170323914,0.000876940606774,0.0008768731112342,C236-S,Orangeville
20,C23-S_velocity,0.0009924358200634,0.0007501889284281,0.0009873619771503,0.0007049660670463,C23-S,Broadway East
21,C249-S_velocity,0.0037899827892485,0.0038206342750127,0.0037819016290676,0.0038124831408879,C249-S,Madison-Eastend
22,C251-S_velocity,0.0019524462302359,0.0018650105030106,0.0019709036476065,0.0018919043032806,C251-S,Madison-Eastend
23,C260-S_velocity,0.0018037250827416,0.0019459039951302,0.0018050688920741,0.0019458119768698,C260-S,Baltimore Highlands
24,C26-S_velocity,0.0057180984333014,0.0047845505356622,0.0052983217421511,0.0044803478644788,C26-S,Broadway East
25,C274-S_velocity,0.0016209556085256,0.0016876694905063,0.0016201645264453,0.001686881055966,C274-S,Kresson
