,Base,I,V,V&I,node_name,node_id,neighborhood,historic_stream
0,0.0,9.435487844017265e-06,-4.393314825795747e-06,6.434643504416027e-06,J105-S_depth,J105-S,Downtown,"Southside, Drains to Harbor"
1,0.0,-0.08103534607641041,-0.07642324645980553,-0.10411227564258049,J10-S_depth,J10-S,Downtown,"Southside, Drains to Harbor"
2,0.0,0.0035647042796300155,-0.008513091127296812,-0.005140640752800518,J116-S_depth,J116-S,Downtown,"Southside, Drains to Harbor"
3,0.0,-0.0121347003546175,-0.0037632548381415776,-0.01602826166411178,J119-S_depth,J119-S,Downtown,"Southside, Drains to Harbor"
4,0.0,-0.09857038802574228,-0.0002880226921076756,-0.09893091668081269,J128-S_depth,J128-S,Canton,Harris Creek
5,0.0,-0.05161414302753281,-0.009007284104685487,-0.059734605842309496,J130-S_depth,J130-S,Downtown,"Southside, Drains to Harbor"
6,0.0,-0.021836057149112492,-0.00400154721756249,-0.025436509155118497,J131-S_depth,J131-S,Downtown,"Southside, Drains to Harbor"
7,0.0,-0.005679175839846784,-0.001686268008187164,-0.007631698987285274,J136-S_depth,J136-S,Downtown,"Southside, Drains to Harbor"
8,0.0,0.016404930187461086,0.0009327727874829939,0.01734727339852568,J138-S_depth,J138-S,Downtown,"Southside, Drains to Harbor"
9,0.0,1.1879631511890754e-05,-0.0006427315402789957,-0.0006306721344455091,J141-S_depth,J141-S,Downtown,"Southside, Drains to Harbor"
10,0.0,-0.0378031343404836,-0.003872774079215602,-0.04134787931071149,J157-S_depth,J157-S,Downtown,"Southside, Drains to Harbor"
11,0.0,5.471009135310512e-05,-0.0021540367601471933,-0.0021006306305786926,J163-S_depth,J163-S,Downtown,"Southside, Drains to Harbor"
12,0.0,-0.0007011560979025,-0.0010292834247841165,-0.0017235785191561104,J165-S_depth,J165-S,Federal Hill,"Southside, Drains to Harbor"
13,0.0,4.968375545991166e-06,-6.141245706414722e-09,4.7971950178915534e-06,J171-S_depth,J171-S,Canton,"Northside, Drains to Harbor"
14,0.0,3.955309568490217e-05,-6.678165146481452e-05,-2.6832544060217955e-05,J177-S_depth,J177-S,Federal Hill,"Southside, Drains to Harbor"
15,0.0,-0.040521113980410306,2.9746139659891924e-05,-0.04146982102516722,J182-S_depth,J182-S,Federal Hill,"Southside, Drains to Harbor"
16,0.0,-0.0073472332853017075,-2.52013423185371e-08,-0.007347221447667696,J191-S_depth,J191-S,Fells Point,Canal Street Creek
17,0.0,4.049440515213609e-06,2.3978068630081673e-06,8.56970984330907e-06,J1-S_depth,J1-S,Clifton Park,Canal Street Creek
18,0.0,1.556006462521964e-05,-1.056218199013692e-08,1.5358557198613676e-05,J204-S_depth,J204-S,Fells Point,Canal Street Creek
19,0.0,3.012480194147793e-05,-0.004885316335427714,-0.004851502605472013,J208-S_depth,J208-S,Downtown,"Southside, Drains to Harbor"
20,0.0,-0.04078723656825711,-0.003971508474824914,-0.043916660176759104,J211-S_depth,J211-S,Fells Point,Canal Street Creek
21,0.0,-0.012724403716198818,-9.504368342350134e-08,-0.012725368080983401,J227-S_depth,J227-S,Locust Point,"Southside, Drains to Harbor"
22,0.0,0.0006040584370404015,-2.396692700967762e-07,0.0005997385137248984,J231-S_depth,J231-S,Locust Point,"Southside, Drains to Harbor"
23,0.0,0.013043635215852604,-3.901721453980489e-07,0.013059430976400603,J232-S_depth,J232-S,Locust Point,"Southside, Drains to Harbor"
