,link_name,Base,I,V,V&I,link_id,neighborhood
0,timestamp,1.68795852e+18,1.68795852e+18,1.68795852e+18,1.68795852e+18,timestamp,
1,C102-S_velocity,0.0013419424224061,0.0012123075843072,0.0013386118368348,0.0012089287926389,C102-S,Patterson Park
2,C105-S_velocity,0.0012980241358973,0.0012998166495711,0.0012960196343679,0.0012977756623388,C105-S,Patterson Park
3,C111-S_velocity,0.0069327692042628,0.0049040559183291,0.0069192783395346,0.0048936651840159,C111-S,Baltimore Highlands
4,C113-S_velocity,0.001586492341596,0.0012221979710348,0.0015844837087127,0.0012207814244767,C113-S,Baltimore Highlands
5,C131-S_velocity,0.00033559245347,0.0002760933662004,0.0003355922584796,0.0002760924568233,C131-S,Fells Point
6,C141-S_velocity,0.0016624590271519,0.0016726357756929,0.0016625122457423,0.0016726514914368,C141-S,Canton
7,C159-S_velocity,0.0009262857614501,0.0009360750783958,0.0009263064755687,0.0009360781215299,C159-S,Upper Fells Point
8,C163-S_velocity,0.0009309250637945,0.0010059791945191,0.0009308544373379,0.0010058772557884,C163-S,Upper Fells Point
9,C168-S_velocity,0.0017487797066975,0.0018295693283908,0.0017488417550196,0.0018295737263571,C168-S,Canton
10,C182-S_velocity,0.0041960882738329,0.0042114275145756,0.0041960704145691,0.0042113924975719,C182-S,Canton
11,C187-S_velocity,0.0002637440879198,0.0002862838398421,0.0002639399207,0.0002863401527124,C187-S,Canton
12,C190-S_velocity,0.0060041467422136,0.0040332030103353,0.0060001550032271,0.004030589260583,C190-S,Baltimore Highlands
13,C191-S_velocity,0.001339710630398,0.0005029322562157,0.0013371843336218,0.000502250366999,C191-S,Patterson Park
14,C211-S_velocity,0.0027340562926559,0.0027279259871082,0.0027308238143359,0.0027246625444732,C211-S,Patterson Park
15,C21-S_velocity,0.0020057002919929,0.0013437929027846,0.0019237472499601,0.0012962440403573,C21-S,Broadway East
16,C226-S_velocity,0.0014471005493569,0.0014847926817183,0.0014458959202269,0.0014833988496326,C226-S,Baltimore Highlands
