,Base,I,V,V&I,node_name,node_id,neighborhood,historic_stream
0,0.0,0.002843909996741084,0.00041179188402770683,0.003230732849193396,J105-S_depth,J105-S,Downtown,"Southside, Drains to Harbor"
1,0.0,-0.040385737613936795,-0.003745828817571295,-0.043915913751525204,J10-S_depth,J10-S,Downtown,"Southside, Drains to Harbor"
2,0.0,-0.02234206513779488,-0.001593469327966196,-0.024821004032453187,J116-S_depth,J116-S,Downtown,"Southside, Drains to Harbor"
3,0.0,-0.019508349631856894,-0.0009935702796664975,-0.021297441526383895,J119-S_depth,J119-S,Downtown,"Southside, Drains to Harbor"
4,0.0,-0.08370009858060011,1.870657764690975e-06,-0.0837003374025929,J128-S_depth,J128-S,Canton,Harris Creek
5,0.0,-0.05594838416446726,-0.001805983913461373,-0.05779206289376948,J130-S_depth,J130-S,Downtown,"Southside, Drains to Harbor"
6,0.0,-0.0270220303530892,-0.0008738660127435988,-0.0281695753372148,J131-S_depth,J131-S,Downtown,"Southside, Drains to Harbor"
7,0.0,-0.010464272686623977,-0.0012483589626741676,-0.011898342430384068,J136-S_depth,J136-S,Downtown,"Southside, Drains to Harbor"
8,0.0,0.005827292809110485,0.0001572438163255918,0.005928250758537784,J138-S_depth,J138-S,Downtown,"Southside, Drains to Harbor"
9,0.0,4.5346220589215225e-05,-0.0002454550390927901,-0.0002004706159028924,J141-S_depth,J141-S,Downtown,"Southside, Drains to Harbor"
10,0.0,-0.03429616288360379,-0.0017590754951617993,-0.03594387846690539,J157-S_depth,J157-S,Downtown,"Southside, Drains to Harbor"
11,0.0,-4.888974450809047e-05,-0.0010415125881699794,-0.0010919169698098974,J163-S_depth,J163-S,Downtown,"Southside, Drains to Harbor"
12,0.0,-0.0005432328467845082,-0.0008408955957027175,-0.0013801516195736108,J165-S_depth,J165-S,Federal Hill,"Southside, Drains to Harbor"
13,0.0,3.5052893350012715e-06,4.720326624990667e-07,3.9335172778987015e-06,J171-S_depth,J171-S,Canton,"Northside, Drains to Harbor"
14,0.0,3.0448497735591218e-05,-3.116202614641961e-05,-2.570973378079877e-07,J177-S_depth,J177-S,Federal Hill,"Southside, Drains to Harbor"
15,0.0,-0.048933346137012196,-0.000757995857777416,-0.049587699623649895,J182-S_depth,J182-S,Federal Hill,"Southside, Drains to Harbor"
16,0.0,-0.00557263605020672,8.814452440164544e-08,-0.005572717267436106,J191-S_depth,J191-S,Fells Point,Canal Street Creek
17,0.0,0.0008717935695035928,0.00028947437971199586,0.0011418445197721033,J1-S_depth,J1-S,Clifton Park,Canal Street Creek
18,0.0,0.00033814552006419807,-1.6421545998013265e-08,0.0003377505395196073,J204-S_depth,J204-S,Fells Point,Canal Street Creek
19,0.0,5.409292295860402e-05,-0.0020371824052548004,-0.0019904058726407936,J208-S_depth,J208-S,Downtown,"Southside, Drains to Harbor"
20,0.0,-0.02748430770953869,-0.00023062973211490645,-0.027669584146452597,J211-S_depth,J211-S,Fells Point,Canal Street Creek
21,0.0,-0.010973410828837404,5.022508435703621e-06,-0.010972965591263206,J227-S_depth,J227-S,Locust Point,"Southside, Drains to Harbor"
22,0.0,-3.673956867850103e-05,2.042513285602232e-06,-3.4225512831699556e-05,J231-S_depth,J231-S,Locust Point,"Southside, Drains to Harbor"
23,0.0,7.229767716579981e-05,6.687087476999615e-07,7.324597436129954e-05,J232-S_depth,J232-S,Locust Point,"Southside, Drains to Harbor"
24,0.0,-2.819341984700019e-05,-1.4830185801617546e-08,-2.8211434355496223e-05,J234-S_depth,J234-S,Locust Point,"Southside, Drains to Harbor"
25,0.0,-2.758827945592568e-06,7.587041699064212e-07,-2.002066717493589e-06,J238-S_depth,J238-S,Locust Point,"Southside, Drains to Harbor"
26,0.0,-0.0030001524117299894,-7.122775042608942e-05,-0.0030785188347229875,J240-S_depth,J240-S,Locust Point,"Southside, Drains to Harbor"
27,0.0,-0.0379702801573073,-0.0001697623540450055,-0.03816030044986721,J245-S_depth,J245-S,Locust Point,"Southside, Drains to Harbor"
28,0.0,-0.012820061284401607,-0.0020571771621312046,-0.014634711078147511,J253-S_depth,J253-S,Eager Park,Canal Street Creek
29,0.0,-0.0163365773042647,-0.0019661417145262206,-0.018020983733297913,J260-S_depth,J260-S,Broadway East,Canal Street Creek
30,0.0,-0.009528868534339291,-0.0022676452229065946,-0.011671229963933896,J266-S_depth,J266-S,Clifton Park,Canal Street Creek
31,0.0,0.0002388230999919999,-0.0012608853894016114,-0.0010052943568105988,J268-S_depth,J268-S,Clifton Park,Canal Street Creek
32,0.0,0.00019286165563990598,2.5797919075809528e-05,0.0002345798790360093,J273-S_depth,J273-S,Clifton Park,Canal Street Creek
33,0.0,-0.03762206986634019,-0.0029260708001991875,-0.040253938796761285,J278-S_depth,J278-S,Broadway East,Canal Street Creek
34,0.0,-0.014834994692172893,3.4347559160069485e-06,-0.0148335801973795,J27-S_depth,J27-S,Locust Point,"Southside, Drains to Harbor"
35,0.0,-0.04099625366190299,-0.006023229252609591,-0.04611852658895049,J280-S_depth,J280-S,Broadway East,Canal Street Creek
36,0.0,0.0044571642437445935,-0.002996976864559242,0.0012973153007904692,J328-S_depth,J328-S,Broadway East,Canal Street Creek
37,0.0,-0.02861202613093658,-0.004314401648048888,-0.032475788302250785,J329-S_depth,J329-S,Broadway East,Canal Street Creek
38,0.0,-0.0418021561531223,-0.012262167481205705,-0.05195885162660602,J338-S_depth,J338-S,Eager Park,Canal Street Creek
39,0.0,-0.023815288357974085,2.291323429381986e-06,-0.023815369800631814,J33-S_depth,J33-S,Locust Point,"Southside, Drains to Harbor"
40,0.0,-1.9550037594906478e-06,2.584379115155855e-07,-1.592406780381861e-06,J34-S_depth,J34-S,Locust Point,"Southside, Drains to Harbor"
41,0.0,-0.027930513827850806,-0.0030029862157660847,-0.02968042501137161,J361-S_depth,J361-S,Eager Park,Canal Street Creek
42,0.0,-0.041855092339042416,-0.006493296716626018,-0.04669967686070402,J366-S_depth,J366-S,Eager Park,Canal Street Creek
43,0.0,0.02358621084576018,-0.0077133849154417955,0.014979843194394327,J385-S_depth,J385-S,Broadway East,Harris Creek
44,0.0,-0.0322672835170667,-0.0013157419717350072,-0.0331930787683655,J3-S_depth,J3-S,Fells Point,"Northside, Drains to Harbor"
45,0.0,0.00043256101068711583,-0.0006370238072866963,-0.00014593372383669978,J413-S_depth,J413-S,Broadway East,Harris Creek
46,0.0,-0.01452084292718811,-0.004905869696431087,-0.01940895788655081,J421-S_depth,J421-S,McElderry Park,Harris Creek
47,0.0,-9.261185179854081e-08,8.993282396563274e-09,-7.943138440047459e-08,J42-S_depth,J42-S,Locust Point,"Southside, Drains to Harbor"
48,0.0,0.001067806870182486,-0.00014873271885931794,0.0009186536820288971,J433-S_depth,J433-S,Madison-Eastend,Harris Creek
49,0.0,-0.0038100431914070976,-7.040139771830045e-05,-0.0039915651130993934,J437-S_depth,J437-S,Patterson Park,Harris Creek
50,0.0,-0.0758042993334233,-0.003633213365820398,-0.07815338472436989,J438-S_depth,J438-S,McElderry Park,Harris Creek
51,0.0,-0.005406265094731702,-9.715311019610484e-05,-0.00549079349630921,J450-S_depth,J450-S,Madison-Eastend,Harris Creek
52,0.0,0.0030372866709255097,1.9363516186893248e-05,0.003050427443712006,J456-S_depth,J456-S,Orangeville,Harris Creek
53,0.0,0.002360687377353801,1.1775415488107788e-06,0.00236212526409231,J45-S_depth,J45-S,Locust Point,"Southside, Drains to Harbor"
54,0.0,-0.007191581343330394,-0.000686806234810794,-0.007852121608004095,J460-S_depth,J460-S,Orangeville,Harris Creek
55,0.0,-0.0293273577391919,-0.0004280302478132936,-0.029698324235637785,J461-S_depth,J461-S,Baltimore Highlands,Harris Creek
56,0.0,1.0144626406971557e-06,-5.6253616229712256e-05,-5.5275689556405494e-05,J46-S_depth,J46-S,Locust Point,"Southside, Drains to Harbor"
57,0.0,0.002468711367731913,-0.004283913870986866,-0.0018402150476518608,J471-S_depth,J471-S,Orangeville,Harris Creek
58,0.0,0.00040671190444599437,-0.00022565508121599742,0.00017840538107669057,J480-S_depth,J480-S,McElderry Park,Harris Creek
59,0.0,-0.04231585374919089,-0.00023511424478497855,-0.04247911666096488,J484-S_depth,J484-S,Baltimore Highlands,Harris Creek
60,0.0,-0.03667384520589831,-0.00023309280740951843,-0.03684847066729571,J491-S_depth,J491-S,Kresson,Harris Creek
61,0.0,7.007212171061816e-07,9.214719710881614e-08,7.312283561988764e-07,J492-S_depth,J492-S,Baltimore Highlands,Harris Creek
62,0.0,-1.6047660555962295e-06,-0.00023593124348648964,-0.00023761575604069884,J49-S_depth,J49-S,Washington Hill,Canal Street Creek
63,0.0,-0.003912648450008188,5.2186041521185e-06,-0.003909802682519503,J4-S_depth,J4-S,Canton,"Northside, Drains to Harbor"
