,Base,I,V,V&I,link_id,neighborhood,link_name
0,0.0,0.0,0.0,0.0,timestamp,,timestamp
1,0.0,-0.00012963483809889996,-3.3305855712999557e-06,-0.00013301362976719995,C102-S,Patterson Park,C102-S_velocity
2,0.0,1.7925136737999194e-06,-2.004501529399936e-06,-2.484735584999242e-07,C105-S,Patterson Park,C105-S_velocity
3,0.0,-0.0020287132859337,-1.3490864728200186e-05,-0.0020391040202469004,C111-S,Baltimore Highlands,C111-S_velocity
4,0.0,-0.00036429437056120003,-2.008632883299978e-06,-0.0003657109171193,C113-S,Baltimore Highlands,C113-S_velocity
5,0.0,-5.949908726959999e-05,-1.9499040002004392e-10,-5.949999664669998e-05,C131-S,Fells Point,C131-S_velocity
6,0.0,1.0176748540999996e-05,5.3218590400196455e-08,1.0192464284900036e-05,C141-S,Canton,C141-S_velocity
7,0.0,9.789316945700002e-06,2.0714118599963853e-08,9.792360079799965e-06,C159-S,Upper Fells Point,C159-S_velocity
8,0.0,7.505413072459994e-05,-7.062645660004582e-08,7.495219199390004e-05,C163-S,Upper Fells Point,C163-S_velocity
9,0.0,8.078962169330009e-05,6.204832209990262e-08,8.079401965960004e-05,C168-S,Canton,C168-S_velocity
10,0.0,1.533924074270058e-05,-1.7859263799595293e-08,1.5304223739000256e-05,C182-S,Canton,C182-S_velocity
11,0.0,2.25397519223e-05,1.958327801999775e-07,2.2596064792599995e-05,C187-S,Canton,C187-S_velocity
12,0.0,-0.0019709437318782995,-3.991738986499661e-06,-0.0019735574816306,C190-S,Baltimore Highlands,C190-S_velocity
13,0.0,-0.0008367783741822999,-2.526296776199843e-06,-0.0008374602633989999,C191-S,Patterson Park,C191-S_velocity
14,0.0,-6.130305547700013e-06,-3.232478319999642e-06,-9.393748182699724e-06,C211-S,Patterson Park,C211-S_velocity
15,0.0,-0.0006619073892082999,-8.195304203279983e-05,-0.0007094562516356,C21-S,Broadway East,C21-S_velocity
16,0.0,3.769213236140003e-05,-1.2046291299999245e-06,3.629830027570007e-05,C226-S,Baltimore Highlands,C226-S_velocity
17,0.0,-0.0005978007860345,-9.557877775900024e-06,-0.0006069431970691,C227-S,Kresson,C227-S_velocity
18,0.0,-2.0198026811199987e-05,-2.4745642810005374e-07,-2.0408745054500054e-05,C229-S,Kresson,C229-S_velocity
19,0.0,-4.5545993405000105e-06,-9.31443851100004e-06,-1.3882651006300029e-05,C236-S,Orangeville,C236-S_velocity
20,0.0,-0.00020237216851080002,-1.7350178690900037e-05,-0.00021174523421810002,C23-S,Broadway East,C23-S_velocity
21,0.0,-4.01366393690001e-06,-4.340559211099982e-06,-8.336906461799999e-06,C249-S,Madison-Eastend,C249-S_velocity
22,0.0,-0.00012733536523220007,-2.5652318917000153e-06,-0.00012694152885490007,C251-S,Madison-Eastend,C251-S_velocity
23,0.0,1.629985939899988e-05,6.144058809984254e-08,1.635661027269992e-05,C260-S,Baltimore Highlands,C260-S_velocity
24,0.0,-0.0008714928001403999,-0.00011663453281340018,-0.0009717354335983001,C26-S,Broadway East,C26-S_velocity
25,0.0,4.01135555581e-05,-2.364524607000127e-07,3.9719100463699985e-05,C274-S,Kresson,C274-S_velocity
26,0.0,-1.0575844178999788e-06,-1.5235388652299958e-05,-1.8906592384999952e-05,C279-S,Broadway East,C279-S_velocity
27,0.0,-0.0007119473732337,-5.98596414457999e-05,-0.0007554246453604,C27-S,Broadway East,C27-S_velocity
28,0.0,-0.00025789024286849993,-3.2875032073499916e-05,-0.0003010687664298,C292-S,Broadway East,C292-S_velocity
29,0.0,-3.2998458312000125e-06,-2.106210510000148e-07,-2.750479793600018e-06,C2-S,South Clifton Park,C2-S_velocity
30,0.0,0.00019960080040420003,-7.178885144269991e-05,0.00012052883396430013,C301-S,Eager Park,C301-S_velocity
31,0.0,2.0424873085900025e-05,-2.4984405894999716e-06,1.8272637310200006e-05,C314-S,Dunbar-Broadway,C314-S_velocity
32,0.0,-0.0001559749521489,-3.2259192898000284e-06,-0.00015745972940630005,C317-S,Dunbar-Broadway,C317-S_velocity
33,0.0,-2.4299833319554066e-05,-3.859716793890402e-07,-2.437068289656563e-05,C319-S,Washington Hill,C319-S_velocity
34,0.0,-0.00010184103537410003,-6.634352183000148e-07,-0.00010213541396990002,C321-S,Washington Hill,C321-S_velocity
35,0.0,-5.506370499136274e-05,-2.668921147530156e-07,-5.507205447362592e-05,C325-S,Fells Point,C325-S_velocity
36,0.0,-0.0010028929364572997,-1.2138916093899603e-05,-0.0010147414326237992,C327-S,Fells Point,C327-S_velocity
37,0.0,-0.0005012515007412999,-5.244150527699849e-06,-0.0005060136881080998,C328-S,Fells Point,C328-S_velocity
38,0.0,-8.45362340699948e-07,-9.583596590800056e-06,-1.0452300298199923e-05,C338-S,Washington Hill,C338-S_velocity
39,0.0,3.756815050899999e-05,-6.4185771420999585e-06,3.076033162150013e-05,C340-S,Fells Point,C340-S_velocity
40,0.0,2.8918027009000352e-06,-1.6520875580300007e-05,-1.3515248384999982e-05,C34-S,South Clifton Park,C34-S_velocity
41,0.0,5.740470504100046e-06,3.517769940001702e-08,5.7855390207000494e-06,C351-S,Fells Point,C351-S_velocity
42,0.0,-9.188873998569998e-05,-2.87959099924337e-10,-9.18895021714e-05,C355-S,Fells Point,C355-S_velocity
43,0.0,1.123645287002227e-07,1.2115166280000228e-07,2.6585070820022566e-07,C361-S,Fells Point,C361-S_velocity
44,0.0,-0.00013387904700709998,-1.2081943999951716e-09,-0.0001338800294085,C362-S,Fells Point,C362-S_velocity
45,0.0,-0.00017377027547959992,-3.7481846114799985e-05,-0.0002057207309557,C37-S,South Clifton Park,C37-S_velocity
46,0.0,-4.640585641089989e-05,6.536060069995547e-08,-4.63776728190997e-05,C382-S,Canton,C382-S_velocity
47,0.0,-5.966197969400032e-06,-6.094836209300045e-06,-1.2059110400800075e-05,C3-S,Upper Fells Point,C3-S_velocity
48,0.0,2.026129429939967e-05,-0.00019984310712369956,-0.0001801750896597001,C417-S,Canton Industrial,C417-S_velocity
49,0.0,-2.2738866321400045e-05,-8.74097142736e-05,-0.00010862216297270006,C418-S,Canton Industrial,C418-S_velocity
50,0.0,1.558708785539967e-05,-1.9967730007001104e-06,1.361716983349975e-05,C422-S,Canton Industrial,C422-S_velocity
51,0.0,4.041440016679999e-05,-2.638341480299994e-06,3.7007351052399965e-05,C449-S,Broadway East,C449-S_velocity
52,0.0,0.00028625338725100057,-0.0001694816946691,9.876601109520041e-05,C462-S,Eager Park,C462-S_velocity
53,0.0,0.0003279089861009995,-0.00016118310689830061,0.0001920249174169001,C463-S,Eager Park,C463-S_velocity
54,0.0,7.450798844700016e-06,-1.559339956810034e-05,-9.161703095900229e-06,C473-S,Berea,C473-S_velocity
55,0.0,-0.0001996931580526,-1.3504285800899993e-05,-0.00021479537026779997,C474-S,Berea,C474-S_velocity
56,0.0,0.00013848381763160002,2.771894665300114e-06,0.0001398757880134,C478-S,Orangeville,C478-S_velocity
57,0.0,-0.0004605873450255001,-4.019395929159993e-05,-0.0004875289862969999,C530-S,Eager Park,C530-S_velocity
58,0.0,-0.0002963969421871,-5.0253592221200026e-05,-0.0003217768397096,C532-S,Eager Park,C532-S_velocity
59,0.0,-0.000368605575038,-2.8298138445500024e-05,-0.00037363950393250005,C548-S,Dunbar-Broadway,C548-S_velocity
60,0.0,-0.000723213604405758,-6.879723599230003e-05,-0.0007270345072443461,C549-S,Dunbar-Broadway,C549-S_velocity
61,0.0,2.4417966933997816e-06,1.4436105199699262e-08,2.4401900426997136e-06,C550-S,Dunbar-Broadway,C550-S_velocity
62,0.0,-2.2287004110799983e-05,2.178991429999111e-08,-2.2333246455299993e-05,C551-S,Dunbar-Broadway,C551-S_velocity
63,0.0,-0.0005968506300911999,-4.7584386121500045e-05,-0.0006090823270521,C556-S,Eager Park,C556-S_velocity
64,0.0,-0.0001385903604651,-9.876184230004541e-08,-0.00013849610378260002,C576-S,Dunbar-Broadway,C576-S_velocity
65,0.0,6.254664161360005e-05,-2.6470882278899904e-05,3.783566363269996e-05,C602-S,Downtown,C602-S_velocity
66,0.0,-2.045476077500001e-05,-1.029645071699988e-06,-2.092659727509998e-05,C638-S,Downtown,C638-S_velocity
67,0.0,7.131563231919978e-05,-2.080817313199982e-06,6.922151091240001e-05,C650-S,Downtown,C650-S_velocity
68,0.0,3.591319819399989e-05,-2.708608347239995e-05,2.8159569765999395e-06,C659-S,Downtown,C659-S_velocity
69,0.0,-0.00030074466920700007,-5.366491430880004e-05,-0.0003629982107121001,C65-S,McElderry Park,C65-S_velocity
70,0.0,6.831892875400029e-06,3.3103001051003507e-06,7.874455960800095e-06,C677-S,Downtown,C677-S_velocity
71,0.0,-0.00023771171850180004,-1.4992557332700086e-05,-0.0002549532473492,C681-S,Downtown,C681-S_velocity
72,0.0,-0.0008363461916784,-2.9661467399099946e-05,-0.0008681284525718,C685-S,Downtown,C685-S_velocity
73,0.0,0.0001396095552465,-4.018936218100171e-06,0.00013549953681599993,C687-S,Federal Hill,C687-S_velocity
74,0.0,0.0,0.0,0.0,C68-S,Patterson Park,C68-S_velocity
75,0.0,-7.520725004399998e-05,-3.4946378859999254e-07,-7.641294957690001e-05,C69-S,McElderry Park,C69-S_velocity
76,0.0,0.00011078794510890021,-1.6851021757699827e-05,9.29642470358003e-05,C708-S,Federal Hill,C708-S_velocity
77,0.0,8.696585072489986e-05,-2.125308813230001e-05,6.474860247669993e-05,C725-S,Federal Hill,C725-S_velocity
78,0.0,-1.674665904001331e-07,-2.8969641798900266e-05,-2.9154960659700212e-05,C728-S,Federal Hill,C728-S_velocity
79,0.0,0.0001993170119311996,4.758835983699906e-06,0.00020413998532089984,C729-S,Federal Hill,C729-S_velocity
80,0.0,8.290356790539985e-05,-4.68172206699851e-07,8.252305817140013e-05,C734-S,Federal Hill,C734-S_velocity
81,0.0,2.9005884682100063e-05,-1.6757595520003159e-06,2.740695874529995e-05,C740-S,Federal Hill,C740-S_velocity
82,0.0,0.0,0.0,0.0,C742-S,Locust Point,C742-S_velocity
83,0.0,2.7457222378300065e-05,2.9273067570000175e-07,2.7497430604599962e-05,C744-S,Locust Point,C744-S_velocity
84,0.0,-0.0003249810214243999,-8.505740749990658e-08,-0.0003251024428882999,C74-S,Canton,C74-S_velocity
85,0.0,4.178764385750003e-05,2.96876270999228e-08,4.183228218389984e-05,C752-S,Locust Point,C752-S_velocity
86,0.0,0.000250746530722901,-6.37164510996352e-08,0.00025071951671270035,C756-S,Locust Point,C756-S_velocity
87,0.0,2.0081365857354808e-07,6.849024883775164e-10,2.0188764956417234e-07,C758-S,Locust Point,C758-S_velocity
88,0.0,3.5999493999943483e-09,1.6732545799987876e-08,2.227996079997934e-08,C759-S,Locust Point,C759-S_velocity
89,0.0,0.00018710253388820076,3.603220294998849e-07,0.00018721620305980034,C761-S,Locust Point,C761-S_velocity
