,node_name,Base,I,V,V&I,node_id,neighborhood,historic_stream
0,J105-S_depth,0.1122023967065991,0.1128281991621539,0.1123414957970727,0.1129605268235486,J105-S,Downtown,"Southside, Drains to Harbor"
1,J10-S_depth,0.0732259356427459,0.0568060251180354,0.0713326104226679,0.0554090515705905,J10-S,Downtown,"Southside, Drains to Harbor"
2,J116-S_depth,0.1163998313492325,0.0963331298327794,0.1157216040287252,0.0957561634193235,J116-S,Downtown,"Southside, Drains to Harbor"
3,J119-S_depth,0.0495301242306164,0.0311234503695891,0.0489539147521619,0.0307805925080058,J119-S,Downtown,"Southside, Drains to Harbor"
4,J128-S_depth,0.0386586887535728,0.0181195404476849,0.03865904678692,0.0181202394328957,J128-S,Canton,Harris Creek
5,J130-S_depth,0.1703125782454109,0.1500758420021321,0.1686666894269692,0.1475973300666622,J130-S,Downtown,"Southside, Drains to Harbor"
6,J131-S_depth,0.0462451313999068,0.0294839889026475,0.0458936764237713,0.0293438927639892,J131-S,Downtown,"Southside, Drains to Harbor"
7,J136-S_depth,0.2005450606389483,0.1585563883411136,0.2000236399049655,0.1581408303671318,J136-S,Downtown,"Southside, Drains to Harbor"
8,J138-S_depth,0.114515689873061,0.11808781599531,0.1145706875008927,0.1181124096612166,J138-S,Downtown,"Southside, Drains to Harbor"
9,J141-S_depth,0.1066199906368827,0.1077571729845674,0.1064390963699191,0.1076988523965586,J141-S,Downtown,"Southside, Drains to Harbor"
10,J157-S_depth,0.1276074680796152,0.0994309671985421,0.1263593471450887,0.0985466297970679,J157-S,Downtown,"Southside, Drains to Harbor"
11,J163-S_depth,0.087920697560948,0.087935639336586,0.0875519204550502,0.0875696400444069,J163-S,Downtown,"Southside, Drains to Harbor"
12,J165-S_depth,0.089127737724323,0.0885024950365639,0.0887415259231267,0.0881179031538567,J165-S,Federal Hill,"Southside, Drains to Harbor"
13,J171-S_depth,0.0751010289269067,0.0753239278670405,0.0751009483873523,0.0753236617468314,J171-S,Canton,"Northside, Drains to Harbor"
14,J177-S_depth,0.0958164515059916,0.0958172499840055,0.0957980102199979,0.0957988858257892,J177-S,Federal Hill,"Southside, Drains to Harbor"
15,J182-S_depth,0.155373204342373,0.1207522697336694,0.1547136569574193,0.1202722600626333,J182-S,Federal Hill,"Southside, Drains to Harbor"
16,J191-S_depth,0.0765790925987326,0.0721418309445225,0.076579450027112,0.0721421059097674,J191-S,Fells Point,Canal Street Creek
17,J1-S_depth,0.0619408105625866,0.0622787743117049,0.0621125104787864,0.0624428477041086,J1-S,Clifton Park,Canal Street Creek
18,J204-S_depth,0.0778058389855277,0.078397780943414,0.0778056517370725,0.0783975746031904,J204-S,Fells Point,Canal Street Creek
19,J208-S_depth,0.1140077009822471,0.1165588542065611,0.113403641785622,0.1159253599896595,J208-S,Downtown,"Southside, Drains to Harbor"
20,J211-S_depth,0.0865121587326767,0.0632715824324155,0.086399551833869,0.0631544857763557,J211-S,Fells Point,Canal Street Creek
21,J227-S_depth,0.2616744052641975,0.246313953645368,0.2616761047346866,0.2463150092079411,J227-S,Locust Point,"Southside, Drains to Harbor"
22,J231-S_depth,0.0349896553278648,0.0349810621248431,0.0349905380878868,0.0349822169192586,J231-S,Locust Point,"Southside, Drains to Harbor"
23,J232-S_depth,0.0050044245036584,0.0050713885843444,0.005004776417347,0.0050717457003869,J232-S,Locust Point,"Southside, Drains to Harbor"
24,J234-S_depth,0.0879847040235934,0.0879907291191788,0.0879848555087435,0.0879908234273099,J234-S,Locust Point,"Southside, Drains to Harbor"
25,J238-S_depth,0.0664737071616686,0.0665240567992464,0.0664773666191608,0.0665279819531526,J238-S,Locust Point,"Southside, Drains to Harbor"
26,J240-S_depth,0.1105341799431871,0.1087689234321281,0.1105012806119766,0.108735418316954,J240-S,Locust Point,"Southside, Drains to Harbor"
27,J245-S_depth,0.1232238546617149,0.0859567166965018,0.1231101192446466,0.0858840228483609,J245-S,Locust Point,"Southside, Drains to Harbor"
28,J253-S_depth,0.0621480801087805,0.0483554371555748,0.0604829777343748,0.0479118231082572,J253-S,Eager Park,Canal Street Creek
29,J260-S_depth,0.0631823393102724,0.0536159873623083,0.0622560714265958,0.0528309110737226,J260-S,Broadway East,Canal Street Creek
30,J266-S_depth,0.0820153564464222,0.0743825928350407,0.0803860851311436,0.0728757172223392,J266-S,Clifton Park,Canal Street Creek
31,J268-S_depth,0.0721269073068164,0.0726322545163729,0.071332653895197,0.0718234849320819,J268-S,Clifton Park,Canal Street Creek
