,Base,I,V,V&I,node_name,node_id,neighborhood
0,0.0,0.0753480799264139,0.016747855962639946,0.0912806399838928,J105-S_volume,J105-S,Downtown
1,0.0,-1.976995647138592,-0.22796078657547625,-2.1451945309455303,J10-S_volume,J10-S,Downtown
2,0.0,-2.416077815451832,-0.0816601563324948,-2.485545921641007,J116-S_volume,J116-S,Downtown
3,0.0,-2.2162066015394517,-0.06937696944391192,-2.25748749030663,J119-S_volume,J119-S,Downtown
4,0.0,-2.472961514349681,4.310805273988194e-05,-2.472877354894784,J128-S_volume,J128-S,Canton
5,0.0,-2.7202957693774437,-0.24791688922275057,-3.018714405729387,J130-S_volume,J130-S,Downtown
6,0.0,-2.018080775061683,-0.04231600147512715,-2.034948677958698,J131-S_volume,J131-S,Downtown
7,0.0,-5.055534391434282,-0.0627802764126173,-5.105568543840867,J136-S_volume,J136-S,Downtown
8,0.0,0.4300923433223698,0.0066218430765889735,0.4330534782427691,J138-S_volume,J138-S,Downtown
9,0.0,0.13691941548597697,-0.02178009300605588,0.1298974802288786,J141-S_volume,J141-S,Downtown
10,0.0,-3.392516634585016,-0.1502766809202729,-3.4989929269305318,J157-S_volume,J157-S,Downtown
11,0.0,0.0017990247481787236,-0.04440162642952572,-0.042268146409968566,J163-S_volume,J163-S,Downtown
12,0.0,-0.07528068257404996,-0.04650080453784966,-0.12158644513545802,J165-S_volume,J165-S,Federal Hill
13,0.0,0.026837553939964565,-9.69715079612854e-06,0.026805512444113333,J171-S_volume,J171-S,Canton
14,0.0,9.613862118662553e-05,-0.002220373983297108,-0.0021149489972547286,J177-S_volume,J177-S,Federal Hill
15,0.0,-4.176258930243664,-0.08249463754122743,-4.234053217782231,J182-S_volume,J182-S,Federal Hill
16,0.0,-0.5342566856492059,4.3035213204589695e-05,-0.5342235791903445,J191-S_volume,J191-S,Fells Point
17,0.0,0.04069162617494282,0.0206730716607888,0.06044644652583209,J1-S_volume,J1-S,Clifton Park
18,0.0,0.07127119677898541,-2.2545152134512136e-05,0.07124635293325632,J204-S_volume,J204-S,Fells Point
19,0.0,0.3071648174977657,-0.07273014067552985,0.23089063150769995,J208-S_volume,J208-S,Downtown
20,0.0,-2.798219765781508,-0.013558134098575536,-2.8123184771585414,J211-S_volume,J211-S,Fells Point
21,0.0,-4.609474453089135,0.000533076860563142,-4.60917202971428,J227-S_volume,J227-S,Locust Point
22,0.0,-0.001034641750530696,0.00010628637216214543,-0.0008956018008738909,J231-S_volume,J231-S,Locust Point
23,0.0,0.008062631999826875,4.237123153066902e-05,0.008105629606941278,J232-S_volume,J232-S,Locust Point
24,0.0,0.0007254356062453837,1.8239166518441152e-05,0.0007367905258881535,J234-S_volume,J234-S,Locust Point
