,link_name,Base,I,V,V&I,link_id,neighborhood
0,timestamp,1.68795852e+18,1.68795852e+18,1.68795852e+18,1.68795852e+18,timestamp,
1,C102-S_velocity,0.0010873567724623,0.0009817043956114,0.0010848236337006,0.0009789987151293,C102-S,Patterson Park
2,C105-S_velocity,0.001191733971229,0.001196013714074,0.001189310336697,0.0011936548636012,C105-S,Patterson Park
3,C111-S_velocity,0.0060686901331461,0.0041367099527753,0.006054732477706,0.004125889810017,C111-S,Baltimore Highlands
4,C113-S_velocity,0.0014094499828144,0.0010615880671577,0.0014068824370303,0.0010601094366545,C113-S,Baltimore Highlands
5,C131-S_velocity,0.0002655758680763,0.0002213350498799,0.0002655758189177,0.0002213348940496,C131-S,Fells Point
6,C141-S_velocity,0.0012238695323245,0.001230128401072,0.0012238741349822,0.0012301136238953,C141-S,Canton
7,C159-S_velocity,0.0006957869807038,0.0007110327620522,0.0006957851927008,0.000711029473116,C159-S,Upper Fells Point
8,C163-S_velocity,0.0008439787899017,0.0009125485419681,0.0008438583891956,0.00091243139532,C163-S,Upper Fells Point
9,C168-S_velocity,0.0013802995428502,0.0014580468120259,0.001380311443735,0.0014580038210193,C168-S,Canton
10,C182-S_velocity,0.0038113247606611,0.0038241851404089,0.0038112776433728,0.0038241034769455,C182-S,Canton
11,C187-S_velocity,0.0002640642237864,0.0002864944783886,0.0002640316427986,0.000286671694921,C187-S,Canton
12,C190-S_velocity,0.0054529484631609,0.0035003631502564,0.0054482063642344,0.0034975855735207,C190-S,Baltimore Highlands
13,C191-S_velocity,0.0011590255580113,0.0003989970298891,0.0011563719086586,0.0003985784234702,C191-S,Patterson Park
14,C211-S_velocity,0.0019807408532083,0.0019755495534253,0.001976259172498,0.001971096236865,C211-S,Patterson Park
15,C21-S_velocity,0.0014148970114773,0.0009504911779399,0.0013507600053414,0.000912773627024,C21-S,Broadway East
16,C226-S_velocity,0.0012940421752718,0.0013109603971199,0.0012927094449659,0.0013091499664349,C226-S,Baltimore Highlands
17,C227-S_velocity,0.0019491867762108,0.0013429286683769,0.0019394219567985,0.0013334764323758,C227-S,Kresson
18,C229-S_velocity,0.0006289483114259,0.0006019409391027,0.0006283308005384,0.0006015022646723,C229-S,Kresson
19,C236-S_velocity,0.000344113900419,0.0003406353342946,0.0003355952807708,0.0003321118151985,C236-S,Orangeville
20,C23-S_velocity,0.0002505991851843,9.924383939558272e-05,0.000236903344781,9.29376997486428e-05,C23-S,Broadway East
21,C249-S_velocity,0.0014828503375852,0.0014812425536549,0.0014791833739544,0.0014775400914492,C249-S,Madison-Eastend
22,C251-S_velocity,0.0008794749195386,0.0007731943239665,0.0008797384459576,0.0007721990830503,C251-S,Madison-Eastend
23,C260-S_velocity,0.0013034288753011,0.001326589451144,0.001303592324465,0.0013265888880638,C260-S,Baltimore Highlands
24,C26-S_velocity,0.0030779480814268,0.0022670647064902,0.002945272074047,0.0021485428638743,C26-S,Broadway East
25,C274-S_velocity,0.0009904422981888,0.0010219652562569,0.0009902189461713,0.0010214673805644,C274-S,Kresson
26,C279-S_velocity,0.0008143639705326,0.0008135540741139,0.0007955907210407,0.0007944092347975,C279-S,Broadway East
27,C27-S_velocity,0.0011659898070228,0.0005517313231734,0.0010958196551382,0.0005090678123322,C27-S,Broadway East
28,C292-S_velocity,0.000794596425492,0.0005349113041753,0.0007548975666442,0.0004907987315015,C292-S,Broadway East
29,C2-S_velocity,0.0002295887151212,0.0002430225575605,0.0002311129931571,0.0002454284225983,C2-S,South Clifton Park
30,C301-S_velocity,0.0017214257119093,0.001902470361225,0.0016451952153616,0.0018177030949634,C301-S,Eager Park
31,C314-S_velocity,0.0005229269958494,0.0005526767031169,0.0005204954393798,0.0005503919162141,C314-S,Dunbar-Broadway
32,C317-S_velocity,0.0004219307671814,0.0003018285600178,0.0004199299754012,0.000300401104221,C317-S,Dunbar-Broadway
33,C319-S_velocity,2.7210850515092344e-05,7.120691579551531e-06,2.685088106453668e-05,7.048555489338858e-06,C319-S,Washington Hill
34,C321-S_velocity,0.0002063319596072,0.0001238356951933,0.0002055973349976,0.0001234848782344,C321-S,Washington Hill
35,C325-S_velocity,6.812732688888045e-05,2.3312278104285355e-05,6.791512075775527e-05,2.3296358111206998e-05,C325-S,Fells Point
36,C327-S_velocity,0.0047234940008625,0.0036896090533515,0.0047097081620855,0.0036736137747031,C327-S,Fells Point
37,C328-S_velocity,0.0019564859822112,0.0014807429212028,0.0019508376899902,0.0014744755653902,C328-S,Fells Point
38,C338-S_velocity,0.0014573574653457,0.0014575326853599,0.0014457920433066,0.001445899029833,C338-S,Washington Hill
39,C340-S_velocity,0.0015082672824122,0.0015043407680343,0.0015019762698117,0.001497794750872,C340-S,Fells Point
40,C34-S_velocity,0.0002971637249205,0.0002981250330433,0.0002856401679258,0.0002866634753936,C34-S,South Clifton Park
41,C351-S_velocity,0.0008388385329183,0.0008427521465113,0.0008388278649119,0.00084275217096,C351-S,Fells Point
42,C355-S_velocity,0.0004506189913993,0.000367202196053,0.0004506188206355,0.0003672015841881,C355-S,Fells Point
43,C361-S_velocity,0.0021694243282837,0.002169502233621,0.0021693780177245,0.0021695022818038,C361-S,Fells Point
44,C362-S_velocity,0.000688374446711,0.0005723037828629,0.0006883746416935,0.0005723035477873,C362-S,Fells Point
45,C37-S_velocity,0.0007145646042976,0.0005635504690798,0.0006810879826109,0.0005347783674288,C37-S,South Clifton Park
46,C382-S_velocity,0.0020340420168919,0.0020287426698935,0.0020340400605302,0.0020287360560791,C382-S,Canton
47,C3-S_velocity,0.0005208029781256,0.000516208851206,0.0005137089265899,0.0005090785893382,C3-S,Upper Fells Point
48,C417-S_velocity,0.005652285559008,0.0056703409515333,0.0054358535838019,0.0054533295635735,C417-S,Canton Industrial
49,C418-S_velocity,0.0025238664646642,0.0025055761928108,0.0024303498851633,0.002413939932205,C418-S,Canton Industrial
50,C422-S_velocity,0.0029777698015939,0.0029932638371697,0.0029735315570552,0.0029889123109455,C422-S,Canton Industrial
51,C449-S_velocity,0.0006940092841256,0.0007243830105238,0.0006903465830009,0.0007197503909926,C449-S,Broadway East
52,C462-S_velocity,0.0044553355740899,0.0047117768746912,0.0042757297915699,0.0045148479639916,C462-S,Eager Park
