,node_name,Base,I,V,V&I,node_id,neighborhood,historic_stream
0,J105-S_flow,2.7166797869716826,2.7164102402695125,2.714508816417897,2.7139037878995382,J105-S,Downtown,"Southside, Drains to Harbor"
1,J10-S_flow,2.2571120611920947,2.213533450251317,2.1514557792112243,2.1057270112290727,J10-S,Downtown,"Southside, Drains to Harbor"
2,J116-S_flow,7.237041902476062,7.28450074567055,7.148173596245868,7.192336870634765,J116-S,Downtown,"Southside, Drains to Harbor"
3,J119-S_flow,2.6957272319129744,1.8233270837040536,2.637026282325269,1.7521880816368025,J119-S,Downtown,"Southside, Drains to Harbor"
4,J128-S_flow,1.4522741199937772,0.5535864845656718,1.4522508500231512,0.5535684144643866,J128-S,Canton,Harris Creek
5,J130-S_flow,1.3619316360156777,0.5505268528169344,1.3318548326109845,0.5398089855515738,J130-S,Downtown,"Southside, Drains to Harbor"
6,J131-S_flow,2.3514119283348656,1.377858331332645,2.309108297537528,1.3489581759306235,J131-S,Downtown,"Southside, Drains to Harbor"
7,J136-S_flow,3.075031164096326,3.208503065411122,3.0531306099638904,3.187017920457566,J136-S,Downtown,"Southside, Drains to Harbor"
8,J138-S_flow,0.7133893842151688,0.7133532109180903,0.7131771675389748,0.7130959785833096,J138-S,Downtown,"Southside, Drains to Harbor"
9,J141-S_flow,2.879979741800168,2.8796796453764486,2.857235474145605,2.856561544572932,J141-S,Downtown,"Southside, Drains to Harbor"
10,J157-S_flow,2.3860718455385364,2.38478537958469,2.3473659512542464,2.346000795924038,J157-S,Downtown,"Southside, Drains to Harbor"
11,J163-S_flow,2.385418369114626,2.38533824066355,2.3446906472537625,2.344506545389765,J163-S,Downtown,"Southside, Drains to Harbor"
12,J165-S_flow,2.0274796014366427,2.027397304481182,2.003241251214481,2.0030568455793603,J165-S,Federal Hill,"Southside, Drains to Harbor"
13,J171-S_flow,1.162018878007842,1.1618824313268283,1.161218390812563,1.1609121438173997,J171-S,Canton,"Northside, Drains to Harbor"
