,node_name,Base,I,V,V&I,node_id,neighborhood,historic_stream
0,J105-S_depth,0.1419780645913685,0.1442045847261962,0.1422516602074242,0.1444601105408723,J105-S,Downtown,"Southside, Drains to Harbor"
1,J10-S_depth,0.1486094029078587,0.1105847245693218,0.1435019064637069,0.1071557923492002,J10-S,Downtown,"Southside, Drains to Harbor"
2,J116-S_depth,0.1869170898115293,0.1598343897023628,0.18508964531855,0.1581910780275596,J116-S,Downtown,"Southside, Drains to Harbor"
3,J119-S_depth,0.092222982394153,0.0661288325672107,0.0911412674852519,0.0650337671819712,J119-S,Downtown,"Southside, Drains to Harbor"
4,J128-S_depth,0.0947007806893065,0.036150726758297,0.0945338233929572,0.0361451507378602,J128-S,Canton,Harris Creek
5,J130-S_depth,0.2361392654699122,0.1892385106224658,0.2345993834596613,0.1885406120554897,J130-S,Downtown,"Southside, Drains to Harbor"
6,J131-S_depth,0.0951783287943679,0.0662546471133751,0.0942797296111261,0.0656675085101859,J131-S,Downtown,"Southside, Drains to Harbor"
7,J136-S_depth,0.306176128401712,0.2372669385034916,0.3046602390313129,0.2358356876755785,J136-S,Downtown,"Southside, Drains to Harbor"
8,J138-S_depth,0.1588219651937067,0.1682985013472092,0.1590409121326884,0.1684129792363522,J138-S,Downtown,"Southside, Drains to Harbor"
9,J141-S_depth,0.1355042835479608,0.1355030315670509,0.1353504187054997,0.1353488239468458,J141-S,Downtown,"Southside, Drains to Harbor"
10,J157-S_depth,0.210720572537317,0.1787816106291947,0.2088710991026588,0.1769705726471412,J157-S,Downtown,"Southside, Drains to Harbor"
11,J163-S_depth,0.1212089203998172,0.121187818384546,0.1202171031609066,0.1201969369583935,J163-S,Downtown,"Southside, Drains to Harbor"
12,J165-S_depth,0.1152759912630716,0.1145961645996461,0.1146608213807196,0.1139839357115263,J165-S,Federal Hill,"Southside, Drains to Harbor"
13,J171-S_depth,0.093256698230285,0.09326942134086,0.0932569206915595,0.0932695791640739,J171-S,Canton,"Northside, Drains to Harbor"
14,J177-S_depth,0.1229236455674608,0.122883818190482,0.1228867789485576,0.1228472476386381,J177-S,Federal Hill,"Southside, Drains to Harbor"
15,J182-S_depth,0.2328160603075582,0.1925842911021478,0.2321080015069386,0.191946223417822,J182-S,Federal Hill,"Southside, Drains to Harbor"
16,J191-S_depth,0.1398885460198125,0.1320959219658388,0.139888709387064,0.132096009170636,J191-S,Fells Point,Canal Street Creek
17,J1-S_depth,0.0789789117742236,0.0798705699736877,0.0792165901666185,0.0800859580562554,J1-S,Clifton Park,Canal Street Creek
18,J204-S_depth,0.1054296953125519,0.1054300977369631,0.1054296953425278,0.1054301000541567,J204-S,Fells Point,Canal Street Creek
19,J208-S_depth,0.1676307091913402,0.1702172334577948,0.1654198850600936,0.1678539187416441,J208-S,Downtown,"Southside, Drains to Harbor"
20,J211-S_depth,0.1324375384877384,0.1093177022750963,0.1321717939264942,0.109076893667561,J211-S,Fells Point,Canal Street Creek
21,J227-S_depth,0.3301275614393446,0.3157060792981917,0.3301276278827865,0.3157062222634172,J227-S,Locust Point,"Southside, Drains to Harbor"
22,J231-S_depth,0.0401185435401609,0.040091781990376,0.040121465266774,0.040094360080866,J231-S,Locust Point,"Southside, Drains to Harbor"
23,J232-S_depth,0.0104092126471027,0.0103610363889681,0.0104102906264221,0.0103617963680039,J232-S,Locust Point,"Southside, Drains to Harbor"
24,J234-S_depth,0.1252985926651232,0.1252891496288431,0.1252985927699563,0.1252891519687607,J234-S,Locust Point,"Southside, Drains to Harbor"
25,J238-S_depth,0.0834824402436715,0.083482819596275,0.083483242744645,0.0834835594313648,J238-S,Locust Point,"Southside, Drains to Harbor"
26,J240-S_depth,0.1514650782332318,0.1462392166933238,0.1513147099896853,0.1460930033935353,J240-S,Locust Point,"Southside, Drains to Harbor"
