,node_name,Base,I,V,V&I,node_id,neighborhood,historic_stream
0,J105-S_flow,2.156738564151655,2.156598071885144,2.1565016964044634,2.15684699784467,J105-S,Downtown,"Southside, Drains to Harbor"
1,J10-S_flow,1.9292106051894795,1.8381936888553627,1.836563327068782,1.7495718480787616,J10-S,Downtown,"Southside, Drains to Harbor"
2,J116-S_flow,5.825701742960591,5.87201522138749,5.712280307735607,5.757157731395682,J116-S,Downtown,"Southside, Drains to Harbor"
3,J119-S_flow,2.009992151168216,1.3352137940610478,1.966408051129056,1.3008988498402494,J119-S,Downtown,"Southside, Drains to Harbor"
4,J128-S_flow,0.8382695040760433,0.2883373518101106,0.8379904965667455,0.2882182498926893,J128-S,Canton,Harris Creek
5,J130-S_flow,0.9639320130378376,0.3581379149793541,0.938237329682932,0.3496892694457243,J130-S,Downtown,"Southside, Drains to Harbor"
6,J131-S_flow,1.5542947109818048,0.8711663854388654,1.5161250840226463,0.8506645940381866,J131-S,Downtown,"Southside, Drains to Harbor"
7,J136-S_flow,2.329820576014892,2.3296932250644224,2.3231638565450625,2.323298192656336,J136-S,Downtown,"Southside, Drains to Harbor"
8,J138-S_flow,0.557398149158852,0.557398149158852,0.557398149158852,0.557398149158852,J138-S,Downtown,"Southside, Drains to Harbor"
9,J141-S_flow,2.3205577796158976,2.320365516882448,2.312613243900367,2.313093207640902,J141-S,Downtown,"Southside, Drains to Harbor"
10,J157-S_flow,1.9644314048651323,1.963519765079636,1.921731729638186,1.9208681524792328,J157-S,Downtown,"Southside, Drains to Harbor"
11,J163-S_flow,1.9619209435603784,1.9619209435603784,1.9183320888075388,1.9183320888075388,J163-S,Downtown,"Southside, Drains to Harbor"
12,J165-S_flow,1.5067457126516517,1.5067457145623286,1.486825032736847,1.48682503555477,J165-S,Federal Hill,"Southside, Drains to Harbor"
13,J171-S_flow,1.0013922826960338,1.0012804379584657,1.001337603046556,1.001612244013251,J171-S,Canton,"Northside, Drains to Harbor"
14,J177-S_flow,2.1176428864695205,2.1176428864695205,2.115981440139624,2.115981440139624,J177-S,Federal Hill,"Southside, Drains to Harbor"
15,J182-S_flow,3.478120062999592,3.454458720955278,3.456652955011281,3.4332284436112883,J182-S,Federal Hill,"Southside, Drains to Harbor"
16,J191-S_flow,1.2308407905941376,1.2308546464301071,1.2308407916262372,1.230854726213339,J191-S,Fells Point,Canal Street Creek
17,J1-S_flow,0.6703545978283458,0.6703545978283458,0.6703545978283458,0.6703545978283458,J1-S,Clifton Park,Canal Street Creek
18,J204-S_flow,1.23322087105552,1.23322087105552,1.23322087105552,1.23322087105552,J204-S,Fells Point,Canal Street Creek
19,J208-S_flow,3.750171848910632,3.750171848910632,3.632614028105187,3.632614028105187,J208-S,Downtown,"Southside, Drains to Harbor"
20,J211-S_flow,2.594363601954382,1.9123320291097416,2.5825111208696683,1.9026456299839456,J211-S,Fells Point,Canal Street Creek
21,J227-S_flow,2.977794849011413,2.9774782909069786,2.977750577482003,2.977848090201922,J227-S,Locust Point,"Southside, Drains to Harbor"
22,J231-S_flow,0.0086847462169769,0.008671277291536,0.0086781614089835,0.0087112351036773,J231-S,Locust Point,"Southside, Drains to Harbor"
23,J232-S_flow,0.0353716405326253,0.0354100797347663,0.0353793464661219,0.035416427759652,J232-S,Locust Point,"Southside, Drains to Harbor"
24,J234-S_flow,2.450329897173631,2.450329897173631,2.450329897173631,2.450329897173631,J234-S,Locust Point,"Southside, Drains to Harbor"
25,J238-S_flow,0.7843588973646803,0.7841784334811649,0.7842706705771839,0.7847138096689276,J238-S,Locust Point,"Southside, Drains to Harbor"
26,J240-S_flow,2.5795928870398317,2.579595149802958,2.573556777419394,2.5735590963949835,J240-S,Locust Point,"Southside, Drains to Harbor"
27,J245-S_flow,2.1645040963704885,1.9895848560538052,2.1593885003471085,1.984783185918277,J245-S,Locust Point,"Southside, Drains to Harbor"
28,J253-S_flow,1.7906416232267712,1.0371120444355424,1.5914261787272397,0.9016721158709592,J253-S,Eager Park,Canal Street Creek
29,J260-S_flow,2.403728992907093,2.0931717938131684,2.332875546533828,2.034034637698229,J260-S,Broadway East,Canal Street Creek
