,Base,I,V,V&I,node_name,node_id,neighborhood
0,0.0,-0.00014049226651113855,-0.00023686774719156034,0.00010843369301483108,J105-S_flow,J105-S,Downtown
1,0.0,-0.09101691633411679,-0.09264727812069751,-0.17963875711071786,J10-S_flow,J10-S,Downtown
2,0.0,0.04631347842689859,-0.11342143522498471,-0.06854401156490919,J116-S_flow,J116-S,Downtown
3,0.0,-0.6747783571071684,-0.043584100039160134,-0.7090933013279668,J119-S_flow,J119-S,Downtown
4,0.0,-0.5499321522659326,-0.0002790075092977684,-0.550051254183354,J128-S_flow,J128-S,Canton
5,0.0,-0.6057940980584835,-0.025694683354905545,-0.6142427435921133,J130-S_flow,J130-S,Downtown
6,0.0,-0.6831283255429395,-0.03816962695915849,-0.7036301169436182,J131-S_flow,J131-S,Downtown
7,0.0,-0.00012735095046956246,-0.006656719469829486,-0.006522383358555928,J136-S_flow,J136-S,Downtown
8,0.0,0.0,0.0,0.0,J138-S_flow,J138-S,Downtown
9,0.0,-0.00019226273344941092,-0.007944535715530776,-0.007464571974995504,J141-S_flow,J141-S,Downtown
10,0.0,-0.0009116397854962432,-0.0426996752269464,-0.04356325238589953,J157-S_flow,J157-S,Downtown
11,0.0,0.0,-0.04358885475283958,-0.04358885475283958,J163-S_flow,J163-S,Downtown
12,0.0,1.91067694998992e-09,-0.019920679914804618,-0.01992067709688161,J165-S_flow,J165-S,Federal Hill
13,0.0,-0.00011184473756808977,-5.467964947780679e-05,0.00021996131721735424,J171-S_flow,J171-S,Canton
14,0.0,0.0,-0.0016614463298965099,-0.0016614463298965099,J177-S_flow,J177-S,Federal Hill
15,0.0,-0.023661342044313916,-0.021467107988311085,-0.04489161938830355,J182-S_flow,J182-S,Federal Hill
16,0.0,1.3855835969467378e-05,1.0320995169621483e-09,1.3935619201266292e-05,J191-S_flow,J191-S,Fells Point
17,0.0,0.0,0.0,0.0,J1-S_flow,J1-S,Clifton Park
18,0.0,0.0,0.0,0.0,J204-S_flow,J204-S,Fells Point
19,0.0,0.0,-0.11755782080544508,-0.11755782080544508,J208-S_flow,J208-S,Downtown
