,Base,I,V,V&I,link_id,neighborhood,link_name
0,0.0,0.0,0.0,0.0,timestamp,,timestamp
1,0.0,-7.726873338399992e-05,-2.357747196299982e-06,-7.945238643980001e-05,C102-S,Patterson Park,C102-S_velocity
2,0.0,7.949064784900034e-06,-3.774412840599822e-06,4.027243308099993e-06,C105-S,Patterson Park,C105-S_velocity
3,0.0,-0.0017689274956459002,-1.4588503556500591e-05,-0.0017797221227723002,C111-S,Baltimore Highlands,C111-S_velocity
4,0.0,-0.0002852382618353999,-2.0976431436999215e-06,-0.0002865283561946999,C113-S,Baltimore Highlands,C113-S_velocity
5,0.0,-3.4113424709400004e-05,6.55648099993824e-10,-3.411332122290001e-05,C131-S,Fells Point,C131-S_velocity
6,0.0,3.006981615999915e-07,-1.4988499099960646e-08,4.335180005000114e-07,C141-S,Canton,C141-S_velocity
7,0.0,7.563338801999946e-06,2.3113923999611152e-09,7.563677113399999e-06,C159-S,Upper Fells Point,C159-S_velocity
8,0.0,4.108095918919994e-05,-1.0677399709996174e-07,4.093932657210002e-05,C163-S,Upper Fells Point,C163-S_velocity
9,0.0,4.5776080564200036e-05,-6.802369995409507e-11,4.577607685859997e-05,C168-S,Canton,C168-S_velocity
10,0.0,1.148330573039983e-05,-3.971971810007649e-08,1.1428411513599631e-05,C182-S,Canton,C182-S_velocity
11,0.0,2.467710451120001e-05,3.5930230449996966e-07,2.4948584600299978e-05,C187-S,Canton,C187-S_velocity
12,0.0,-0.0017201812281512,-4.310500636799802e-06,-0.0017224484696377,C190-S,Baltimore Highlands,C190-S_velocity
13,0.0,-0.0005362794957404001,-1.809495959700035e-06,-0.0005365566869953,C191-S,Patterson Park,C191-S_velocity
14,0.0,1.210818624400008e-06,-1.6089664254999043e-06,-2.688753273998555e-07,C211-S,Patterson Park,C211-S_velocity
15,0.0,-0.0002705070933486,-3.6171398664399984e-05,-0.0002909768411302001,C21-S,Broadway East,C21-S_velocity
16,0.0,-8.655086113699929e-06,-1.709061227900049e-06,-1.0600310450799982e-05,C226-S,Baltimore Highlands,C226-S_velocity
17,0.0,-0.0005514393605068999,-1.099765014379991e-05,-0.0005598905242844999,C227-S,Kresson,C227-S_velocity
18,0.0,4.934802241999886e-07,1.2767621050999807e-06,9.007849160000024e-08,C229-S,Kresson,C229-S_velocity
19,0.0,-2.551214592300035e-06,-7.296318309600038e-06,-9.837009748800028e-06,C236-S,Orangeville,C236-S_velocity
20,0.0,-0.00010649084939554041,-8.729676254699988e-06,-0.00010889415407086756,C23-S,Broadway East,C23-S_velocity
21,0.0,3.398585074600039e-06,-2.8677842607998955e-06,6.784890157001625e-07,C249-S,Madison-Eastend,C249-S_velocity
22,0.0,-0.00010435914388640002,-1.1869265522000075e-06,-0.00010616641892489996,C251-S,Madison-Eastend,C251-S_velocity
23,0.0,3.6551782335499886e-05,2.367042676999602e-07,3.6733298290100034e-05,C260-S,Baltimore Highlands,C260-S_velocity
24,0.0,-0.0007300311404173998,-0.00012121676344030007,-0.0008370377688103998,C26-S,Broadway East,C26-S_velocity
25,0.0,7.695615901499994e-06,-3.340593582000506e-07,7.1127529277999505e-06,C274-S,Kresson,C274-S_velocity
26,0.0,1.6882097349994567e-07,-1.857667606480003e-05,-1.904342149499998e-05,C279-S,Broadway East,C279-S_velocity
27,0.0,-0.0004673273523144,-6.170861796029996e-05,-0.0004998743305065999,C27-S,Broadway East,C27-S_velocity
28,0.0,-0.00024276361739019995,-4.2899211656000015e-05,-0.0002797606730133,C292-S,Broadway East,C292-S_velocity
29,0.0,3.1898566975000083e-06,9.662919176000142e-07,4.015025607600006e-06,C2-S,South Clifton Park,C2-S_velocity
30,0.0,0.0001534933849467999,-8.169347930570003e-05,6.780705723120005e-05,C301-S,Eager Park,C301-S_velocity
31,0.0,2.3730062213000015e-05,-2.1199413594999786e-06,2.1807021834500018e-05,C314-S,Dunbar-Broadway,C314-S_velocity
32,0.0,-0.00010548547861470001,-2.132451913099999e-06,-0.00010699655668520002,C317-S,Dunbar-Broadway,C317-S_velocity
33,0.0,-1.4551736541450612e-05,-2.5548815487012004e-07,-1.461707215588017e-05,C319-S,Washington Hill,C319-S_velocity
34,0.0,-5.429348055388766e-05,-4.136423821000121e-07,-5.459510530984392e-05,C321-S,Washington Hill,C321-S_velocity
35,0.0,-2.3161949029996472e-05,-1.0149815479222195e-07,-2.3158551156717722e-05,C325-S,Fells Point,C325-S_velocity
36,0.0,-0.0009965445385907,-1.724073108400016e-05,-0.0010106988559389998,C327-S,Fells Point,C327-S_velocity
37,0.0,-0.0005326659588941001,-6.5234407982000565e-06,-0.0005389959567142001,C328-S,Fells Point,C328-S_velocity
38,0.0,3.086249983873246e-11,-1.0428511885500176e-05,-1.0428468911100096e-05,C338-S,Washington Hill,C338-S_velocity
39,0.0,-1.6990507738000012e-05,-7.233892653399918e-06,-2.418402755540003e-05,C340-S,Fells Point,C340-S_velocity
40,0.0,7.293714439800031e-06,-5.367927910999981e-06,2.083854285199981e-06,C34-S,South Clifton Park,C34-S_velocity
41,0.0,7.856742799969632e-09,5.851999657427442e-13,7.901982599940044e-09,C351-S,Fells Point,C351-S_velocity
42,0.0,-7.979189230470003e-05,1.9545070000393655e-10,-7.979163463739999e-05,C355-S,Fells Point,C355-S_velocity
43,0.0,6.415655335200018e-06,3.475699979563207e-12,6.4156445691999475e-06,C361-S,Fells Point,C361-S_velocity
44,0.0,-9.277576529830001e-05,-5.281370002788166e-11,-9.277573252890002e-05,C362-S,Fells Point,C362-S_velocity
45,0.0,-0.00011338571782959999,-2.8250120353200017e-05,-0.00013476672044410002,C37-S,South Clifton Park,C37-S_velocity
46,0.0,4.6237957880599896e-05,2.831613689986863e-08,4.625075950339991e-05,C382-S,Canton,C382-S_velocity
47,0.0,-2.988227935000294e-07,-9.343521267900028e-06,-8.787164291900026e-06,C3-S,Upper Fells Point,C3-S_velocity
48,0.0,1.5604771012699657e-05,-0.00020124603624900074,-0.0001866684459568002,C417-S,Canton Industrial,C417-S_velocity
49,0.0,-1.4439881501500038e-05,-8.803909753649997e-05,-0.00010078221884890015,C418-S,Canton Industrial,C418-S_velocity
50,0.0,1.2557076822799704e-05,-4.948032225999925e-06,7.596709576199786e-06,C422-S,Canton Industrial,C422-S_velocity
51,0.0,1.9421731331699995e-05,-6.780360494199988e-06,1.2651864297899985e-05,C449-S,Broadway East,C449-S_velocity
52,0.0,0.0002246852363687003,-0.00018182417917709994,2.6931718466899693e-05,C462-S,Eager Park,C462-S_velocity
53,0.0,0.00026319466698110014,-0.00014675236448419976,0.00011618011906100022,C463-S,Eager Park,C463-S_velocity
54,0.0,1.7047974483699966e-05,-8.320300946099992e-06,9.409251062799935e-06,C473-S,Berea,C473-S_velocity
55,0.0,-0.00019641198414470005,-7.959325122200087e-06,-0.00020278160728400007,C474-S,Berea,C474-S_velocity
56,0.0,5.542899964240005e-05,-9.660719589989035e-08,5.735886431360005e-05,C478-S,Orangeville,C478-S_velocity
57,0.0,-0.0003710349746127001,-3.756408515590004e-05,-0.00038945952794990015,C530-S,Eager Park,C530-S_velocity
58,0.0,-0.00021656245141182763,-4.11034746533e-05,-0.00022721794460010852,C532-S,Eager Park,C532-S_velocity
59,0.0,-0.00022257650624558158,-1.6978737341100027e-05,-0.00022620899613931447,C548-S,Dunbar-Broadway,C548-S_velocity
60,0.0,-0.00035841889737197696,-3.135993653799999e-05,-0.00036058732740176005,C549-S,Dunbar-Broadway,C549-S_velocity
61,0.0,-3.2864015833003815e-06,-1.8340500125557657e-11,-3.283421343100359e-06,C550-S,Dunbar-Broadway,C550-S_velocity
62,0.0,-2.0049020147000236e-06,2.5317799939861274e-11,-2.035136044100088e-06,C551-S,Dunbar-Broadway,C551-S_velocity
63,0.0,-0.00039340037876140003,-3.388318371790001e-05,-0.0004007332389666,C556-S,Eager Park,C556-S_velocity
64,0.0,-0.0001006225883819,-7.27997586999886e-08,-0.0001006827132619,C576-S,Dunbar-Broadway,C576-S_velocity
65,0.0,8.291661800049989e-05,-2.8868431163700048e-05,5.236501728279994e-05,C602-S,Downtown,C602-S_velocity
66,0.0,-1.3076725123400013e-05,-3.280702181000122e-07,-1.3330047914000007e-05,C638-S,Downtown,C638-S_velocity
67,0.0,6.813852885109999e-05,-4.877551673700131e-06,6.30817714994999e-05,C650-S,Downtown,C650-S_velocity
68,0.0,-1.4951926253399962e-05,-3.467176543460004e-05,-5.264488457960002e-05,C659-S,Downtown,C659-S_velocity
69,0.0,-0.0003383364533808,-5.5947843598999885e-05,-0.0003985417935992,C65-S,McElderry Park,C65-S_velocity
70,0.0,-1.4062348273100045e-05,1.5132021320002353e-07,-1.3949824618600046e-05,C677-S,Downtown,C677-S_velocity
71,0.0,-0.0001642596663738,-1.0340276494900014e-05,-0.0001705552903736,C681-S,Downtown,C681-S_velocity
72,0.0,-0.000629118275379,-2.4030196284700054e-05,-0.0006391098760524,C685-S,Downtown,C685-S_velocity
73,0.0,0.00010725621541040004,-2.771009163900044e-06,0.00010427518202040008,C687-S,Federal Hill,C687-S_velocity
74,0.0,0.0,0.0,0.0,C68-S,Patterson Park,C68-S_velocity
75,0.0,-4.835023865879998e-05,2.8227978600035234e-08,-4.9962099603499975e-05,C69-S,McElderry Park,C69-S_velocity
